
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 1996 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	4	35	10	69	93	41	173	347	5	16	10										
NEW ENGLAND	2	3	-	-	-	4	18	36	-	2	1										
Maine	1	-	-	-	-	-	2	5	-	-	-										
N.H.	-	-	-	-	-	1	4	1	-	-	-										
Vt.	-	-	-	-	-	-	5	2	-	-	-										
Mass.	1	1	-	-	-	3	7	26	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	2	-	2	-										
MID. ATLANTIC	-	-	-	5	12	5	25	31	-	-	-										
Upstate N.Y.	-	-	-	3	3	5	22	18	-	-	-										
N.Y. City	-	-	-	2	1	-	3	8	-	-	-										
N.J.	-	-	-	-	-	-	-	3	-	-	-										
Pa.	-	-	-	-	8	-	-	2	-	-	-										
E.N. CENTRAL	-	-	3	20	16	3	33	47	-	-	-										
Ohio	-	-	2	10	7	3	24	22	-	-	-										
Ind.	-	-	1	1	2	-	2	3	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	-	9	7	-	5	21	-	-	-										
Wis.	-	-	-	-	-	-	2	1	-	-	-										
W.N. CENTRAL	-	1	-	2	8	1	1	14	-	-	-										
Minn.	-	-	-	-	-	1	1	-	-	-	-										
Iowa	-	-	-	-	1	-	-	1	-	-	-										
Mo.	-	1	-	-	7	-	-	6	-	-	-										
N. Dak.	-	-	-	2	-	-	-	1	-	-	-										
S. Dak.	-	-	-	-	-	-	-	1	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	-	3	6	14	2	16	34	-	-	1										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	-	-	1	1	4	2	11	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	1	2	4	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	3	-	-	30	-	-	-										
S.C.	-	-	1	2	1	-	2	1	-	-	-										
Ga.	-	-	-	1	-	-	1	-	-	-	-										
Fla.	-	-	-	-	2	-	2	1	-	-	1										
E.S. CENTRAL	-	-	-	3	4	-	5	9	-	-	-										
Ky.	-	-	-	-	-	-	4	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	3	2	-	1	9	-	-	-										
Miss.	-	-	-	-	2	-	-	-	N	N	N										
W.S. CENTRAL	-	-	-	3	7	1	3	4	-	-	-										
Ark.	-	-	-	-	2	1	2	-	-	-	-										
La.	-	-	-	3	1	-	1	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	4	-	-	4	-	-	-										
MOUNTAIN	-	31	-	6	3	3	18	121	-	-	2										
Mont.	-	-	-	-	-	2	2	2	-	-	-										
Idaho	-	-	-	-	-	-	2	47	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	-	-	23	-	-	-										
N. Mex.	-	9	N	N	N	1	9	3	-	-	-										
Ariz.	-	5	-	-	-	-	2	46	-	-	2										
Utah	-	-	-	-	1	-	-	-	-	-	-										
Nev.	-	-	U	6	2	U	3	-	U	-	-										
PACIFIC	2	-	4	24	29	22	54	51	5	14	6										
Wash.	1	-	-	2	1	-	5	4	-	-	-										
Oreg.	-	-	N	N	N	U	12	-	U	-	-										
Calif.	-	-	4	15	25	22	36	45	5	14	6										
Alaska	-	-	-	1	2	-	-	-	-	-	-										
Hawaii	1	-	-	6	1	-	1	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	1	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


