
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 23, 1996 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	43	154	8	134	189	51	439	597	3	37	15										
NEW ENGLAND	6	3	-	-	3	-	74	83	-	2	2										
Maine	-	-	-	-	2	-	2	9	-	-	-										
N.H.	-	-	-	-	-	-	13	5	-	-	1										
Vt.	1	-	-	-	-	-	6	2	-	-	-										
Mass.	4	1	-	-	-	-	50	63	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	4	-	2	-										
MID. ATLANTIC	2	2	1	18	28	2	53	54	-	3	1										
Upstate N.Y.	-	-	1	6	9	2	32	30	-	2	-										
N.Y. City	2	-	-	3	2	-	9	9	-	1	1										
N.J.	-	2	-	-	4	-	-	6	-	-	-										
Pa.	-	-	-	9	13	-	12	9	-	-	-										
E.N. CENTRAL	-	-	2	38	26	7	82	65	-	-	-										
Ohio	-	-	2	16	12	5	46	29	-	-	-										
Ind.	-	-	-	5	4	1	7	7	-	-	-										
Ill.	-	-	-	7	-	1	17	-	-	-	-										
Mich.	-	-	-	10	10	-	10	24	-	-	-										
Wis.	-	-	-	-	-	-	2	5	-	-	-										
W.N. CENTRAL	-	1	-	2	12	-	3	27	-	-	-										
Minn.	-	-	-	-	-	-	1	-	-	-	-										
Iowa	-	-	-	-	3	-	2	1	-	-	-										
Mo.	-	1	-	-	7	-	-	7	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	-	4	-	-	-										
Nebr.	-	-	-	-	2	-	-	3	-	-	-										
Kans.	-	-	-	-	-	-	-	7	-	-	-										
S. ATLANTIC	2	-	1	14	32	9	39	59	-	-	1										
Del.	1	-	-	-	-	2	5	3	-	-	-										
Md.	1	-	-	7	7	1	21	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	1	3	7	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	14	-	-	46	-	-	-										
S.C.	-	-	-	3	1	1	3	7	-	-	-										
Ga.	-	-	-	1	-	1	2	-	-	-	-										
Fla.	-	-	-	-	3	4	8	2	-	-	1										
E.S. CENTRAL	-	-	-	5	6	2	10	16	2	2	-										
Ky.	-	-	-	-	-	-	5	1	-	-	-										
Tenn.	-	-	-	-	-	1	1	2	-	-	-										
Ala.	-	-	-	3	2	-	1	13	-	-	-										
Miss.	-	-	-	2	4	1	3	-	N	N	N										
W.S. CENTRAL	-	2	2	5	12	-	4	15	-	-	1										
Ark.	-	2	-	-	3	-	2	-	-	-	-										
La.	-	-	2	5	2	-	2	1	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	7	-	-	14	-	-	1										
MOUNTAIN	3	54	1	10	9	17	61	176	-	-	2										
Mont.	-	-	-	-	-	1	3	3	-	-	-										
Idaho	-	-	-	-	1	7	19	49	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	17	-	-	-	2	8	32	-	-	-										
N. Mex.	-	27	N	N	N	2	15	7	-	-	-										
Ariz.	-	9	-	1	1	-	2	82	-	-	2										
Utah	-	-	-	-	1	-	1	2	-	-	-										
Nev.	3	1	1	9	6	5	13	1	-	-	-										
PACIFIC	30	92	1	42	61	14	113	102	1	30	8										
Wash.	4	13	1	4	3	3	26	12	-	1	-										
Oreg.	-	1	N	N	N	-	16	2	-	-	1										
Calif.	1	77	-	30	51	11	66	86	1	27	7										
Alaska	24	-	-	1	6	-	-	-	-	-	-										
Hawaii	1	1	-	7	1	-	5	2	-	2	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	3	-	1	1	-	-	4	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


