
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 25, 1996 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	151	196	6	256	395	75	1,162	1,069	3	71	39										
NEW ENGLAND	6	4	-	-	4	8	185	160	-	8	6										
Maine	-	-	-	-	2	-	8	18	-	-	-										
N.H.	-	-	-	-	-	-	17	13	-	-	1										
Vt.	1	-	-	-	-	-	7	5	-	2	-										
Mass.	4	2	-	-	1	8	150	117	-	4	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	7	-	2	3										
MID. ATLANTIC	8	3	1	33	58	4	92	99	-	4	4										
Upstate N.Y.	-	-	-	9	15	4	53	59	-	3	-										
N.Y. City	7	-	1	9	7	-	14	15	-	1	3										
N.J.	-	3	U	-	8	U	-	6	U	-	1										
Pa.	1	-	-	15	28	-	25	19	-	-	-										
E.N. CENTRAL	7	7	1	65	64	12	146	116	-	3	-										
Ohio	2	1	-	26	20	10	66	37	-	-	-										
Ind.	-	-	-	5	5	-	12	9	-	-	-										
Ill.	2	-	-	15	19	2	51	26	-	1	-										
Mich.	2	4	1	19	20	-	12	32	-	2	-										
Wis.	1	2	-	-	-	-	5	12	-	-	-										
W.N. CENTRAL	16	1	-	3	25	3	56	70	-	1	-										
Minn.	14	-	-	1	2	3	38	27	-	-	-										
Iowa	-	-	-	-	6	-	2	1	-	1	-										
Mo.	2	1	-	-	14	-	10	17	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	1	7	-	-	-										
Nebr.	-	-	-	-	3	-	1	3	-	-	-										
Kans.	-	-	-	-	-	-	4	10	-	-	-										
S. ATLANTIC	3	1	1	29	60	3	122	100	-	12	6										
Del.	1	-	-	-	-	-	8	5	-	-	-										
Md.	2	-	-	12	17	3	50	12	-	-	-										
D.C.	-	-	-	-	-	-	-	2	-	1	-										
Va.	-	-	-	3	13	-	5	7	-	-	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	-	16	-	25	50	-	-	-										
S.C.	-	-	1	5	6	-	5	10	-	1	-										
Ga.	-	-	U	2	-	U	6	-	U	-	-										
Fla.	-	1	-	7	8	-	21	14	-	10	6										
E.S. CENTRAL	-	-	1	12	11	1	38	29	-	-	-										
Ky.	-	-	-	-	-	-	23	5	-	-	-										
Tenn.	-	-	-	1	-	-	9	4	-	-	-										
Ala.	-	-	-	4	4	1	3	20	-	-	-										
Miss.	-	-	1	7	7	-	3	-	N	N	N										
W.S. CENTRAL	2	2	1	12	26	3	24	58	-	2	2										
Ark.	-	2	-	-	5	-	2	7	-	-	-										
La.	-	-	1	9	6	1	4	3	-	1	-										
Okla.	-	-	-	-	-	-	4	9	-	-	-										
Tex.	2	-	-	3	15	2	14	39	-	1	2										
MOUNTAIN	15	61	-	19	15	6	148	255	1	3	4										
Mont.	-	-	-	-	1	-	4	3	-	-	-										
Idaho	1	-	-	-	2	-	65	71	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	4	21	-	1	-	1	19	35	1	1	-										
N. Mex.	-	29	N	N	N	1	27	28	-	-	-										
Ariz.	3	10	-	1	2	1	10	106	-	1	3										
Utah	3	-	-	2	3	3	6	10	-	-	1										
Nev.	4	1	-	15	7	-	17	2	-	1	-										
PACIFIC	94	117	1	83	132	35	351	182	2	38	17										
Wash.	26	16	-	8	10	16	136	30	-	1	-										
Oreg.	1	1	N	N	N	2	27	13	1	1	1										
Calif.	3	98	1	59	108	17	179	124	1	34	14										
Alaska	63	-	-	2	12	-	-	-	-	-	-										
Hawaii	1	2	U	14	2	U	9	15	U	2	2										
Guam	-	-	U	3	3	U	-	-	U	-	-										
P.R.	1	7	-	1	1	-	-	8	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


