
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 22, 1996 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	257	227	10	326	478	92	1,418	1,273	11	94	64										
NEW ENGLAND	9	4	-	-	8	46	253	195	-	11	14										
Maine	-	-	-	-	4	-	8	20	-	-	1										
N.H.	-	-	-	-	-	-	20	15	-	-	1										
Vt.	1	-	-	-	-	-	7	12	-	2	-										
Mass.	7	2	-	-	2	46	215	138	-	7	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	2	-	3	10	-	2	10										
MID. ATLANTIC	17	4	2	49	70	7	111	116	-	4	9										
Upstate N.Y.	-	-	1	13	16	2	59	63	-	3	2										
N.Y. City	7	-	-	13	8	1	17	15	-	1	6										
N.J.	-	4	U	-	9	U	-	6	U	-	1										
Pa.	10	-	1	23	37	4	35	32	-	-	-										
E.N. CENTRAL	9	8	1	71	79	10	168	136	-	3	-										
Ohio	2	1	-	27	24	2	75	46	-	-	-										
Ind.	-	-	-	5	5	-	14	15	-	-	-										
Ill.	3	-	1	17	24	7	58	30	-	1	-										
Mich.	3	5	-	21	26	1	16	33	-	2	-										
Wis.	1	2	-	1	-	-	5	12	-	-	-										
W.N. CENTRAL	17	1	-	4	29	-	62	77	-	1	-										
Minn.	14	-	U	1	2	U	42	27	U	-	-										
Iowa	-	-	-	-	8	-	2	2	-	1	-										
Mo.	2	1	-	1	16	-	12	20	-	-	-										
N. Dak.	-	-	-	2	-	-	-	6	-	-	-										
S. Dak.	-	-	-	-	-	-	1	7	-	-	-										
Nebr.	-	-	-	-	3	-	1	5	-	-	-										
Kans.	1	-	-	-	-	-	4	10	-	-	-										
S. ATLANTIC	5	5	1	45	70	10	163	115	9	23	16										
Del.	1	-	-	-	-	-	9	6	-	-	-										
Md.	2	-	-	13	24	1	56	16	-	-	-										
D.C.	-	-	-	-	-	-	-	2	-	1	-										
Va.	2	-	-	4	14	1	20	8	-	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	1	10	16	7	36	55	9	9	-										
S.C.	-	-	-	5	7	1	10	13	-	1	-										
Ga.	-	2	-	2	1	-	7	-	-	-	-										
Fla.	-	3	-	11	8	-	23	15	-	10	16										
E.S. CENTRAL	-	-	-	16	7	-	46	39	-	2	-										
Ky.	-	-	-	-	-	-	24	7	-	-	-										
Tenn.	-	-	-	2	-	-	14	7	-	-	-										
Ala.	-	-	-	3	4	-	4	25	-	2	-										
Miss.	-	-	-	11	3	-	4	-	N	N	N										
W.S. CENTRAL	2	19	-	14	34	6	37	71	-	2	3										
Ark.	-	2	-	-	5	-	3	9	-	-	-										
La.	-	17	-	10	7	-	4	4	-	1	-										
Okla.	-	-	-	-	-	-	4	9	-	-	-										
Tex.	2	-	-	4	22	6	26	49	-	1	3										
MOUNTAIN	68	66	-	20	23	5	162	298	-	6	4										
Mont.	-	-	-	-	1	1	5	3	-	-	-										
Idaho	1	-	-	-	2	-	67	74	-	2	-										
Wyo.	-	-	-	-	-	1	1	1	-	-	-										
Colo.	6	26	-	2	-	3	24	46	-	2	-										
N. Mex.	2	29	N	N	N	-	29	39	-	-	-										
Ariz.	8	10	-	1	2	-	11	114	-	1	3										
Utah	47	-	-	2	10	-	6	10	-	-	1										
Nev.	4	1	-	15	8	-	19	11	-	1	-										
PACIFIC	130	120	6	107	158	8	416	226	2	42	18										
Wash.	45	17	3	13	10	8	169	41	-	1	-										
Oreg.	2	1	N	N	N	-	27	15	-	1	1										
Calif.	18	100	2	77	132	-	209	149	2	37	14										
Alaska	63	-	-	2	12	-	2	-	-	-	-										
Hawaii	2	2	1	15	4	-	9	21	-	3	3										
Guam	-	-	U	3	3	U	-	2	U	-	1										
P.R.	6	2	-	1	2	-	1	1	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


