
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 27, 1996 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	311	248	6	368	538	170	1,991	1,856	60	172	87										
NEW ENGLAND	11	8	-	-	10	45	410	257	-	12	35										
Maine	-	-	-	-	4	3	16	18	-	-	-										
N.H.	-	-	-	-	1	19	40	23	-	-	1										
Vt.	1	-	-	-	-	-	11	36	-	2	-										
Mass.	9	2	-	-	2	23	340	169	-	8	7										
R.I.	-	5	-	-	-	-	-	1	-	-	-										
Conn.	1	1	-	-	3	-	3	10	-	2	27										
MID. ATLANTIC	20	5	1	57	79	9	145	151	1	7	11										
Upstate N.Y.	-	-	1	18	19	2	74	71	1	4	3										
N.Y. City	9	-	-	13	8	-	21	27	-	1	6										
N.J.	-	5	-	2	13	-	5	11	-	2	2										
Pa.	11	-	-	24	39	7	45	42	-	-	-										
E.N. CENTRAL	9	13	-	70	90	7	201	208	-	3	2										
Ohio	2	1	-	28	26	4	93	52	-	-	-										
Ind.	-	-	-	5	7	-	19	18	-	-	-										
Ill.	3	1	-	18	26	1	64	38	-	1	-										
Mich.	3	5	-	18	31	2	20	33	-	2	2										
Wis.	1	6	-	1	-	-	5	67	-	-	-										
W.N. CENTRAL	18	2	1	7	32	1	84	105	-	1	-										
Minn.	15	-	-	3	2	1	55	27	-	-	-										
Iowa	-	-	-	-	8	-	3	5	-	1	-										
Mo.	2	1	-	1	18	-	16	34	-	-	-										
N. Dak.	-	-	-	2	-	-	1	6	-	-	-										
S. Dak.	-	-	-	-	-	-	2	7	-	-	-										
Nebr.	-	-	-	-	4	-	3	7	-	-	-										
Kans.	1	1	1	1	-	-	4	19	-	-	-										
S. ATLANTIC	6	11	3	56	84	11	245	157	59	89	6										
Del.	1	-	-	-	-	-	10	8	-	-	-										
Md.	2	1	1	16	27	2	84	19	-	-	1										
D.C.	-	-	-	-	-	-	-	4	-	1	-										
Va.	2	-	1	8	15	-	26	10	-	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	11	16	-	36	73	59	75	-										
S.C.	-	-	-	5	7	2	21	15	-	1	-										
Ga.	1	2	-	2	6	-	13	11	-	-	-										
Fla.	-	8	1	14	13	7	53	17	-	10	5										
E.S. CENTRAL	-	-	-	17	7	1	57	90	-	2	-										
Ky.	-	-	-	-	-	-	26	10	-	-	-										
Tenn.	-	-	-	2	-	1	17	50	-	-	-										
Ala.	-	-	-	3	4	-	9	30	-	2	-										
Miss.	-	-	-	12	3	-	5	-	N	N	N										
W.S. CENTRAL	19	20	-	16	38	3	56	141	-	2	7										
Ark.	-	2	-	-	5	-	3	22	-	-	-										
La.	-	18	-	11	8	1	6	10	-	1	-										
Okla.	-	-	-	-	-	2	7	17	-	-	-										
Tex.	19	-	-	5	25	-	40	92	-	1	7										
MOUNTAIN	90	68	-	21	24	14	208	373	-	6	4										
Mont.	-	-	-	-	1	5	11	3	-	-	-										
Idaho	1	-	-	-	2	-	74	82	-	2	-										
Wyo.	-	-	-	-	-	1	2	1	-	-	-										
Colo.	7	26	-	2	-	7	43	55	-	2	-										
N. Mex.	8	31	N	N	N	1	34	59	-	-	-										
Ariz.	8	10	-	1	2	-	11	135	-	1	3										
Utah	61	-	-	2	11	-	11	16	-	-	1										
Nev.	5	1	-	16	8	-	22	22	-	1	-										
PACIFIC	138	121	1	124	174	79	585	374	-	50	22										
Wash.	45	17	-	18	10	6	222	78	-	1	-										
Oreg.	4	1	-	-	-	1	29	21	-	1	-										
Calif.	24	101	1	87	148	71	321	238	-	45	18										
Alaska	63	-	-	2	12	-	2	-	-	-	-										
Hawaii	2	2	-	17	4	1	11	37	-	3	4										
Guam	-	-	U	3	3	U	-	2	U	-	1										
P.R.	7	3	-	1	2	-	1	1	-	-	-										
V.I.	-	-	U	-	3	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


