
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 1997 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	5,109	14,539	73,117	85,021	212	10	49,734	69,948	897	663											
NEW ENGLAND	134	624	3,131	4,295	18	-	1,271	1,719	7	15											
Maine	13	8	49	U	1	-	3	10	-	-											
N.H.	1	23	124	132	-	-	35	31	1	2											
Vt.	7	7	91	118	1	-	14	16	-	7											
Mass.	62	386	1,536	1,529	14	-	554	519	6	5											
R.I.	19	17	487	526	1	-	125	134	-	1											
Conn.	32	183	844	1,990	1	-	540	1,009	-	-											
MID. ATLANTIC	1,921	4,243	4,599	11,104	13	-	2,956	6,554	57	48											
Upstate N.Y.	113	426	N	N	7	-	361	5	40	42											
N.Y. City	1,039	2,445	U	4,680	4	-	U	2,939	-	1											
N.J.	468	844	1,065	1,770	2	-	784	1,090	-	-											
Pa.	301	528	3,534	4,654	N	-	1,811	2,520	17	5											
E.N. CENTRAL	242	1,176	12,799	20,661	32	3	8,278	13,820	127	109											
Ohio	57	300	2,961	4,820	16	-	2,064	3,665	5	3											
Ind.	25	92	1,848	1,985	7	1	1,307	1,512	1	2											
Ill.	115	524	2,557	6,074	-	-	1,360	3,989	-	20											
Mich.	29	192	4,113	5,150	9	2	2,903	3,462	121	84											
Wis.	16	68	1,320	2,632	N	-	644	1,192	-	-											
W.N. CENTRAL	127	354	4,857	7,342	29	2	2,206	2,940	26	18											
Minn.	17	83	U	999	16	-	U	-	-	-											
Iowa	38	23	1,168	549	7	2	294	183	13	5											
Mo.	54	167	2,361	3,640	1	-	1,445	2,005	3	9											
N. Dak.	2	-	81	219	3	-	5	8	2	-											
S. Dak.	-	5	239	245	-	-	30	40	-	-											
Nebr.	15	22	227	582	1	-	85	118	-	2											
Kans.	1	54	781	1,108	1	-	347	586	8	2											
S. ATLANTIC	1,239	3,452	17,478	12,124	34	1	18,987	24,922	53	34											
Del.	20	92	U	U	1	-	248	357	-	-											
Md.	166	423	1,537	1,300	2	1	2,915	3,159	4	-											
D.C.	55	127	N	N	-	-	1,038	1,043	-	-											
Va.	130	180	2,456	2,740	N	-	1,988	2,280	4	1											
W. Va.	14	24	U	U	N	-	162	99	1	4											
N.C.	59	196	4,146	U	5	-	3,735	4,706	17	8											
S.C.	104	188	2,648	U	-	-	2,522	2,808	12	7											
Ga.	183	451	1,696	2,863	13	-	2,764	6,095	U	-											
Fla.	508	1,771	4,995	5,221	13	-	3,615	4,375	15	14											
E.S. CENTRAL	134	477	6,345	6,465	19	-	6,251	7,049	71	117											
Ky.	23	85	1,470	1,650	6	-	920	951	3	5											
Tenn.	59	171	2,773	2,729	11	-	2,399	2,441	33	111											
Ala.	37	155	1,835	2,025	-	-	2,607	3,205	4	1											
Miss.	15	66	267	61	2	-	325	452	31	-											
W.S. CENTRAL	420	1,326	6,686	4,495	3	-	5,026	5,745	53	72											
Ark.	18	70	263	313	2	-	566	906	2	1											
La.	64	291	1,475	-	1	-	1,481	1,898	37	29											
Okla.	32	52	1,529	1,749	-	-	1,067	1,113	1	26											
Tex.	306	913	3,419	2,433	-	-	1,912	1,828	13	16											
MOUNTAIN	122	392	4,604	2,489	25	-	1,628	1,888	80	154											
Mont.	7	4	137	-	-	-	10	4	3	8											
Idaho	2	7	370	356	1	-	25	20	13	37											
Wyo.	1	2	110	155	-	-	14	10	27	41											
Colo.	24	86	101	6	13	-	369	466	17	14											
N. Mex.	5	25	960	877	4	-	335	216	11	25											
Ariz.	30	132	2,057	70	N	-	686	927	5	19											
Utah	10	57	308	359	1	-	36	60	1	6											
Nev.	43	79	561	666	6	-	153	185	3	4											
PACIFIC	770	2,495	12,618	16,046	39	4	3,131	5,311	423	96											
Wash.	45	140	2,098	2,276	5	-	498	587	5	23											
Oreg.	30	141	622	1,215	11	-	89	91	3	3											
Calif.	682	2,175	9,256	12,000	20	4	2,325	4,413	372	34											
Alaska	10	3	301	116	3	-	121	101	-	2											
Hawaii	3	36	341	439	N	-	98	119	43	34											
Guam	-	3	-	88	N	-	-	21	-	-											
P.R.	144	416	N	N	4	U	175	36	8	12											
V.I.	4	3	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	8	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


