
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 28, 1998 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	701	999	6	92	126	50	779	1,070	9	86	9										
NEW ENGLAND	46	59	-	-	6	5	160	324	-	10	-										
Maine	4	6	-	-	-	-	4	6	-	-	-										
N.H.	1	5	-	-	-	-	15	35	-	-	-										
Vt.	1	2	-	-	-	1	22	110	-	-	-										
Mass.	21	38	-	-	1	4	116	163	-	1	-										
R.I.	3	2	-	-	4	-	-	9	-	-	-										
Conn.	16	6	-	-	1	-	3	1	-	9	-										
MID. ATLANTIC	48	88	-	2	16	9	68	81	1	52	3										
Upstate N.Y.	20	19	-	2	3	9	68	39	1	52	1										
N.Y. City	8	17	-	-	1	-	-	16	-	-	2										
N.J.	20	19	-	-	2	-	-	6	-	-	-										
Pa.	-	33	-	-	10	-	-	20	-	-	-										
E.N. CENTRAL	118	126	-	12	15	20	95	115	-	-	3										
Ohio	50	48	-	7	3	-	34	47	-	-	-										
Ind.	23	12	-	-	3	20	34	8	-	-	-										
Ill.	20	39	-	-	5	-	5	18	-	-	-										
Mich.	12	10	-	5	3	-	12	22	-	-	-										
Wis.	13	17	-	-	1	-	10	20	-	-	3										
W.N. CENTRAL	57	76	1	9	5	3	65	57	-	-	-										
Minn.	3	2	-	4	3	-	39	31	-	-	-										
Iowa	9	17	1	3	2	-	13	7	-	-	-										
Mo.	26	41	-	1	-	1	9	7	-	-	-										
N. Dak.	-	-	-	1	-	-	-	1	-	-	-										
S. Dak.	5	3	-	-	-	2	2	1	-	-	-										
Nebr.	1	3	-	-	-	-	2	2	-	-	-										
Kans.	13	10	-	-	-	-	-	8	-	-	-										
S. ATLANTIC	141	185	1	17	16	6	70	97	-	2	-										
Del.	1	3	-	-	-	-	-	-	-	-	-										
Md.	14	23	-	2	1	-	14	54	-	-	-										
D.C.	-	5	-	-	-	-	-	2	-	-	-										
Va.	14	11	-	2	1	-	-	14	-	-	-										
W. Va.	3	6	-	-	-	1	1	3	-	-	-										
N.C.	19	36	1	6	5	4	34	13	-	1	-										
S.C.	15	31	-	3	1	1	6	4	-	1	-										
Ga.	36	28	-	-	2	-	-	2	-	-	-										
Fla.	39	42	-	4	6	-	15	5	-	-	-										
E.S. CENTRAL	25	76	-	-	10	-	13	29	-	-	-										
Ky.	-	17	-	-	-	-	-	9	-	-	-										
Tenn.	25	26	-	-	3	-	4	8	-	-	-										
Ala.	-	25	-	-	4	-	9	7	-	-	-										
Miss.	-	8	U	-	3	U	-	5	U	-	-										
W.S. CENTRAL	40	76	1	18	13	1	33	18	7	16	-										
Ark.	7	17	-	-	-	-	4	2	-	-	-										
La.	16	21	-	-	4	-	-	3	-	-	-										
Okla.	17	11	-	-	-	-	6	-	-	-	-										
Tex.	-	27	1	18	9	1	23	13	7	16	-										
MOUNTAIN	51	67	2	7	6	3	200	186	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	2	4	-	-	1	-	103	101	-	-	-										
Wyo.	3	-	-	1	-	-	-	3	-	-	-										
Colo.	12	15	-	1	2	1	28	61	-	-	-										
N. Mex.	8	13	N	N	N	1	46	10	-	1	-										
Ariz.	18	15	-	1	-	-	13	8	-	1	-										
Utah	5	8	-	-	1	1	6	-	-	2	-										
Nev.	1	8	2	4	2	-	3	1	-	1	-										
PACIFIC	175	246	1	27	39	3	75	163	1	1	3										
Wash.	23	25	-	4	3	3	64	62	-	-	-										
Oreg.	36	56	N	N	N	-	8	5	-	-	-										
Calif.	113	162	1	14	28	-	-	90	-	-	1										
Alaska	1	1	-	2	2	-	-	2	-	-	-										
Hawaii	2	2	-	7	6	-	3	4	1	1	2										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


