
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 6, 1998 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	486	504	8,836	11,759	3,124	3,858	4	12	-	11	23	63									
NEW ENGLAND	26	29	118	281	47	71	-	-	-	1	1	8									
Maine	2	3	12	37	-	4	-	-	-	-	-	-									
N.H.	1	4	6	16	7	5	-	-	-	-	-	-									
Vt.	2	-	10	6	1	2	-	-	-	-	-	-									
Mass.	19	19	30	139	15	32	-	-	-	1	1	8									
R.I.	2	2	9	24	24	8	-	-	-	-	-	-									
Conn.	-	1	51	59	-	20	-	-	-	-	-	-									
MID. ATLANTIC	70	63	566	1,041	490	582	1	3	-	1	4	12									
Upstate N.Y.	28	3	145	110	131	101	1	2	-	-	2	4									
N.Y. City	11	21	140	469	123	237	U	-	U	-	-	5									
N.J.	27	25	113	155	90	112	-	1	-	-	1	2									
Pa.	4	14	168	307	146	132	-	-	-	1	1	1									
E.N. CENTRAL	74	80	1,099	1,303	300	671	2	5	-	2	7	6									
Ohio	32	40	144	179	28	41	-	-	-	-	-	-									
Ind.	18	8	73	129	24	45	-	2	-	1	3	-									
Ill.	23	23	169	322	52	126	-	-	-	-	-	5									
Mich.	-	9	628	581	181	213	2	3	-	1	4	1									
Wis.	1	-	85	92	15	246	-	-	-	-	-	-									
W.N. CENTRAL	32	22	753	819	134	232	-	-	-	-	-	11									
Minn.	17	14	28	69	11	18	-	-	-	-	-	2									
Iowa	1	2	349	109	20	16	-	-	-	-	-	-									
Mo.	9	3	303	461	80	175	-	-	-	-	-	1									
N. Dak.	-	-	2	9	2	1	U	-	U	-	-	-									
S. Dak.	-	2	8	12	1	-	-	-	-	-	-	8									
Nebr.	-	1	14	23	6	8	-	-	-	-	-	-									
Kans.	5	-	49	136	14	14	-	-	-	-	-	-									
S. ATLANTIC	102	89	726	602	436	437	-	1	-	5	6	3									
Del.	-	-	2	11	-	3	-	-	-	1	1	-									
Md.	31	36	151	101	66	68	-	-	-	1	1	1									
D.C.	-	-	25	13	6	20	-	-	-	-	-	1									
Va.	12	6	119	74	45	51	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	6	-	-	-	-	-	-									
N.C.	12	15	41	94	82	94	-	-	-	-	-	1									
S.C.	3	3	15	56	1	42	-	-	-	-	-	-									
Ga.	18	18	122	117	61	47	-	-	-	1	1	-									
Fla.	22	8	250	130	172	106	-	1	-	-	1	-									
E.S. CENTRAL	30	34	169	298	177	292	-	-	-	-	-	1									
Ky.	4	4	10	35	21	16	-	-	-	-	-	-									
Tenn.	19	20	115	176	128	185	-	-	-	-	-	-									
Ala.	7	8	44	48	28	32	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	26	21	1,523	2,354	472	436	-	-	-	-	-	4									
Ark.	-	1	27	115	25	31	-	-	-	-	-	-									
La.	12	4	23	87	29	46	-	-	-	-	-	-									
Okla.	12	14	244	715	32	15	-	-	-	-	-	-									
Tex.	2	2	1,229	1,437	386	344	-	-	-	-	-	4									
MOUNTAIN	63	51	1,458	1,758	350	380	-	-	-	-	-	7									
Mont.	-	-	43	47	3	5	-	-	-	-	-	-									
Idaho	-	1	107	73	17	14	-	-	-	-	-	-									
Wyo.	-	1	21	18	2	12	-	-	-	-	-	-									
Colo.	13	8	110	197	41	77	-	-	-	-	-	-									
N. Mex.	4	3	78	132	138	131	-	-	-	-	-	-									
Ariz.	36	14	939	825	98	81	-	-	-	-	-	5									
Utah	4	3	99	308	30	38	-	-	-	-	-	-									
Nev.	6	21	61	158	21	22	U	-	U	-	-	2									
PACIFIC	63	115	2,424	3,303	718	757	1	3	-	2	5	11									
Wash.	3	2	513	220	58	30	-	-	-	1	1	-									
Oreg.	28	21	182	167	53	48	-	-	-	-	-	-									
Calif.	26	88	1,695	2,833	596	663	1	3	-	1	4	8									
Alaska	1	1	11	19	6	10	-	-	-	-	-	-									
Hawaii	5	3	23	64	5	6	-	-	-	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	19	162	220	609	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	5	-	1	7	21	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


