
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 18, 1998 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,617	2,099	6	260	367	66	2,382	2,828	4	283	92										
NEW ENGLAND	72	129	-	1	7	8	418	576	1	36	1										
Maine	5	13	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	-	39	67	-	-	-										
Vt.	1	2	-	-	-	3	41	177	-	-	-										
Mass.	34	67	-	1	2	3	312	303	-	6	1										
R.I.	3	9	-	-	4	2	5	12	1	1	-										
Conn.	25	26	-	-	1	-	16	11	-	29	-										
MID. ATLANTIC	148	216	-	16	43	2	288	222	3	118	28										
Upstate N.Y.	38	59	-	3	9	2	146	82	1	107	5										
N.Y. City	17	38	-	4	3	-	8	53	2	6	23										
N.J.	40	43	U	1	7	U	5	11	U	4	-										
Pa.	53	76	U	8	24	U	129	76	U	1	-										
E.N. CENTRAL	246	313	-	43	44	6	211	266	-	-	5										
Ohio	88	114	-	19	17	3	76	78	-	-	-										
Ind.	46	34	-	5	4	2	68	30	-	-	-										
Ill.	60	90	-	2	8	1	16	35	-	-	1										
Mich.	28	47	-	17	12	-	34	31	-	-	-										
Wis.	24	28	-	-	3	-	17	92	-	-	4										
W.N. CENTRAL	136	153	-	20	12	1	190	163	-	26	-										
Minn.	24	25	-	10	5	-	115	101	-	-	-										
Iowa	23	34	-	6	6	-	40	9	-	-	-										
Mo.	52	69	-	3	-	1	16	29	-	2	-										
N. Dak.	2	1	-	1	-	-	-	1	-	-	-										
S. Dak.	6	4	-	-	-	-	5	3	-	-	-										
Nebr.	5	6	-	-	1	-	5	4	-	-	-										
Kans.	24	14	-	-	-	-	9	16	-	24	-										
S. ATLANTIC	287	355	2	37	41	8	145	252	-	8	29										
Del.	1	5	-	-	-	-	2	-	-	-	-										
Md.	23	35	-	-	1	1	29	80	-	-	-										
D.C.	-	5	-	-	-	-	1	3	-	-	-										
Va.	23	35	-	5	6	1	7	31	-	-	1										
W. Va.	9	14	U	-	-	U	1	5	U	-	-										
N.C.	42	66	-	9	7	2	50	68	-	5	22										
S.C.	41	38	-	4	10	1	16	11	-	-	6										
Ga.	62	66	-	1	5	-	6	6	-	-	-										
Fla.	86	91	2	18	12	3	33	48	-	3	-										
E.S. CENTRAL	113	154	-	1	19	2	56	56	-	-	1										
Ky.	17	38	-	-	3	2	22	14	-	-	-										
Tenn.	43	53	-	1	3	-	18	21	-	-	-										
Ala.	53	46	-	-	6	-	16	15	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	187	195	1	40	44	15	181	98	-	77	3										
Ark.	23	25	-	-	1	2	26	7	-	-	-										
La.	38	41	-	8	11	-	2	12	-	-	-										
Okla.	29	23	-	-	-	5	18	13	-	-	-										
Tex.	97	106	1	32	32	8	135	66	-	77	3										
MOUNTAIN	90	122	-	23	47	21	530	713	-	5	5										
Mont.	3	7	-	-	-	1	3	8	-	-	-										
Idaho	4	8	-	3	2	-	194	444	-	-	1										
Wyo.	4	1	-	1	1	-	7	5	-	-	-										
Colo.	19	32	-	5	3	3	105	186	-	-	-										
N. Mex.	16	19	N	N	N	1	67	36	-	1	-										
Ariz.	31	31	-	5	30	16	114	20	-	1	4										
Utah	10	11	-	3	6	-	28	4	-	2	-										
Nev.	3	13	U	6	5	U	12	10	U	1	-										
PACIFIC	338	462	3	79	110	3	363	482	-	13	20										
Wash.	45	55	-	5	13	-	149	207	-	9	5										
Oreg.	55	92	N	N	N	3	26	22	-	-	-										
Calif.	233	312	3	59	80	-	182	236	-	2	8										
Alaska	1	1	-	2	5	-	2	4	-	-	-										
Hawaii	4	2	U	13	12	U	4	13	U	2	7										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	5	8	-	1	5	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


