
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 1, 1998 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,684	2,175	3	282	381	108	2,714	3,034	3	293	123										
NEW ENGLAND	74	136	1	2	7	9	475	597	-	36	1										
Maine	5	15	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	1	40	70	-	-	-										
Vt.	1	2	-	-	-	3	47	180	-	-	-										
Mass.	36	70	-	1	2	5	353	318	-	6	1										
R.I.	3	11	-	-	4	-	5	12	-	1	-										
Conn.	25	26	1	1	1	-	25	11	-	29	-										
MID. ATLANTIC	155	229	-	17	44	8	306	228	2	123	28										
Upstate N.Y.	39	64	-	3	9	8	157	86	2	109	4										
N.Y. City	18	40	-	4	3	-	9	53	-	9	24										
N.J.	42	43	-	2	7	-	5	11	-	4	-										
Pa.	56	82	-	8	25	-	135	78	-	1	-										
E.N. CENTRAL	259	320	1	50	49	7	235	300	-	-	5										
Ohio	92	117	U	20	18	U	79	88	U	-	-										
Ind.	48	35	-	5	6	1	69	35	-	-	-										
Ill.	64	92	-	6	8	5	32	42	-	-	1										
Mich.	31	47	1	19	14	1	38	31	-	-	-										
Wis.	24	29	-	-	3	-	17	104	-	-	4										
W.N. CENTRAL	141	163	-	20	12	2	212	185	-	27	-										
Minn.	25	29	-	10	5	2	132	119	-	-	-										
Iowa	23	37	U	6	6	U	40	9	U	-	-										
Mo.	53	71	U	3	-	U	16	33	U	2	-										
N. Dak.	2	1	U	1	-	U	-	1	U	-	-										
S. Dak.	6	4	-	-	-	-	6	3	-	-	-										
Nebr.	7	6	-	-	1	-	8	4	-	-	-										
Kans.	25	15	-	-	-	-	10	16	-	25	-										
S. ATLANTIC	297	371	-	37	45	24	171	271	1	9	57										
Del.	1	5	-	-	-	-	2	-	-	-	-										
Md.	24	36	-	-	1	1	31	83	-	-	-										
D.C.	-	5	-	-	-	-	1	3	-	-	-										
Va.	24	36	-	5	7	-	7	32	-	-	1										
W. Va.	10	14	-	-	-	-	1	5	-	-	-										
N.C.	42	72	-	9	7	15	65	80	1	6	50										
S.C.	42	40	-	4	10	3	20	11	-	-	6										
Ga.	65	73	-	1	6	4	10	8	-	-	-										
Fla.	89	90	-	18	14	1	34	49	-	3	-										
E.S. CENTRAL	119	157	-	6	19	1	59	66	-	1	1										
Ky.	19	38	-	-	3	-	22	20	-	-	-										
Tenn.	46	55	-	1	3	1	20	25	-	-	-										
Ala.	54	47	-	5	6	-	17	15	-	1	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	191	201	-	40	44	3	195	121	-	79	3										
Ark.	23	25	U	-	1	U	26	9	U	-	-										
La.	40	43	-	8	11	-	2	12	-	-	-										
Okla.	29	24	-	-	-	-	18	17	-	-	-										
Tex.	99	109	-	32	32	3	149	83	-	79	3										
MOUNTAIN	97	126	-	24	48	15	577	758	-	5	5										
Mont.	3	7	-	-	-	-	3	9	-	-	-										
Idaho	6	8	-	3	2	-	193	458	-	-	1										
Wyo.	4	1	-	1	1	-	7	5	-	-	-										
Colo.	19	33	-	6	3	2	127	204	-	-	-										
N. Mex.	17	21	N	N	N	1	70	39	-	1	-										
Ariz.	33	32	-	5	31	7	129	23	-	1	4										
Utah	11	11	-	3	6	5	35	10	-	2	-										
Nev.	4	13	-	6	5	-	13	10	-	1	-										
PACIFIC	351	472	1	86	113	39	484	508	-	13	23										
Wash.	48	56	-	6	13	33	185	212	-	9	5										
Oreg.	56	93	N	N	N	2	30	22	-	-	-										
Calif.	242	319	1	63	82	3	261	256	-	2	10										
Alaska	1	1	-	2	5	1	3	4	-	-	-										
Hawaii	4	3	-	15	13	-	5	14	-	2	8										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	6	8	-	1	5	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


