
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 8, 1998 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,723	2,210	7	292	391	82	2,835	3,137	-	295	125										
NEW ENGLAND	74	138	-	2	8	4	498	609	-	36	1										
Maine	5	15	-	-	-	-	5	7	-	-	-										
N.H.	4	12	-	-	-	-	40	70	-	-	-										
Vt.	1	3	-	-	-	3	52	181	-	-	-										
Mass.	36	71	-	1	2	-	369	327	-	6	1										
R.I.	3	11	-	-	5	-	5	12	-	1	-										
Conn.	25	26	-	1	1	1	27	12	-	29	-										
MID. ATLANTIC	159	233	1	18	45	5	311	235	-	124	28										
Upstate N.Y.	42	64	-	3	10	2	159	88	-	110	4										
N.Y. City	18	41	-	4	3	-	9	54	-	9	24										
N.J.	41	44	-	2	7	-	5	11	-	4	-										
Pa.	58	84	1	9	25	3	138	82	-	1	-										
E.N. CENTRAL	261	324	2	53	49	14	249	314	-	-	5										
Ohio	94	119	1	21	18	11	90	92	-	-	-										
Ind.	48	35	-	5	6	-	69	35	-	-	-										
Ill.	64	94	-	7	8	3	35	45	-	-	1										
Mich.	31	47	1	20	14	-	38	32	-	-	-										
Wis.	24	29	-	-	3	-	17	110	-	-	4										
W.N. CENTRAL	144	164	-	21	12	23	244	187	-	27	-										
Minn.	25	29	-	10	5	17	149	120	-	-	-										
Iowa	26	38	-	7	6	6	53	10	-	-	-										
Mo.	53	71	U	3	-	U	16	33	U	2	-										
N. Dak.	2	1	U	1	-	U	2	1	U	-	-										
S. Dak.	6	4	-	-	-	-	6	3	-	-	-										
Nebr.	7	6	-	-	1	-	8	4	-	-	-										
Kans.	25	15	U	-	-	U	10	16	U	25	-										
S. ATLANTIC	305	376	-	37	46	6	176	281	-	9	58										
Del.	1	5	-	-	-	-	2	1	-	-	-										
Md.	24	36	-	-	1	-	31	87	-	-	-										
D.C.	-	6	-	-	-	-	1	3	-	-	-										
Va.	24	38	-	5	8	1	8	34	-	-	1										
W. Va.	12	14	-	-	-	-	1	5	-	-	-										
N.C.	45	72	-	9	7	-	65	80	-	6	50										
S.C.	44	40	-	4	10	2	22	11	-	-	6										
Ga.	65	75	-	1	6	-	10	8	-	-	-										
Fla.	90	90	-	18	14	3	36	52	-	3	1										
E.S. CENTRAL	129	165	1	7	21	1	65	74	-	1	1										
Ky.	19	38	-	-	3	-	22	26	-	-	-										
Tenn.	46	58	-	1	3	1	23	25	-	-	-										
Ala.	64	52	1	6	6	-	20	16	-	1	1										
Miss.	U	17	U	U	9	U	U	7	U	U	-										
W.S. CENTRAL	195	201	-	40	44	4	200	126	-	80	3										
Ark.	25	25	-	-	1	-	26	10	-	-	-										
La.	42	43	-	8	11	-	2	13	-	-	-										
Okla.	29	24	-	-	-	-	18	17	-	-	-										
Tex.	99	109	-	32	32	4	154	86	-	80	3										
MOUNTAIN	97	130	2	26	48	9	587	795	-	5	6										
Mont.	3	7	-	-	-	-	3	14	-	-	-										
Idaho	6	8	-	3	2	1	194	467	-	-	2										
Wyo.	4	1	-	1	1	1	8	6	-	-	-										
Colo.	19	35	2	8	3	1	129	214	-	-	-										
N. Mex.	17	22	N	N	N	5	75	48	-	1	-										
Ariz.	33	33	-	5	31	-	129	23	-	1	4										
Utah	11	11	-	3	6	1	36	12	-	2	-										
Nev.	4	13	U	6	5	U	13	11	U	1	-										
PACIFIC	359	479	1	88	118	16	505	516	-	13	23										
Wash.	50	56	1	7	13	8	193	216	-	9	5										
Oreg.	58	94	N	N	N	6	36	23	-	-	-										
Calif.	245	324	-	63	86	2	268	259	-	2	10										
Alaska	2	1	-	2	5	-	3	4	-	-	-										
Hawaii	4	4	-	16	14	-	5	14	-	2	8										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	6	8	-	1	5	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


