
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 15, 1998 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	690	715	13,345	17,040	4,978	5,723	-	28	-	19	47	102									
NEW ENGLAND	38	40	158	433	85	106	-	1	-	2	3	19									
Maine	2	3	13	45	2	6	-	-	-	-	-	1									
N.H.	7	6	8	21	10	7	-	-	-	-	-	1									
Vt.	4	3	13	8	3	5	-	-	-	1	1	-									
Mass.	22	24	50	184	22	45	-	1	-	1	2	16									
R.I.	2	2	11	95	48	11	-	-	-	-	-	-									
Conn.	1	2	63	80	-	32	-	-	-	-	-	1									
MID. ATLANTIC	95	104	907	1,349	712	835	-	9	-	4	13	22									
Upstate N.Y.	39	27	218	199	189	176	-	2	-	-	2	5									
N.Y. City	18	28	221	606	181	314	-	-	-	-	-	7									
N.J.	33	34	218	195	135	158	-	7	-	1	8	3									
Pa.	5	15	250	349	207	187	-	-	-	3	3	7									
E.N. CENTRAL	114	118	1,852	1,742	516	925	-	11	-	3	14	8									
Ohio	40	66	207	218	47	55	-	-	-	1	1	-									
Ind.	27	11	101	191	64	71	-	2	-	1	3	-									
Ill.	40	27	312	462	102	178	-	-	-	-	-	6									
Mich.	3	14	1,116	741	280	263	-	9	-	1	10	2									
Wis.	4	-	116	130	23	358	-	-	-	-	-	-									
W.N. CENTRAL	64	37	966	1,285	248	310	-	-	-	-	-	12									
Minn.	49	27	83	111	24	23	-	-	-	-	-	3									
Iowa	2	4	372	226	42	23	-	-	-	-	-	-									
Mo.	8	3	391	676	151	227	U	-	U	-	-	1									
N. Dak.	-	-	3	10	4	4	-	-	-	-	-	-									
S. Dak.	-	2	18	17	1	1	-	-	-	-	-	8									
Nebr.	-	1	24	52	9	9	-	-	-	-	-	-									
Kans.	5	-	75	193	17	23	-	-	-	-	-	-									
S. ATLANTIC	144	113	1,153	1,021	735	740	-	3	-	5	8	9									
Del.	-	-	3	21	-	4	-	-	-	1	1	-									
Md.	41	44	197	133	100	106	-	-	-	1	1	2									
D.C.	-	-	36	16	8	25	-	-	-	-	-	1									
Va.	13	9	146	137	66	78	-	-	-	2	2	1									
W. Va.	4	3	1	6	4	9	-	-	-	-	-	-									
N.C.	21	17	67	121	140	161	-	-	-	-	-	1									
S.C.	3	3	18	72	22	62	-	-	-	-	-	1									
Ga.	30	22	342	230	120	83	-	1	-	1	2	1									
Fla.	32	15	343	285	275	212	-	2	-	-	2	2									
E.S. CENTRAL	43	40	261	407	245	413	-	-	-	2	2	1									
Ky.	6	6	15	51	27	26	-	-	-	-	-	-									
Tenn.	25	24	153	254	171	280	-	-	-	-	-	-									
Ala.	10	8	50	58	47	43	-	-	-	2	2	1									
Miss.	U	2	U	44	U	64	U	U	U	U	U	-									
W.S. CENTRAL	39	33	2,557	3,496	835	728	-	-	-	-	-	7									
Ark.	-	2	67	145	54	56	-	-	-	-	-	-									
La.	18	7	51	136	63	93	-	-	-	-	-	-									
Okla.	19	22	373	988	58	25	-	-	-	-	-	-									
Tex.	2	2	2,066	2,227	660	554	-	-	-	-	-	7									
MOUNTAIN	73	66	2,074	2,639	535	547	-	-	-	-	-	7									
Mont.	-	-	67	56	5	6	-	-	-	-	-	-									
Idaho	-	1	174	87	21	17	-	-	-	-	-	-									
Wyo.	1	2	26	21	2	17	-	-	-	-	-	-									
Colo.	15	11	163	273	71	102	U	-	U	-	-	-									
N. Mex.	5	7	100	209	220	177	-	-	-	-	-	-									
Ariz.	41	27	1,325	1,314	135	125	-	-	-	-	-	5									
Utah	4	3	134	401	50	64	-	-	-	-	-	-									
Nev.	7	15	85	278	31	39	-	-	-	-	-	2									
PACIFIC	80	164	3,417	4,668	1,067	1,119	-	4	-	3	7	17									
Wash.	7	3	696	328	71	48	U	-	U	1	1	1									
Oreg.	33	26	239	237	70	68	-	-	-	-	-	-									
Calif.	32	126	2,440	3,986	913	984	-	4	-	2	6	12									
Alaska	1	2	14	25	8	11	-	-	-	-	-	-									
Hawaii	7	7	28	92	5	8	-	-	-	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	38	202	268	469	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


