
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 1999 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	41	113	2	3	10	15	39	145	1	1	1										
NEW ENGLAND	3	7	-	-	-	4	5	32	-	-	-										
Maine	2	1	-	-	-	-	-	1	-	-	-										
N.H.	-	1	-	-	-	-	-	1	-	-	-										
Vt.	1	-	-	-	-	4	5	8	-	-	-										
Mass.	-	3	U	-	-	U	-	22	U	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	2	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	2	11	-	-	-	-	2	4	-	-	-										
Upstate N.Y.	-	1	-	-	-	-	2	2	-	-	-										
N.Y. City	-	2	-	-	-	-	-	-	-	-	-										
N.J.	1	6	-	-	-	-	-	2	-	-	-										
Pa.	1	2	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	9	12	-	-	-	-	-	18	-	-	-										
Ohio	8	9	-	-	-	-	-	10	-	-	-										
Ind.	-	1	-	-	-	-	-	-	-	-	-										
Ill.	1	1	-	-	-	-	-	-	-	-	-										
Mich.	-	-	U	-	-	U	-	4	U	-	-										
Wis.	-	1	-	-	-	-	-	4	-	-	-										
W.N. CENTRAL	-	7	1	1	-	-	-	7	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	1	1	-	-	-	3	-	-	-										
Mo.	-	5	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	U	-	-	U	-	2	U	-	-										
Kans.	-	2	U	-	-	U	-	2	U	-	-										
S. ATLANTIC	11	19	1	1	5	6	8	23	-	-	1										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	3	7	-	-	-	2	4	2	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	2	U	-	-	U	-	-	U	-	-										
N.C.	2	2	-	-	3	4	4	21	-	-	1										
S.C.	1	3	-	-	2	-	-	-	-	-	-										
Ga.	-	5	U	-	-	U	-	-	U	-	-										
Fla.	5	-	1	1	-	-	-	-	-	-	-										
E.S. CENTRAL	3	12	-	-	-	-	3	1	1	1	-										
Ky.	-	4	U	-	-	U	-	-	U	-	-										
Tenn.	-	2	-	-	-	-	-	-	-	-	-										
Ala.	3	6	-	-	-	-	3	1	-	-	-										
Miss.	-	-	-	-	-	-	-	-	1	1	-										
W.S. CENTRAL	-	6	-	-	1	-	-	-	-	-	-										
Ark.	-	1	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	5	-	-	-	-	-	-	-	-	-										
Tex.	-	-	U	-	1	U	-	-	U	-	-										
MOUNTAIN	5	10	-	-	2	5	21	39	-	-	-										
Mont.	-	1	-	-	-	-	-	-	-	-	-										
Idaho	1	-	-	-	-	4	13	19	-	-	-										
Wyo.	-	1	U	-	-	U	-	-	U	-	-										
Colo.	1	4	-	-	-	-	-	6	-	-	-										
N. Mex.	1	2	N	N	N	-	2	12	-	-	-										
Ariz.	1	1	U	-	1	U	1	-	U	-	-										
Utah	1	1	-	-	-	1	5	1	-	-	-										
Nev.	-	-	U	-	1	U	-	1	U	-	-										
PACIFIC	8	29	-	1	2	-	-	21	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	-	13	N	N	N	-	-	3	-	-	-										
Calif.	8	16	-	1	-	-	-	18	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	2	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


