
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 13, 1999 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	90	129	1,341	2,105	496	898	-	7	-	2	9	2									
NEW ENGLAND	5	11	20	51	6	15	-	-	-	-	-	1									
Maine	-	-	1	7	-	-	-	-	-	-	-	-									
N.H.	1	1	2	3	2	2	-	-	-	-	-	-									
Vt.	2	-	-	2	-	-	-	-	-	-	-	-									
Mass.	2	10	6	12	2	8	-	-	-	-	-	1									
R.I.	-	-	-	4	2	-	-	-	-	-	-	-									
Conn.	-	-	11	23	-	5	-	-	-	-	-	-									
MID. ATLANTIC	13	16	55	148	50	136	-	-	-	-	-	1									
Upstate N.Y.	10	5	12	32	14	26	-	-	-	-	-	-									
N.Y. City	-	5	9	63	5	36	-	-	-	-	-	-									
N.J.	3	6	15	25	8	23	-	-	-	-	-	1									
Pa.	-	-	19	28	23	51	-	-	-	-	-	-									
E.N. CENTRAL	13	22	392	394	54	234	-	-	-	-	-	-									
Ohio	11	9	78	55	14	10	-	-	-	-	-	-									
Ind.	1	2	29	58	4	106	-	-	-	-	-	-									
Ill.	1	10	14	104	-	33	-	-	-	-	-	-									
Mich.	-	-	271	151	36	67	-	-	-	-	-	-									
Wis.	-	1	-	26	-	18	-	-	-	-	-	-									
W.N. CENTRAL	3	-	23	203	10	49	-	-	-	-	-	-									
Minn.	-	-	-	5	-	2	-	-	-	-	-	-									
Iowa	1	-	7	63	4	9	-	-	-	-	-	-									
Mo.	-	-	3	117	-	35	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	1	-	-	1	-	1	-	-	-	-	-	-									
Nebr.	-	-	10	3	5	-	-	-	-	-	-	-									
Kans.	1	-	3	14	1	2	-	-	-	-	-	-									
S. ATLANTIC	31	19	150	130	80	72	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	18	7	40	44	21	20	-	-	-	-	-	-									
D.C.	-	-	7	5	-	1	-	-	-	-	-	-									
Va.	-	3	9	19	6	5	-	-	-	-	-	-									
W. Va.	-	1	-	-	-	-	-	-	-	-	-	-									
N.C.	2	1	19	10	26	28	-	-	-	-	-	-									
S.C.	2	-	1	5	8	-	-	-	-	-	-	-									
Ga.	-	7	32	26	3	11	-	-	-	-	-	-									
Fla.	9	-	42	21	16	7	-	-	-	-	-	-									
E.S. CENTRAL	7	11	46	63	33	51	-	-	-	-	-	-									
Ky.	-	2	-	2	-	2	U	-	U	-	-	-									
Tenn.	5	4	27	36	23	38	-	-	-	-	-	-									
Ala.	2	5	18	13	10	11	-	-	-	-	-	-									
Miss.	-	-	1	12	-	-	U	-	U	-	-	-									
W.S. CENTRAL	5	7	41	144	18	57	-	-	-	2	2	-									
Ark.	-	-	3	2	7	12	-	-	-	-	-	-									
La.	3	3	5	3	3	2	-	-	-	-	-	-									
Okla.	1	3	2	47	-	3	-	-	-	-	-	-									
Tex.	1	1	31	92	8	40	-	-	-	2	2	-									
MOUNTAIN	8	28	109	371	56	96	-	1	-	-	1	-									
Mont.	1	-	1	6	-	1	-	-	-	-	-	-									
Idaho	1	-	4	24	4	3	-	-	-	-	-	-									
Wyo.	-	-	-	3	-	1	U	-	U	-	-	-									
Colo.	-	2	39	35	14	11	-	1	-	-	1	-									
N. Mex.	2	-	5	22	27	31	-	-	-	-	-	-									
Ariz.	-	15	50	226	6	29	U	-	U	-	-	-									
Utah	4	2	10	24	5	8	-	-	-	-	-	-									
Nev.	-	9	-	31	-	12	U	-	U	-	-	-									
PACIFIC	5	15	505	601	189	188	-	6	-	-	6	-									
Wash.	-	-	8	42	1	14	-	-	-	-	-	-									
Oreg.	4	8	6	42	4	16	-	6	-	-	6	-									
Calif.	-	6	489	509	182	154	-	-	-	-	-	-									
Alaska	1	-	1	-	2	1	-	-	-	-	-	-									
Hawaii	-	1	1	8	-	3	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	7	6	6	54	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	7	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


