
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 27, 1999 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	147	177	2,065	2,766	688	1,179	-	7	-	4	11	3									
NEW ENGLAND	14	12	22	66	10	20	-	-	-	1	1	1									
Maine	1	-	2	8	-	-	-	-	-	-	-	-									
N.H.	2	1	2	3	2	2	-	-	-	1	1	-									
Vt.	3	-	-	3	-	-	-	-	-	-	-	-									
Mass.	8	11	7	16	6	11	-	-	-	-	-	1									
R.I.	-	-	-	4	2	-	-	-	-	-	-	-									
Conn.	-	-	11	32	-	7	-	-	-	-	-	-									
MID. ATLANTIC	19	27	92	209	69	180	-	-	-	-	-	1									
Upstate N.Y.	11	11	35	44	20	38	-	-	-	-	-	-									
N.Y. City	-	8	13	83	7	47	-	-	-	-	-	-									
N.J.	8	8	25	42	19	33	-	-	-	-	-	1									
Pa.	-	-	19	40	23	62	-	-	-	-	-	-									
E.N. CENTRAL	16	27	539	496	68	282	-	-	-	-	-	1									
Ohio	13	12	112	61	18	12	-	-	-	-	-	-									
Ind.	1	2	29	68	4	125	-	-	-	-	-	-									
Ill.	2	12	37	137	-	41	-	-	-	-	-	-									
Mich.	-	-	359	201	46	83	-	-	-	-	-	1									
Wis.	-	1	2	29	-	21	-	-	-	-	-	-									
W.N. CENTRAL	6	1	52	268	20	68	-	-	-	-	-	-									
Minn.	-	-	2	5	2	2	-	-	-	-	-	-									
Iowa	2	-	12	94	6	10	-	-	-	-	-	-									
Mo.	-	-	16	143	4	48	-	-	-	-	-	-									
N. Dak.	-	-	-	1	-	-	U	-	U	-	-	-									
S. Dak.	1	-	-	1	-	1	-	-	-	-	-	-									
Nebr.	1	-	14	4	6	2	-	-	-	-	-	-									
Kans.	2	1	8	20	2	5	-	-	-	-	-	-									
S. ATLANTIC	39	28	214	186	124	109	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	19	8	55	59	28	27	-	-	-	-	-	-									
D.C.	-	-	9	8	2	1	-	-	-	-	-	-									
Va.	2	3	14	25	8	10	-	-	-	-	-	-									
W. Va.	1	1	-	-	-	-	-	-	-	-	-	-									
N.C.	4	3	25	14	31	40	-	-	-	-	-	-									
S.C.	2	-	1	7	14	-	-	-	-	-	-	-									
Ga.	1	10	52	41	12	21	-	-	-	-	-	-									
Fla.	10	3	58	32	29	10	-	-	-	-	-	-									
E.S. CENTRAL	12	13	69	83	46	62	-	-	-	-	-	-									
Ky.	-	3	-	2	-	3	U	-	U	-	-	-									
Tenn.	8	5	47	40	34	46	-	-	-	-	-	-									
Ala.	4	5	21	23	12	13	-	-	-	-	-	-									
Miss.	-	-	1	18	-	-	U	-	U	-	-	-									
W.S. CENTRAL	10	11	160	206	21	86	-	-	-	2	2	-									
Ark.	-	-	5	4	6	14	-	-	-	-	-	-									
La.	3	5	6	4	4	5	-	-	-	-	-	-									
Okla.	5	4	46	69	3	6	-	-	-	-	-	-									
Tex.	2	2	103	129	8	61	-	-	-	2	2	-									
MOUNTAIN	22	35	191	482	72	119	-	1	-	-	1	-									
Mont.	1	-	2	6	1	1	-	-	-	-	-	-									
Idaho	1	-	5	33	4	4	-	-	-	-	-	-									
Wyo.	1	-	1	7	-	1	-	-	-	-	-	-									
Colo.	1	6	59	47	18	13	-	1	-	-	1	-									
N. Mex.	5	-	5	31	34	42	-	-	-	-	-	-									
Ariz.	9	17	107	287	8	31	-	-	-	-	-	-									
Utah	4	2	12	33	7	11	-	-	-	-	-	-									
Nev.	U	10	U	38	U	16	U	U	U	U	U	-									
PACIFIC	9	23	726	770	258	253	-	6	-	1	7	-									
Wash.	-	1	48	50	2	16	-	-	-	-	-	-									
Oreg.	4	11	31	54	9	22	-	6	-	-	6	-									
Calif.	4	8	644	656	244	208	-	-	-	1	1	-									
Alaska	1	1	2	1	2	2	-	-	-	-	-	-									
Hawaii	-	2	1	9	1	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	8	6	13	71	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	14	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


