
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 1999 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	316	324	4,087	5,526	1,535	2,238	-	14	1	6	20	13									
NEW ENGLAND	24	22	43	97	28	35	-	-	-	1	1	1									
Maine	2	2	2	10	-	-	-	-	-	-	-	-									
N.H.	4	1	6	6	4	4	-	-	-	1	1	-									
Vt.	3	2	2	6	1	-	-	-	-	-	-	-									
Mass.	11	17	11	26	17	19	-	-	-	-	-	1									
R.I.	-	-	2	6	6	1	-	-	-	-	-	-									
Conn.	4	-	20	43	-	11	-	-	-	-	-	-									
MID. ATLANTIC	40	45	255	442	198	339	-	-	-	-	-	3									
Upstate N.Y.	24	17	70	94	51	83	-	-	-	-	-	-									
N.Y. City	4	13	43	164	42	93	-	-	-	-	-	-									
N.J.	12	14	36	81	27	61	-	-	-	-	-	2									
Pa.	-	1	106	103	78	102	-	-	-	-	-	1									
E.N. CENTRAL	34	48	959	862	131	469	-	-	-	-	-	1									
Ohio	21	22	233	105	29	22	-	-	-	-	-	-									
Ind.	1	5	29	89	4	225	-	-	-	-	-	-									
Ill.	8	20	130	225	-	68	-	-	-	-	-	-									
Mich.	4	-	565	361	98	128	-	-	-	-	-	1									
Wis.	-	1	2	82	-	26	-	-	-	-	-	-									
W.N. CENTRAL	31	13	211	516	86	102	-	-	-	-	-	-									
Minn.	11	4	18	20	13	7	-	-	-	-	-	-									
Iowa	6	1	38	230	15	13	-	-	-	-	-	-									
Mo.	10	4	121	209	48	68	-	-	-	-	-	-									
N. Dak.	-	-	-	2	-	1	U	-	U	-	-	-									
S. Dak.	1	-	8	2	-	1	-	-	-	-	-	-									
Nebr.	1	-	14	13	6	4	-	-	-	-	-	-									
Kans.	2	4	12	40	4	8	-	-	-	-	-	-									
S. ATLANTIC	79	62	503	457	297	252	-	-	1	1	1	5									
Del.	-	-	1	-	-	-	-	-	-	-	-	-									
Md.	22	16	100	106	52	45	-	-	-	-	-	1									
D.C.	2	-	16	15	6	3	-	-	-	-	-	-									
Va.	8	9	38	77	26	28	-	-	-	-	-	2									
W. Va.	1	2	4	-	5	2	-	-	-	-	-	-									
N.C.	12	8	42	28	63	68	-	-	-	-	-	-									
S.C.	2	1	5	8	32	-	-	-	-	-	-	-									
Ga.	18	17	139	109	33	57	-	-	-	-	-	1									
Fla.	14	9	158	114	80	49	-	-	1	1	1	1									
E.S. CENTRAL	27	21	107	129	92	131	-	-	-	-	-	-									
Ky.	2	5	6	6	7	10	U	-	U	-	-	-									
Tenn.	14	10	72	72	58	96	-	-	-	-	-	-									
Ala.	10	5	27	31	27	25	-	-	-	-	-	-									
Miss.	1	1	2	20	-	-	-	-	-	-	-	-									
W.S. CENTRAL	18	17	437	542	114	199	-	-	-	2	2	-									
Ark.	-	-	11	13	10	25	-	-	-	-	-	-									
La.	4	7	14	8	27	10	-	-	-	-	-	-									
Okla.	12	8	128	127	34	14	-	-	-	-	-	-									
Tex.	2	2	284	394	43	150	-	-	-	2	2	-									
MOUNTAIN	36	58	408	934	142	222	-	1	-	-	1	-									
Mont.	1	-	5	9	7	2	-	-	-	-	-	-									
Idaho	1	-	16	59	7	9	-	-	-	-	-	-									
Wyo.	1	-	1	12	-	2	U	-	U	-	-	-									
Colo.	2	12	85	73	29	30	-	1	-	-	1	-									
N. Mex.	10	-	11	51	47	86	-	-	-	-	-	-									
Ariz.	18	31	233	602	25	52	-	-	-	-	-	-									
Utah	3	3	16	55	8	19	-	-	-	-	-	-									
Nev.	-	12	41	73	19	22	-	-	-	-	-	-									
PACIFIC	27	38	1,164	1,547	447	489	-	13	-	2	15	3									
Wash.	-	1	77	178	11	35	-	-	-	-	-	-									
Oreg.	13	19	70	126	21	52	-	8	-	-	8	-									
Calif.	12	15	1,014	1,218	404	394	-	5	-	2	7	3									
Alaska	2	1	2	3	7	2	-	-	-	-	-	-									
Hawaii	-	2	1	22	4	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	25	13	31	158	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	26	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


