
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 5, 1999 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,158	1,368	7	156	369	107	2,176	1,922	8	46	253										
NEW ENGLAND	46	63	-	3	-	-	169	360	-	5	36										
Maine	4	4	-	-	-	-	-	5	-	-	-										
N.H.	-	4	-	1	-	-	51	25	-	-	-										
Vt.	4	1	-	-	-	-	10	31	-	-	-										
Mass.	30	28	U	2	-	U	97	283	U	5	8										
R.I.	2	3	-	-	-	-	3	3	-	-	-										
Conn.	6	23	-	-	-	-	8	13	-	-	28										
MID. ATLANTIC	102	137	1	19	162	38	544	248	4	12	116										
Upstate N.Y.	26	33	1	4	3	28	485	114	4	9	101										
N.Y. City	25	17	-	3	153	-	10	13	-	-	9										
N.J.	23	35	-	-	2	-	-	8	-	-	5										
Pa.	28	52	-	12	4	10	49	113	-	3	1										
E.N. CENTRAL	174	225	-	20	42	-	160	192	-	-	-										
Ohio	77	73	U	6	17	U	98	63	U	-	-										
Ind.	27	41	-	2	4	-	10	48	-	-	-										
Ill.	46	64	-	6	6	-	33	13	-	-	-										
Mich.	23	24	-	6	15	-	19	30	-	-	-										
Wis.	1	23	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	136	111	-	5	20	8	55	146	2	5	17										
Minn.	28	16	-	1	10	6	24	79	-	-	-										
Iowa	29	16	-	3	6	1	16	37	2	5	-										
Mo.	54	48	-	1	3	1	12	12	-	-	2										
N. Dak.	3	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	6	U	-	-	U	2	4	U	-	-										
Nebr.	5	4	-	-	-	-	1	6	-	-	-										
Kans.	12	21	-	-	-	-	-	8	-	-	15										
S. ATLANTIC	202	207	1	31	24	7	123	108	-	2	4										
Del.	3	1	-	-	-	-	-	1	-	-	-										
Md.	30	22	-	3	-	2	35	22	-	1	-										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	24	21	-	8	4	-	13	6	-	-	-										
W. Va.	4	7	-	-	-	-	1	1	-	-	-										
N.C.	25	31	-	5	7	-	27	42	-	1	3										
S.C.	24	31	-	3	4	-	8	13	-	-	-										
Ga.	30	44	1	1	1	3	15	2	-	-	-										
Fla.	61	50	-	9	8	2	24	20	-	-	1										
E.S. CENTRAL	96	104	-	1	4	-	41	48	-	1	-										
Ky.	25	15	-	-	-	-	3	18	-	-	-										
Tenn.	32	36	-	-	-	-	24	14	-	-	-										
Ala.	22	35	-	1	1	-	10	14	-	1	-										
Miss.	17	18	-	-	3	-	4	2	-	-	-										
W.S. CENTRAL	88	152	2	20	30	2	54	123	-	5	62										
Ark.	19	22	-	-	-	-	4	14	-	-	-										
La.	31	25	-	2	2	-	3	-	-	-	-										
Okla.	15	25	-	1	-	-	7	15	-	-	-										
Tex.	23	80	2	17	28	2	40	94	-	5	62										
MOUNTAIN	85	78	1	10	22	11	228	374	2	14	5										
Mont.	2	2	-	-	-	1	2	1	-	-	-										
Idaho	8	3	1	1	3	2	92	121	-	-	-										
Wyo.	3	3	-	-	1	-	2	7	-	-	-										
Colo.	22	17	-	3	2	3	54	90	-	-	-										
N. Mex.	10	13	N	N	N	-	19	61	-	-	1										
Ariz.	28	28	-	-	4	5	29	62	2	13	1										
Utah	7	8	-	5	3	-	28	19	-	-	2										
Nev.	5	4	-	1	9	-	2	13	-	1	1										
PACIFIC	229	291	2	47	65	41	802	323	-	2	13										
Wash.	34	34	-	1	5	35	474	128	-	-	9										
Oreg.	40	48	N	N	N	2	15	25	-	-	-										
Calif.	147	204	2	40	44	3	303	166	-	2	2										
Alaska	4	1	-	1	2	-	3	-	-	-	-										
Hawaii	4	4	-	5	14	1	7	4	-	-	2										
Guam	-	2	U	-	2	U	-	-	U	-	-										
P.R.	3	5	-	-	1	-	7	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


