
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 11, 1999 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	820	788	10,431	15,590	4,521	6,784	-	37	-	19	56	50									
NEW ENGLAND	59	52	148	207	69	149	-	6	-	4	10	3									
Maine	5	2	5	16	1	2	-	-	-	-	-	-									
N.H.	14	8	11	9	10	11	-	-	-	1	1	-									
Vt.	5	5	6	13	2	6	-	-	-	-	-	1									
Mass.	22	33	55	85	31	55	-	5	-	2	7	2									
R.I.	1	3	13	12	25	49	-	-	-	-	-	-									
Conn.	12	1	58	72	-	26	U	1	U	1	2	-									
MID. ATLANTIC	128	123	658	1,205	493	882	-	-	-	2	2	13									
Upstate N.Y.	62	42	179	247	140	171	-	-	-	2	2	2									
N.Y. City	28	35	173	414	151	305	-	-	-	-	-	-									
N.J.	37	39	57	243	40	157	U	-	U	-	-	8									
Pa.	1	7	249	301	162	249	-	-	-	-	-	3									
E.N. CENTRAL	128	135	1,945	2,447	445	1,013	-	1	-	1	2	15									
Ohio	47	42	473	235	70	56	-	-	-	-	-	1									
Ind.	20	35	78	108	33	78	-	1	-	-	1	3									
Ill.	51	48	366	568	-	177	-	-	-	-	-	-									
Mich.	10	5	1,002	1,385	341	326	-	-	-	1	1	10									
Wis.	-	5	26	151	1	376	-	-	-	-	-	1									
W.N. CENTRAL	70	73	552	1,091	228	285	-	-	-	-	-	-									
Minn.	33	57	54	95	37	33	-	-	-	-	-	-									
Iowa	7	2	102	370	27	45	-	-	-	-	-	-									
Mo.	21	8	307	501	125	170	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	2	-	-	-	-	-	-									
Nebr.	3	-	41	21	11	12	-	-	-	-	-	-									
Kans.	4	6	38	80	27	19	-	-	-	-	-	-									
S. ATLANTIC	194	144	1,396	1,287	863	717	-	1	-	4	5	8									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	50	44	253	284	125	103	-	-	-	-	-	1									
D.C.	4	-	53	43	19	10	-	-	-	-	-	-									
Va.	14	15	109	158	66	75	-	1	-	2	3	2									
W. Va.	6	5	26	3	17	5	-	-	-	-	-	-									
N.C.	28	23	111	81	182	158	-	-	-	-	-	-									
S.C.	5	3	30	23	58	26	-	-	-	-	-	-									
Ga.	51	31	344	361	108	123	-	-	-	-	-	2									
Fla.	36	23	468	331	288	217	-	-	-	2	2	2									
E.S. CENTRAL	51	42	286	285	325	344	-	-	-	-	-	2									
Ky.	6	7	51	23	31	36	-	-	-	-	-	-									
Tenn.	28	23	142	165	172	191	-	-	-	-	-	1									
Ala.	15	10	44	52	64	48	-	-	-	-	-	1									
Miss.	2	2	49	45	58	69	-	-	-	-	-	-									
W.S. CENTRAL	41	41	1,934	2,753	624	1,513	-	5	-	3	8	-									
Ark.	2	-	39	69	35	75	-	-	-	-	-	-									
La.	7	19	73	47	77	67	-	-	-	-	-	-									
Okla.	28	20	336	410	94	59	U	-	U	-	-	-									
Tex.	4	2	1,486	2,227	418	1,312	-	5	-	3	8	-									
MOUNTAIN	69	89	944	2,385	431	597	-	3	-	-	3	-									
Mont.	1	-	16	73	16	5	-	-	-	-	-	-									
Idaho	1	-	31	193	21	25	-	-	-	-	-	-									
Wyo.	1	1	5	29	10	3	-	-	-	-	-	-									
Colo.	10	19	166	205	67	76	-	-	-	-	-	-									
N. Mex.	18	5	38	109	142	233	-	-	-	-	-	-									
Ariz.	30	43	562	1,467	113	137	-	1	-	-	1	-									
Utah	6	3	36	149	24	55	-	2	-	-	2	-									
Nev.	2	18	90	160	38	63	-	-	-	-	-	-									
PACIFIC	80	89	2,568	3,930	1,043	1,284	-	21	-	5	26	9									
Wash.	3	6	224	778	46	69	-	-	-	-	-	1									
Oreg.	30	36	187	301	58	133	-	9	-	-	9	-									
Calif.	37	39	2,141	2,794	917	1,063	-	12	-	4	16	7									
Alaska	5	1	6	15	12	10	-	-	-	-	-	1									
Hawaii	5	7	10	42	10	9	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	110	49	101	182	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	3	U	53	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


