
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 25, 1999 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	857	818	11,215	16,504	4,717	7,122	1	42	1	21	63	69									
NEW ENGLAND	65	54	179	218	72	158	-	6	-	4	10	3									
Maine	5	2	7	16	1	2	-	-	-	-	-	-									
N.H.	16	8	12	9	12	14	-	-	-	1	1	-									
Vt.	5	5	11	14	2	7	-	-	-	-	-	1									
Mass.	23	33	60	91	30	57	-	5	-	2	7	2									
R.I.	1	5	14	14	27	52	-	-	-	-	-	-									
Conn.	15	1	75	74	-	26	-	1	-	1	2	-									
MID. ATLANTIC	134	133	690	1,271	500	926	-	-	-	2	2	14									
Upstate N.Y.	65	44	189	263	144	179	-	-	-	2	2	2									
N.Y. City	29	36	195	441	154	326	-	-	-	-	-	-									
N.J.	39	46	57	256	40	165	-	-	-	-	-	8									
Pa.	1	7	249	311	162	256	-	-	-	-	-	4									
E.N. CENTRAL	136	143	2,065	2,613	466	1,065	-	1	-	1	2	15									
Ohio	47	43	473	247	70	57	U	-	U	-	-	1									
Ind.	20	36	85	115	35	81	-	1	-	-	1	3									
Ill.	58	50	442	603	1	186	-	-	-	-	-	-									
Mich.	11	8	1,039	1,490	359	344	-	-	-	1	1	10									
Wis.	-	6	26	158	1	397	-	-	-	-	-	1									
W.N. CENTRAL	74	73	590	1,130	231	300	-	-	-	-	-	-									
Minn.	36	57	58	95	38	33	-	-	-	-	-	-									
Iowa	7	2	111	376	28	46	-	-	-	-	-	-									
Mo.	22	8	323	531	123	182	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	2	-	-	-	-	-	-									
Nebr.	3	-	48	22	14	13	-	-	-	-	-	-									
Kans.	4	6	40	82	27	20	U	-	U	-	-	-									
S. ATLANTIC	198	149	1,486	1,399	914	751	-	1	1	5	6	8									
Del.	-	-	2	3	1	1	-	-	-	-	-	1									
Md.	51	45	274	306	132	108	-	-	-	-	-	1									
D.C.	4	-	54	47	20	10	-	-	-	-	-	-									
Va.	15	15	119	163	69	79	-	1	-	2	3	2									
W. Va.	6	5	29	4	22	5	-	-	-	-	-	-									
N.C.	28	23	118	90	185	168	-	-	1	1	1	-									
S.C.	5	3	31	27	59	29	-	-	-	-	-	-									
Ga.	53	33	358	425	122	127	-	-	-	-	-	2									
Fla.	36	25	501	334	304	224	-	-	-	2	2	2									
E.S. CENTRAL	51	43	288	304	329	363	-	2	-	-	2	2									
Ky.	6	7	53	24	31	36	-	2	-	-	2	-									
Tenn.	28	24	142	178	172	204	-	-	-	-	-	1									
Ala.	15	10	44	53	68	51	-	-	-	-	-	1									
Miss.	2	2	49	49	58	72	-	-	-	-	-	-									
W.S. CENTRAL	42	41	2,231	2,936	666	1,605	-	5	-	4	9	-									
Ark.	2	-	42	71	35	84	U	-	U	-	-	-									
La.	7	19	73	57	77	74	U	-	U	-	-	-									
Okla.	29	20	355	438	101	70	-	-	-	-	-	-									
Tex.	4	2	1,761	2,370	453	1,377	-	5	-	4	9	-									
MOUNTAIN	74	90	1,003	2,509	453	624	-	3	-	-	3	-									
Mont.	2	-	17	79	17	5	-	-	-	-	-	-									
Idaho	1	-	33	205	22	27	U	-	U	-	-	-									
Wyo.	1	1	6	33	12	5	-	-	-	-	-	-									
Colo.	10	19	176	231	71	78	-	-	-	-	-	-									
N. Mex.	18	5	39	110	144	244	-	-	-	-	-	-									
Ariz.	32	44	587	1,523	120	141	-	1	-	-	1	-									
Utah	7	3	37	154	27	56	-	2	-	-	2	-									
Nev.	3	18	108	174	40	68	-	-	-	-	-	-									
PACIFIC	83	92	2,683	4,124	1,086	1,330	1	24	-	5	29	27									
Wash.	3	6	242	801	53	69	-	-	-	-	-	1									
Oreg.	31	36	195	317	63	142	-	9	-	-	9	-									
Calif.	38	40	2,229	2,945	948	1,098	1	15	-	4	19	7									
Alaska	5	3	6	16	12	10	-	-	-	-	-	19									
Hawaii	6	7	11	45	10	11	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	50	102	189	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


