
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 30, 1999 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	958	902	13,724	18,548	5,256	7,987	2	56	1	23	79	79									
NEW ENGLAND	78	62	233	242	83	176	-	6	-	5	11	3									
Maine	5	3	11	17	1	2	-	-	-	-	-	-									
N.H.	17	10	15	11	13	16	-	-	-	1	1	-									
Vt.	5	7	17	15	2	8	-	-	-	-	-	1									
Mass.	29	36	75	109	34	66	-	5	-	3	8	2									
R.I.	5	5	16	14	33	58	-	-	-	-	-	-									
Conn.	17	1	99	76	-	26	-	1	-	1	2	-									
MID. ATLANTIC	146	142	784	1,452	529	1,040	-	-	-	2	2	14									
Upstate N.Y.	71	47	229	302	158	199	-	-	-	2	2	2									
N.Y. City	34	39	242	506	168	365	-	-	-	-	-	-									
N.J.	40	49	64	307	41	181	-	-	-	-	-	8									
Pa.	1	7	249	337	162	295	-	-	-	-	-	4									
E.N. CENTRAL	149	151	2,396	2,998	551	1,213	-	1	1	2	3	15									
Ohio	51	45	566	265	81	68	-	-	-	-	-	1									
Ind.	21	36	96	132	36	95	-	1	1	1	2	3									
Ill.	63	54	564	668	1	205	-	-	-	-	-	-									
Mich.	13	9	1,120	1,759	425	387	-	-	-	1	1	10									
Wis.	1	7	50	174	8	458	-	-	-	-	-	1									
W.N. CENTRAL	81	80	677	1,212	277	345	1	2	-	-	2	-									
Minn.	40	62	75	112	49	42	-	1	-	-	1	-									
Iowa	9	2	121	384	33	51	-	-	-	-	-	-									
Mo.	23	9	380	566	153	205	1	1	-	-	1	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	9	30	1	2	-	-	-	-	-	-									
Nebr.	3	1	50	25	14	18	-	-	-	-	-	-									
Kans.	4	6	40	92	27	23	U	-	U	-	-	-									
S. ATLANTIC	212	162	1,692	1,602	1,014	842	-	10	-	5	15	8									
Del.	-	-	2	3	1	3	-	-	-	-	-	1									
Md.	55	50	311	350	144	116	-	-	-	-	-	1									
D.C.	4	-	54	55	21	11	-	-	-	-	-	-									
Va.	16	16	146	181	75	88	-	10	-	3	13	2									
W. Va.	6	6	32	6	22	8	-	-	-	-	-	-									
N.C.	31	23	134	102	201	195	-	-	-	-	-	-									
S.C.	5	3	41	33	63	36	-	-	-	-	-	-									
Ga.	55	39	416	505	149	127	-	-	-	-	-	2									
Fla.	40	25	556	367	338	258	-	-	-	2	2	2									
E.S. CENTRAL	52	51	337	343	348	420	-	2	-	-	2	2									
Ky.	6	7	60	28	37	41	-	2	-	-	2	-									
Tenn.	28	30	142	199	166	237	-	-	-	-	-	1									
Ala.	15	12	49	61	76	65	-	-	-	-	-	1									
Miss.	3	2	86	55	69	77	-	-	-	-	-	-									
W.S. CENTRAL	45	48	3,463	3,290	756	1,757	1	8	-	4	12	-									
Ark.	2	-	48	78	56	93	1	3	-	-	3	-									
La.	7	20	73	85	77	127	-	-	-	-	-	-									
Okla.	32	25	389	509	108	71	-	-	-	-	-	-									
Tex.	4	3	2,953	2,618	515	1,466	-	5	-	4	9	-									
MOUNTAIN	98	106	1,103	2,750	495	704	-	3	-	-	3	1									
Mont.	3	-	17	87	17	5	-	-	-	-	-	-									
Idaho	1	1	36	222	25	38	-	-	-	-	-	-									
Wyo.	1	1	7	35	12	9	-	-	-	-	-	-									
Colo.	12	21	195	276	81	90	-	-	-	-	-	-									
N. Mex.	18	6	43	133	155	274	-	-	-	-	-	-									
Ariz.	52	54	643	1,634	130	155	-	1	-	-	1	1									
Utah	8	4	46	166	31	62	-	2	-	-	2	-									
Nev.	3	19	116	197	44	71	U	-	U	-	-	-									
PACIFIC	97	100	3,039	4,659	1,203	1,490	-	24	-	5	29	36									
Wash.	5	8	273	875	56	91	-	-	-	-	-	1									
Oreg.	38	38	218	363	81	161	-	9	-	-	9	-									
Calif.	41	44	2,527	3,354	1,040	1,212	-	15	-	4	19	7									
Alaska	6	3	9	16	14	13	-	-	-	-	-	28									
Hawaii	7	7	12	51	12	13	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	62	102	205	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


