
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2000
Malaria cummulative for 1999
Rabies, Animal cummulative for 2000
Rabies, Animal cummulative for 1999
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, PHLIS cummulative for 2000
Salmonellosis, PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	14	43	75	114	403	762	50	1,071													
NEW ENGLAND	-	2	16	23	30	46	-	60													
Maine	-	-	2	1	4	5	-	3													
N.H.	-	-	-	-	4	-	-	1													
Vt.	-	-	2	4	-	3	-	2													
Mass.	-	2	6	7	22	30	-	29													
R.I.	-	-	-	4	-	2	-	8													
Conn.	-	-	6	7	-	6	-	17													
MID. ATLANTIC	-	16	22	19	8	124	-	138													
Upstate N.Y.	-	1	19	7	5	14	-	41													
N.Y. City	-	5	U	U	-	36	-	62													
N.J.	-	9	3	9	-	45	-	35													
Pa.	-	1	-	3	3	29	-	-													
E.N. CENTRAL	1	5	-	-	48	162	3	150													
Ohio	1	-	-	-	35	26	-	29													
Ind.	-	-	-	-	-	-	-	7													
Ill.	-	3	-	-	-	62	-	55													
Mich.	-	1	-	-	13	40	3	44													
Wis.	-	1	-	-	-	34	-	15													
W.N. CENTRAL	-	-	3	14	17	33	8	57													
Minn.	-	-	2	3	1	7	-	17													
Iowa	-	-	1	1	3	3	-	7													
Mo.	-	-	-	-	12	12	6	20													
N. Dak.	-	-	-	-	-	-	1	1													
S. Dak.	-	-	-	8	-	2	1	4													
Nebr.	-	-	-	-	1	5	-	3													
Kans.	-	-	-	2	-	4	-	5													
S. ATLANTIC	4	7	28	37	72	100	6	194													
Del.	-	-	-	3	1	5	-	3													
Md.	3	2	4	9	23	21	1	23													
D.C.	-	4	-	-	-	2	U	U													
Va.	-	-	12	5	-	-	-	28													
W. Va.	-	-	-	1	-	-	5	2													
N.C.	1	-	10	11	37	41	-	48													
S.C.	-	-	2	-	11	3	-	22													
Ga.	-	-	-	-	-	14	-	53													
Fla.	-	1	-	8	-	14	-	15													
E.S. CENTRAL	-	-	-	1	29	65	-	41													
Ky.	-	-	-	-	4	7	U	U													
Tenn.	-	-	-	1	-	9	-	30													
Ala.	-	-	-	-	21	15	-	11													
Miss.	-	-	-	-	4	34	-	-													
W.S. CENTRAL	-	-	-	3	-	10	2	121													
Ark.	-	-	-	-	-	2	-	11													
La.	-	-	-	-	-	-	1	28													
Okla.	-	-	-	3	-	4	-	1													
Tex.	-	-	-	-	-	4	1	81													
MOUNTAIN	-	1	4	6	58	48	21	93													
Mont.	-	-	1	-	2	1	-	-													
Idaho	-	-	-	-	5	1	-	6													
Wyo.	-	-	2	3	1	1	-	3													
Colo.	-	-	-	-	-	18	-	24													
N. Mex.	-	-	-	-	2	10	-	13													
Ariz.	-	1	1	3	21	1	6	29													
Utah	-	-	-	-	27	5	15	12													
Nev.	-	-	-	-	-	11	-	6													
PACIFIC	9	12	2	11	141	174	10	217													
Wash.	-	-	-	-	-	-	2	19													
Oreg.	-	1	-	-	-	9	8	22													
Calif.	9	11	2	11	137	143	-	157													
Alaska	-	-	-	-	4	3	-	2													
Hawaii	-	-	-	-	-	19	-	17													
Guam	-	-	-	-	-	4	U	U													
P.R.	-	-	1	1	-	11	U	U													
V.I.	-	U	-	U	-	U	U	U													
Amer. Samoa	-	U	-	U	-	U	U	U													
C.N.M.I.	-	U	-	U	-	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


