
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2000 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	-	3,075	19,566	52,793	37	61	51	80	29	69											
NEW ENGLAND	-	156	1,216	1,568	2	2	10	13	8	16											
Maine	-	3	112	17	1	-	-	1	-	-											
N.H.	-	3	55	92	-	-	3	-	3	1											
Vt.	-	-	45	27	1	1	-	-	-	-											
Mass.	-	122	754	677	-	1	2	11	1	7											
R.I.	-	9	-	161	-	-	-	-	-	-											
Conn.	-	19	250	594	-	-	5	1	4	8											
MID. ATLANTIC	-	486	419	5,243	2	8	1	3	-	-											
Upstate N.Y.	-	18	N	N	2	1	1	2	-	-											
N.Y. City	-	236	-	2,725	-	6	-	-	-	-											
N.J.	-	158	45	877	-	-	-	1	-	-											
Pa.	-	74	374	1,641	-	1	N	N	-	-											
E.N. CENTRAL	-	177	4,450	8,916	5	15	11	20	3	10											
Ohio	-	37	516	3,273	4	3	3	13	1	3											
Ind.	-	25	229	781	-	-	-	3	-	3											
Ill.	-	77	1,427	2,026	-	2	5	1	-	2											
Mich.	-	22	1,664	1,844	1	1	3	3	1	1											
Wis.	-	16	614	992	-	9	N	N	1	1											
W.N. CENTRAL	-	114	1,136	2,928	1	4	5	14	10	11											
Minn.	-	22	200	648	-	1	-	4	3	7											
Iowa	-	4	32	82	-	-	1	4	-	2											
Mo.	-	73	585	1,161	1	2	4	1	5	1											
N. Dak.	-	-	-	69	-	-	-	-	-	-											
S. Dak.	-	-	112	185	-	-	-	-	-	-											
Nebr.	-	5	13	321	-	-	-	2	1	1											
Kans.	-	10	194	462	-	1	-	3	1	-											
S. ATLANTIC	-	845	3,841	11,245	2	2	5	8	2	7											
Del.	-	13	223	217	-	-	-	-	-	-											
Md.	-	81	249	1,106	-	1	1	1	1	-											
D.C.	-	8	138	N	-	1	-	-	U	U											
Va.	-	54	481	1,059	-	-	1	2	-	2											
W. Va.	-	10	-	161	-	-	-	-	1	1											
N.C.	-	68	1,329	1,704	-	-	2	2	-	2											
S.C.	-	56	135	2,498	-	-	-	1	-	1											
Ga.	-	110	331	2,249	-	-	-	-	U	U											
Fla.	-	445	955	2,251	2	-	1	2	-	1											
E.S. CENTRAL	-	155	954	2,496	-	1	3	8	-	3											
Ky.	-	15	498	485	-	1	1	2	U	U											
Tenn.	-	62	-	1,039	-	-	2	3	-	2											
Ala.	-	30	430	736	-	-	-	1	-	1											
Miss.	-	48	26	236	-	-	-	2	-	-											
W.S. CENTRAL	-	530	1,670	6,669	1	2	2	-	3	5											
Ark.	-	19	194	304	1	-	2	-	-	2											
La.	-	26	-	1,427	-	-	-	-	3	1											
Okla.	-	6	366	695	-	-	-	-	-	-											
Tex.	-	479	1,110	4,243	-	2	-	-	-	2											
MOUNTAIN	-	45	1,243	2,786	5	7	7	5	2	4											
Mont.	-	-	-	60	-	-	5	-	-	-											
Idaho	-	4	64	124	1	1	-	-	-	-											
Wyo.	-	-	60	51	-	-	1	1	-	1											
Colo.	-	26	196	636	-	-	-	2	1	1											
N. Mex.	-	4	12	451	-	3	-	-	-	-											
Ariz.	-	4	533	1,088	2	3	-	1	1	-											
Utah	-	4	265	128	N	N	-	1	-	2											
Nev.	-	3	113	248	-	-	1	-	-	-											
PACIFIC	-	567	4,637	10,942	19	20	7	9	1	13											
Wash.	-	28	947	1,004	N	N	1	-	1	3											
Oreg.	-	15	269	373	1	2	-	5	-	5											
Calif.	-	509	3,284	9,184	18	18	6	4	-	5											
Alaska	-	5	137	142	-	-	-	-	-	-											
Hawaii	-	10	-	239	-	-	-	-	-	-											
Guam	-	1	-	35	-	-	N	N	U	U											
P.R.	-	92	113	U	-	-	-	1	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


