
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2000 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	178	196	3	11	37	76	291	357	1	1	1										
NEW ENGLAND	11	17	-	-	3	14	62	57	-	-	1										
Maine	1	2	-	-	-	2	2	-	-	-	-										
N.H.	-	2	-	-	1	12	20	1	-	-	-										
Vt.	1	1	-	-	-	-	20	7	-	-	-										
Mass.	4	12	-	-	2	-	20	49	-	-	1										
R.I.	1	-	-	-	-	-	-	-	-	-	-										
Conn.	4	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	10	24	1	1	4	5	15	11	-	-	-										
Upstate N.Y.	3	3	1	1	-	5	15	5	-	-	-										
N.Y. City	4	10	-	-	2	-	-	4	-	-	-										
N.J.	3	7	-	-	-	-	-	2	-	-	-										
Pa.	-	4	-	-	2	-	-	-	-	-	-										
E.N. CENTRAL	24	32	-	-	2	13	88	56	-	-	-										
Ohio	6	15	-	-	1	11	83	39	-	-	-										
Ind.	6	3	-	-	-	1	1	1	-	-	-										
Ill.	4	12	-	-	1	-	1	5	-	-	-										
Mich.	7	1	-	-	-	1	3	5	-	-	-										
Wis.	1	1	-	-	-	-	-	6	-	-	-										
W.N. CENTRAL	26	19	-	2	1	2	4	11	-	-	-										
Minn.	-	-	-	-	-	2	3	-	-	-	-										
Iowa	3	3	-	1	1	-	-	4	-	-	-										
Mo.	23	10	-	-	-	-	1	1	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	3	U	-	-	U	-	1	U	-	-										
Nebr.	-	1	-	1	-	-	-	-	-	-	-										
Kans.	-	2	U	-	-	U	-	5	U	-	-										
S. ATLANTIC	26	19	1	2	3	3	19	29	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	4	6	-	-	-	3	6	16	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	5	2	-	-	-	-	1	1	-	-	-										
W. Va.	-	1	-	-	-	-	-	-	-	-	-										
N.C.	8	3	-	-	1	-	4	10	-	-	-										
S.C.	6	5	1	2	2	-	8	2	-	-	-										
Ga.	-	2	-	-	-	-	-	-	-	-	-										
Fla.	3	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	8	21	1	1	-	-	6	12	-	-	-										
Ky.	2	2	-	-	-	-	3	3	-	-	-										
Tenn.	3	8	-	-	-	-	1	4	-	-	-										
Ala.	3	8	1	1	-	-	2	5	-	-	-										
Miss.	-	3	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	1	11	-	-	8	-	1	8	-	-	-										
Ark.	1	2	-	-	-	-	1	2	-	-	-										
La.	-	4	U	-	-	U	-	-	U	-	-										
Okla.	-	3	-	-	-	-	-	-	-	-	-										
Tex.	-	2	-	-	8	-	-	6	-	-	-										
MOUNTAIN	11	21	-	-	3	36	86	79	1	1	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	1	3	-	-	-	12	13	36	-	-	-										
Wyo.	-	1	U	-	-	U	-	1	U	-	-										
Colo.	1	5	-	-	1	15	47	13	-	-	-										
N. Mex.	1	3	N	N	N	5	15	6	-	-	-										
Ariz.	6	5	-	-	-	3	8	7	-	-	-										
Utah	2	3	-	-	1	1	3	15	1	1	-										
Nev.	-	1	U	-	1	U	-	1	U	-	-										
PACIFIC	61	32	-	5	13	3	10	94	-	-	-										
Wash.	4	3	-	-	-	1	2	1	-	-	-										
Oreg.	13	7	N	N	N	2	6	3	-	-	-										
Calif.	44	16	-	5	9	-	-	88	-	-	-										
Alaska	-	3	-	-	1	-	2	1	-	-	-										
Hawaii	-	3	-	-	3	-	-	1	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


