
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 11, 2000 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	460	536	4	70	81	37	694	913	2	5	6										
NEW ENGLAND	26	30	-	-	3	3	179	106	-	1	2										
Maine	2	3	-	-	-	-	7	-	-	-	-										
N.H.	-	3	-	-	1	1	35	17	-	1	-										
Vt.	1	2	-	-	-	-	42	9	-	-	-										
Mass.	17	19	-	-	2	-	85	76	-	-	2										
R.I.	-	2	-	-	-	-	6	2	-	-	-										
Conn.	6	1	-	-	-	2	4	2	-	-	-										
MID. ATLANTIC	35	57	1	4	12	6	59	97	2	2	-										
Upstate N.Y.	8	9	1	2	2	6	38	57	2	2	-										
N.Y. City	8	21	-	-	3	-	-	10	-	-	-										
N.J.	9	13	-	-	-	-	-	3	-	-	-										
Pa.	10	14	-	2	7	-	21	27	-	-	-										
E.N. CENTRAL	55	84	-	8	9	4	127	119	-	-	-										
Ohio	15	30	-	3	3	-	108	66	-	-	-										
Ind.	17	6	-	-	-	3	8	8	-	-	-										
Ill.	4	31	-	1	3	1	5	18	-	-	-										
Mich.	15	9	-	4	3	-	6	14	-	-	-										
Wis.	4	8	-	-	-	-	-	13	-	-	-										
W.N. CENTRAL	45	67	-	10	2	4	25	31	-	2	-										
Minn.	1	16	-	-	-	2	9	-	-	-	-										
Iowa	8	9	-	3	2	1	7	6	-	-	-										
Mo.	31	22	-	1	-	1	3	6	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	2	5	-	-	-	-	1	1	-	-	-										
Nebr.	1	3	-	4	-	-	-	1	-	-	-										
Kans.	1	12	-	2	-	-	4	17	-	2	-										
S. ATLANTIC	88	69	1	9	9	1	44	56	-	-	-										
Del.	-	1	-	-	-	-	1	-	-	-	-										
Md.	8	13	-	2	2	-	13	23	-	-	-										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	15	10	-	1	2	-	3	7	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	16	10	-	2	1	-	15	19	-	-	-										
S.C.	6	12	1	4	2	1	10	5	-	-	-										
Ga.	17	14	-	-	-	-	2	2	-	-	-										
Fla.	25	7	-	-	1	-	-	-	-	-	-										
E.S. CENTRAL	29	47	-	1	1	-	17	24	-	-	-										
Ky.	6	9	-	-	-	-	12	5	-	-	-										
Tenn.	12	15	-	-	-	-	1	12	-	-	-										
Ala.	10	14	-	1	1	-	4	6	-	-	-										
Miss.	1	9	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	22	47	-	-	12	-	3	25	-	-	3										
Ark.	3	9	-	-	-	-	3	2	-	-	-										
La.	12	24	U	-	2	U	-	2	U	-	-										
Okla.	7	11	-	-	1	-	-	3	-	-	-										
Tex.	-	3	-	-	9	-	-	18	-	-	3										
MOUNTAIN	23	52	-	3	5	17	169	168	-	-	1										
Mont.	-	-	-	-	-	-	1	1	-	-	-										
Idaho	2	6	-	-	-	4	28	71	-	-	-										
Wyo.	-	2	-	-	-	-	-	1	-	-	-										
Colo.	7	16	-	-	2	11	92	32	-	-	-										
N. Mex.	4	7	-	1	N	2	29	7	-	-	-										
Ariz.	6	16	U	-	-	U	14	36	U	-	-										
Utah	4	3	-	-	2	-	4	18	-	-	1										
Nev.	-	2	-	2	1	-	1	2	-	-	-										
PACIFIC	137	83	2	35	28	2	71	287	-	-	-										
Wash.	6	12	1	2	-	1	20	62	-	-	-										
Oreg.	13	20	N	N	N	1	16	3	-	-	-										
Calif.	115	44	1	32	23	-	32	213	-	-	-										
Alaska	1	3	-	-	1	-	2	1	-	-	-										
Hawaii	2	4	-	1	4	-	1	8	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


