
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2000 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	700	775	5	105	113	59	1,013	1,535	-	12	15										
NEW ENGLAND	40	41	-	2	3	13	274	141	-	5	4										
Maine	3	3	U	-	-	U	9	-	U	-	-										
N.H.	3	5	-	-	1	-	48	19	-	1	-										
Vt.	2	2	-	-	-	5	60	9	-	-	-										
Mass.	25	26	-	-	2	6	139	106	-	3	4										
R.I.	1	2	-	1	-	-	7	2	-	-	-										
Conn.	6	3	-	1	-	2	11	5	-	1	-										
MID. ATLANTIC	62	80	2	7	15	17	101	308	-	2	1										
Upstate N.Y.	13	20	2	5	2	6	64	258	-	2	1										
N.Y. City	15	26	-	-	3	-	-	10	-	-	-										
N.J.	16	14	-	-	-	-	-	7	-	-	-										
Pa.	18	20	-	2	10	11	37	33	-	-	-										
E.N. CENTRAL	114	123	-	11	16	4	149	154	-	-	-										
Ohio	24	46	-	3	6	-	108	89	-	-	-										
Ind.	18	6	-	-	-	1	9	8	-	-	-										
Ill.	30	42	-	3	4	2	13	24	-	-	-										
Mich.	32	16	-	5	6	1	9	16	-	-	-										
Wis.	10	13	-	-	-	-	10	17	-	-	-										
W.N. CENTRAL	55	104	-	10	3	3	37	47	-	2	1										
Minn.	3	25	-	-	-	2	16	-	-	-	-										
Iowa	12	18	-	3	2	1	9	9	-	-	-										
Mo.	35	34	-	1	1	-	4	10	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	2	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	5	U	4	-	U	2	1	U	-	1										
Kans.	1	17	-	2	-	-	4	25	-	2	-										
S. ATLANTIC	114	106	1	13	17	2	78	74	-	3	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	11	20	-	4	4	-	21	28	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	19	16	-	2	2	-	5	7	-	-	-										
W. Va.	3	1	-	-	-	-	-	-	-	-	-										
N.C.	21	16	-	2	4	-	28	22	-	-	1										
S.C.	6	16	1	5	2	2	14	6	-	3	-										
Ga.	22	16	-	-	-	-	9	6	-	-	-										
Fla.	32	18	-	-	4	-	-	5	-	-	-										
E.S. CENTRAL	50	66	-	1	3	1	23	34	-	-	-										
Ky.	11	12	-	-	-	-	13	9	-	-	-										
Tenn.	22	22	-	-	-	-	1	17	-	-	-										
Ala.	14	21	-	1	1	1	8	6	-	-	-										
Miss.	3	11	-	-	2	-	1	2	-	-	-										
W.S. CENTRAL	43	61	-	1	15	-	5	39	-	-	5										
Ark.	5	14	-	1	-	-	5	4	-	-	-										
La.	13	31	-	-	2	-	-	2	-	-	-										
Okla.	10	13	-	-	1	-	-	3	-	-	-										
Tex.	15	3	-	-	12	-	-	30	-	-	5										
MOUNTAIN	47	62	-	7	7	13	223	213	-	-	1										
Mont.	1	-	-	1	-	-	1	1	-	-	-										
Idaho	6	8	-	-	-	-	32	83	-	-	-										
Wyo.	-	2	U	-	-	U	-	2	U	-	-										
Colo.	10	18	-	1	2	10	118	49	-	-	-										
N. Mex.	7	7	-	1	N	3	48	12	-	-	-										
Ariz.	15	19	-	-	-	-	17	40	-	-	-										
Utah	6	4	-	2	4	-	4	24	-	-	1										
Nev.	2	4	-	2	1	-	3	2	-	-	-										
PACIFIC	175	132	2	53	34	6	123	525	-	-	1										
Wash.	13	17	-	2	-	3	44	223	-	-	-										
Oreg.	19	29	N	N	N	U	18	8	U	-	-										
Calif.	140	78	2	50	28	3	54	276	-	-	1										
Alaska	1	4	-	-	1	-	4	2	-	-	-										
Hawaii	2	4	-	1	5	-	3	16	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	-	7	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


