
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 20, 2000 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	966	1,107	8	157	158	57	1,698	2,327	4	48	64										
NEW ENGLAND	56	58	-	2	3	9	428	225	-	5	7										
Maine	3	4	-	-	-	-	11	-	-	-	-										
N.H.	4	9	-	-	1	-	54	45	-	1	-										
Vt.	2	4	-	-	-	6	94	9	-	-	-										
Mass.	37	33	-	-	2	3	244	159	-	3	7										
R.I.	3	2	-	1	-	-	7	3	-	-	-										
Conn.	7	6	U	1	-	U	18	9	U	1	-										
MID. ATLANTIC	86	108	-	9	19	1	132	509	-	2	9										
Upstate N.Y.	22	28	-	6	3	1	77	447	-	2	5										
N.Y. City	21	36	-	-	3	-	-	10	-	-	-										
N.J.	21	18	-	-	1	-	-	13	-	-	1										
Pa.	22	26	-	3	12	-	55	39	-	-	3										
E.N. CENTRAL	175	197	-	17	20	17	222	187	-	-	-										
Ohio	36	73	-	7	6	10	156	95	-	-	-										
Ind.	22	22	-	-	2	3	22	9	-	-	-										
Ill.	43	55	-	3	4	-	18	39	-	-	-										
Mich.	56	24	-	7	7	4	16	17	-	-	-										
Wis.	18	23	-	-	1	-	10	27	-	-	-										
W.N. CENTRAL	77	117	-	10	6	9	75	66	-	2	26										
Minn.	3	26	-	-	1	4	40	18	-	-	-										
Iowa	15	23	-	4	3	-	11	14	-	-	2										
Mo.	48	40	-	1	1	3	12	17	-	-	-										
N. Dak.	1	3	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	3	8	-	2	-	-	3	1	-	-	24										
Kans.	3	12	-	3	1	2	7	14	-	2	-										
S. ATLANTIC	159	153	3	25	28	4	147	105	-	28	2										
Del.	-	3	-	-	-	2	3	-	-	-	-										
Md.	15	27	-	5	4	1	36	36	-	-	1										
D.C.	-	1	-	-	2	-	-	-	-	-	-										
Va.	28	22	-	4	8	-	13	13	-	-	-										
W. Va.	4	3	-	-	-	-	-	1	-	-	-										
N.C.	26	22	-	3	5	-	39	26	-	20	1										
S.C.	10	21	1	7	3	-	16	7	-	6	-										
Ga.	26	29	-	2	-	1	19	12	-	-	-										
Fla.	50	25	2	4	6	-	21	10	-	2	-										
E.S. CENTRAL	68	85	1	5	3	1	30	49	-	4	2										
Ky.	13	16	-	-	-	-	16	12	-	1	-										
Tenn.	32	31	-	2	-	1	5	25	-	-	-										
Ala.	19	21	1	2	1	-	8	10	-	3	2										
Miss.	4	17	-	1	2	-	1	2	-	-	-										
W.S. CENTRAL	80	105	-	15	21	3	61	62	-	2	4										
Ark.	6	20	-	1	-	1	9	4	-	-	-										
La.	25	37	-	3	3	-	3	2	-	-	-										
Okla.	19	18	-	-	1	-	5	8	-	-	-										
Tex.	30	30	-	11	17	2	44	48	-	2	4										
MOUNTAIN	54	78	4	15	9	5	315	255	-	1	12										
Mont.	1	1	-	1	-	-	6	1	-	-	-										
Idaho	6	8	-	-	-	-	37	89	-	-	-										
Wyo.	-	3	-	1	-	-	-	2	-	-	-										
Colo.	15	20	-	1	3	4	173	68	-	1	-										
N. Mex.	7	10	-	1	N	-	57	19	-	-	-										
Ariz.	16	26	3	3	-	1	33	45	-	-	10										
Utah	7	5	1	5	5	-	6	29	-	-	1										
Nev.	2	5	U	3	1	U	3	2	U	-	1										
PACIFIC	211	206	-	59	49	8	288	869	4	4	2										
Wash.	22	28	-	3	1	6	103	435	-	-	-										
Oreg.	27	38	N	N	N	2	31	16	-	-	-										
Calif.	155	131	-	51	42	-	144	398	4	4	2										
Alaska	3	5	-	4	1	-	6	3	-	-	-										
Hawaii	4	4	U	1	5	U	4	17	U	-	-										
Guam	-	1	U	-	1	U	-	1	U	-	-										
P.R.	2	7	U	-	-	U	-	7	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


