
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 9, 2000 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	805	840	7,773	11,231	4,560	4,842	1	49	-	17	66	67									
NEW ENGLAND	55	60	216	204	44	106	-	2	-	4	6	11									
Maine	1	5	14	5	5	1	-	-	-	-	-	-									
N.H.	12	11	18	11	12	10	-	2	-	1	3	1									
Vt.	4	5	9	6	6	2	-	-	-	3	3	-									
Mass.	24	24	81	77	7	37	-	-	-	-	-	8									
R.I.	2	1	16	13	14	24	-	-	-	-	-	-									
Conn.	12	14	78	92	-	32	-	-	-	-	-	2									
MID. ATLANTIC	134	146	769	801	660	611	-	14	-	5	19	5									
Upstate N.Y.	70	59	147	177	94	136	-	9	-	-	9	2									
N.Y. City	28	44	238	248	314	183	-	5	-	4	9	3									
N.J.	27	38	118	96	83	93	-	-	-	-	-	-									
Pa.	9	5	266	280	169	199	-	-	-	1	1	-									
E.N. CENTRAL	114	142	944	2,124	494	509	-	8	-	-	8	2									
Ohio	42	48	200	468	78	70	-	2	-	-	2	-									
Ind.	25	20	60	77	36	32	-	-	-	-	-	1									
Ill.	40	59	341	518	85	44	-	4	-	-	4	-									
Mich.	7	11	330	1,007	294	336	-	2	-	-	2	1									
Wis.	-	4	13	54	1	27	-	-	-	-	-	-									
W.N. CENTRAL	46	53	653	533	542	192	-	2	-	1	3	-									
Minn.	24	33	164	54	27	37	-	-	-	1	1	-									
Iowa	-	2	62	101	34	28	-	2	-	-	2	-									
Mo.	13	5	321	316	435	106	-	-	-	-	-	-									
N. Dak.	1	1	2	2	2	-	-	-	-	-	-	-									
S. Dak.	-	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	4	4	21	39	24	15	-	-	-	-	-	-									
Kans.	4	6	82	13	19	5	-	-	-	-	-	-									
S. ATLANTIC	213	187	994	1,275	851	780	-	3	-	-	3	5									
Del.	-	-	-	2	-	1	U	-	U	-	-	-									
Md.	56	49	146	221	86	110	-	-	-	-	-	-									
D.C.	-	4	20	53	27	19	-	-	-	-	-	-									
Va.	31	14	106	110	104	66	-	2	-	-	2	3									
W. Va.	6	6	49	29	9	20	-	-	-	-	-	-									
N.C.	19	28	111	110	165	182	-	-	-	-	-	-									
S.C.	11	5	44	29	11	57	-	-	-	-	-	-									
Ga.	54	51	181	346	142	99	-	-	-	-	-	-									
Fla.	36	30	337	375	307	226	-	1	-	-	1	2									
E.S. CENTRAL	37	51	302	292	327	343	-	-	-	-	-	2									
Ky.	12	6	35	54	57	33	-	-	-	-	-	2									
Tenn.	17	27	110	116	160	171	-	-	-	-	-	-									
Ala.	7	15	46	43	36	68	-	-	-	-	-	-									
Miss.	1	3	111	79	74	71	-	-	-	-	-	-									
W.S. CENTRAL	46	51	1,211	2,222	454	855	-	-	-	-	-	7									
Ark.	2	2	103	32	69	54	-	-	-	-	-	-									
La.	7	11	30	170	52	139	-	-	-	-	-	-									
Okla.	35	34	199	390	113	112	-	-	-	-	-	-									
Tex.	2	4	879	1,630	220	550	-	-	-	-	-	7									
MOUNTAIN	77	68	698	909	359	422	-	11	-	1	12	1									
Mont.	1	1	4	16	5	16	U	-	U	-	-	-									
Idaho	3	1	19	31	6	22	-	-	-	-	-	-									
Wyo.	1	1	39	6	23	10	-	-	-	-	-	-									
Colo.	11	11	141	168	60	72	-	1	-	1	2	-									
N. Mex.	17	18	58	38	74	136	-	-	-	-	-	-									
Ariz.	36	30	350	515	142	103	-	-	-	-	-	1									
Utah	7	4	40	36	17	24	U	3	U	-	3	-									
Nev.	1	2	47	99	32	39	-	7	-	-	7	-									
PACIFIC	83	82	1,986	2,871	829	1,024	1	9	-	6	15	34									
Wash.	5	3	198	222	70	46	-	2	-	1	3	5									
Oreg.	21	29	139	187	70	78	-	-	-	-	-	12									
Calif.	28	39	1,627	2,438	671	877	-	5	-	3	8	16									
Alaska	6	5	9	7	8	13	-	1	-	-	1	-									
Hawaii	23	6	13	17	10	10	1	1	-	2	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	1	2	87	218	96	160	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


