
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 7, 2000 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	885	943	9,218	12,716	5,245	5,344	-	54	-	18	72	79									
NEW ENGLAND	77	72	270	246	78	120	-	2	-	4	6	11									
Maine	1	5	15	8	5	1	-	-	-	-	-	-									
N.H.	12	13	18	14	15	13	-	2	-	1	3	1									
Vt.	6	5	8	16	6	3	-	-	-	3	3	-									
Mass.	36	29	102	90	9	40	-	-	-	-	-	8									
R.I.	4	4	21	14	15	26	-	-	-	-	-	-									
Conn.	18	16	106	104	28	37	-	-	-	-	-	2									
MID. ATLANTIC	144	159	897	949	751	680	-	14	-	5	19	5									
Upstate N.Y.	78	65	171	210	109	149	-	9	-	-	9	2									
N.Y. City	28	50	261	310	349	206	-	5	-	4	9	3									
N.J.	29	39	158	122	105	106	-	-	-	-	-	-									
Pa.	9	5	307	307	188	219	-	-	-	1	1	-									
E.N. CENTRAL	117	157	1,070	2,383	547	568	-	8	-	-	8	2									
Ohio	44	51	220	533	88	77	-	2	-	-	2	-									
Ind.	26	20	77	86	40	35	-	-	-	-	-	1									
Ill.	40	65	399	617	100	48	-	4	-	-	4	-									
Mich.	7	16	361	1,082	318	381	-	2	-	-	2	1									
Wis.	-	5	13	65	1	27	-	-	-	-	-	-									
W.N. CENTRAL	53	59	688	619	554	213	-	2	-	1	3	-									
Minn.	29	38	173	61	30	40	-	-	-	1	1	-									
Iowa	-	2	62	115	27	35	-	2	-	-	2	-									
Mo.	15	6	332	372	440	115	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	3	4	29	43	33	15	-	-	-	-	-	-									
Kans.	4	6	88	18	21	7	-	-	-	-	-	-									
S. ATLANTIC	234	202	1,128	1,468	954	894	-	3	-	-	3	14									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	62	53	178	250	90	122	U	-	U	-	-	-									
D.C.	-	4	20	54	27	22	-	-	-	-	-	-									
Va.	34	15	120	133	129	74	-	2	-	-	2	12									
W. Va.	7	7	52	32	10	22	-	-	-	-	-	-									
N.C.	20	28	116	127	183	194	-	-	-	-	-	-									
S.C.	12	5	52	39	13	61	-	-	-	-	-	-									
Ga.	56	55	217	384	157	127	-	-	-	-	-	-									
Fla.	43	35	373	447	345	271	U	1	U	-	1	2									
E.S. CENTRAL	39	53	312	319	357	367	-	-	-	-	-	2									
Ky.	12	6	37	59	57	36	-	-	-	-	-	2									
Tenn.	18	29	116	125	174	182	-	-	-	-	-	-									
Ala.	8	15	47	44	45	72	-	-	-	-	-	-									
Miss.	1	3	112	91	81	77	-	-	-	-	-	-									
W.S. CENTRAL	54	53	1,480	2,497	613	921	-	-	-	-	-	9									
Ark.	2	2	104	39	71	57	-	-	-	-	-	2									
La.	11	12	55	188	86	150	-	-	-	-	-	-									
Okla.	39	35	220	416	122	116	-	-	-	-	-	-									
Tex.	2	4	1,101	1,854	334	598	-	-	-	-	-	7									
MOUNTAIN	81	89	774	1,014	403	465	-	11	-	1	12	1									
Mont.	1	2	5	17	7	17	-	-	-	-	-	-									
Idaho	3	1	21	35	7	25	-	-	-	-	-	-									
Wyo.	1	1	39	8	24	12	-	-	-	-	-	-									
Colo.	11	13	166	188	72	80	-	1	-	1	2	-									
N. Mex.	18	18	60	42	80	148	-	-	-	-	-	-									
Ariz.	37	46	385	564	154	116	-	-	-	-	-	1									
Utah	8	5	45	39	19	26	-	3	-	-	3	-									
Nev.	2	3	53	121	40	41	-	7	-	-	7	-									
PACIFIC	86	99	2,599	3,221	988	1,116	-	14	-	7	21	35									
Wash.	5	4	231	261	86	55	-	2	-	1	3	5									
Oreg.	24	32	144	208	83	86	-	-	-	-	-	12									
Calif.	28	50	2,202	2,723	801	947	-	11	-	3	14	17									
Alaska	6	5	9	10	8	15	-	1	-	-	1	-									
Hawaii	23	8	13	19	10	13	-	-	-	3	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	3	2	195	255	201	181	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


