
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	-	-	2,472	9,235	7	6	4	13	-	25											
NEW ENGLAND	-	-	198	417	3	-	2	1	-	4											
Maine	-	-	-	17	1	-	-	-	-	-											
N.H.	-	-	2	19	-	-	-	-	-	2											
Vt.	-	-	8	9	2	-	-	-	-	-											
Mass.	-	-	188	188	-	-	2	1	-	-											
R.I.	-	-	-	46	-	-	-	-	-	-											
Conn.	-	-	-	138	-	-	-	-	-	2											
MID. ATLANTIC	-	-	15	883	-	-	1	-	-	2											
Upstate N.Y.	-	-	N	N	-	-	1	-	-	1											
N.Y. City	-	-	-	437	-	-	-	-	-	-											
N.J.	-	-	15	167	-	-	-	-	-	-											
Pa.	-	-	-	279	-	-	N	N	-	1											
E.N. CENTRAL	-	-	539	1,705	-	2	-	4	-	2											
Ohio	-	-	94	563	-	-	-	1	-	-											
Ind.	-	-	-	131	-	-	-	-	-	1											
Ill.	-	-	239	654	-	-	-	2	-	-											
Mich.	-	-	206	-	-	1	-	1	-	1											
Wis.	-	-	-	357	-	1	-	N	-	-											
W.N. CENTRAL	-	-	45	521	-	-	-	3	-	6											
Minn.	-	-	-	152	-	-	-	-	-	3											
Iowa	-	-	-	7	-	-	-	1	-	-											
Mo.	-	-	-	261	-	-	-	2	-	1											
N. Dak.	-	-	-	10	-	-	-	-	-	-											
S. Dak.	-	-	27	24	-	-	-	-	-	-											
Nebr.	-	-	18	55	-	-	-	-	-	1											
Kans.	-	-	-	12	-	-	-	-	-	1											
S. ATLANTIC	-	-	512	1,314	2	-	-	-	-	1											
Del.	-	-	41	52	-	-	-	-	-	-											
Md.	-	-	122	125	1	-	-	-	-	-											
D.C.	-	-	6	N	1	-	-	-	U	U											
Va.	-	-	-	167	-	-	-	-	-	1											
W. Va.	-	-	-	30	-	-	-	-	-	-											
N.C.	-	-	251	-	-	-	-	-	-	-											
S.C.	-	-	-	254	-	-	-	-	-	-											
Ga.	-	-	-	342	-	-	-	-	-	-											
Fla.	-	-	92	301	-	-	-	-	-	-											
E.S. CENTRAL	-	-	220	484	-	1	-	-	-	-											
Ky.	-	-	-	98	-	-	-	-	-	-											
Tenn.	-	-	92	248	-	-	-	-	-	-											
Ala.	-	-	-	137	-	1	-	-	-	-											
Miss.	-	-	128	1	-	-	-	-	-	-											
W.S. CENTRAL	-	-	465	1,894	-	-	-	1	-	5											
Ark.	-	-	-	72	-	-	-	-	-	1											
La.	-	-	315	432	-	-	-	-	-	1											
Okla.	-	-	150	155	-	-	-	-	-	1											
Tex.	-	-	-	1,235	-	-	-	1	-	2											
MOUNTAIN	-	-	68	591	-	2	-	-	-	3											
Mont.	-	-	-	4	-	-	-	-	-	-											
Idaho	-	-	31	25	-	-	-	-	-	-											
Wyo.	-	-	3	12	-	-	-	-	-	1											
Colo.	-	-	-	108	-	2	-	-	-	1											
N. Mex.	-	-	-	71	-	-	-	-	-	-											
Ariz.	-	-	34	257	-	-	-	-	-	1											
Utah	-	-	-	72	-	N	-	-	-	-											
Nev.	-	-	-	42	-	-	-	-	-	-											
PACIFIC	-	-	410	1,426	2	1	1	4	-	2											
Wash.	-	-	204	190	N	N	-	-	-	1											
Oreg.	-	-	-	-	-	-	1	-	-	-											
Calif.	-	-	188	1,122	2	1	-	3	-	-											
Alaska	-	-	15	24	-	-	-	-	-	-											
Hawaii	-	-	3	90	-	-	-	1	-	1											
Guam	-	-	-	-	-	-	N	N	U	U											
P.R.	-	-	-	U	-	-	-	-	U	U											
V.I.	-	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


