
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	1,272	5,265	2	68	4	8	-	5	23												
NEW ENGLAND	65	124	-	1	-	2	-	1	1												
Maine	-	-	-	-	-	1	-	-	-												
N.H.	-	2	-	-	-	-	-	-	-												
Vt.	2	-	-	-	-	-	-	-	-												
Mass.	63	57	-	1	-	1	-	1	-												
R.I.	-	9	-	-	-	-	-	-	-												
Conn.	-	56	-	-	-	-	-	-	1												
MID. ATLANTIC	11	360	-	7	-	-	-	-	14												
Upstate N.Y.	4	8	-	-	-	-	-	-	-												
N.Y. City	-	136	-	-	-	-	-	-	4												
N.J.	7	118	-	7	-	-	-	-	8												
Pa.	-	98	-	-	-	-	-	-	2												
E.N. CENTRAL	245	1,115	1	8	4	2	-	-	-												
Ohio	55	369	-	-	4	1	-	-	-												
Ind.	-	74	-	-	-	-	-	-	-												
Ill.	123	503	-	2	-	-	-	-	-												
Mich.	67	-	1	6	-	1	-	-	-												
Wis.	-	169	-	-	-	-	-	U	U												
W.N. CENTRAL	5	258	1	11	-	-	-	-	-												
Minn.	-	70	-	-	-	-	-	-	-												
Iowa	-	6	-	-	-	-	-	-	-												
Mo.	-	158	1	11	-	-	-	-	-												
N. Dak.	-	1	-	-	-	-	-	-	-												
S. Dak.	5	3	-	-	-	-	-	-	-												
Nebr.	-	17	-	-	-	-	-	-	-												
Kans.	-	3	-	-	-	-	-	-	-												
S. ATLANTIC	370	1,347	-	-	-	3	-	3	7												
Del.	25	27	-	-	-	-	-	-	1												
Md.	31	121	-	-	-	2	-	2	6												
D.C.	1	58	-	-	-	-	-	1	-												
Va.	-	212	-	-	-	-	-	-	-												
W. Va.	-	10	-	-	N	N	-	-	-												
N.C.	249	-	-	-	-	1	-	-	-												
S.C.	-	416	-	-	-	-	-	-	-												
Ga.	1	279	-	-	-	-	-	-	-												
Fla.	63	224	-	-	-	-	-	-	-												
E.S. CENTRAL	192	369	-	12	-	-	-	-	-												
Ky.	-	62	-	-	-	-	-	-	-												
Tenn.	74	216	-	-	-	-	-	-	-												
Ala.	-	91	-	-	-	-	-	-	-												
Miss.	118	-	-	12	-	-	-	-	-												
W.S. CENTRAL	284	1,152	-	17	-	1	-	-	-												
Ark.	-	40	-	-	-	-	-	-	-												
La.	206	355	-	6	-	-	-	-	-												
Okla.	78	69	-	-	-	-	-	-	-												
Tex.	-	688	-	11	-	1	-	-	-												
MOUNTAIN	12	210	-	3	-	-	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	2	2	-	-	-	-	-	-	-												
Wyo.	-	1	-	1	-	-	-	-	-												
Colo.	-	101	-	1	-	-	-	-	-												
N. Mex.	-	13	-	1	-	-	-	-	-												
Ariz.	10	55	-	-	-	-	-	-	-												
Utah	-	8	-	-	-	-	-	-	-												
Nev.	-	30	-	-	-	-	-	-	-												
PACIFIC	88	330	-	9	-	-	-	1	1												
Wash.	43	32	-	-	-	-	-	-	-												
Oreg.	-	-	-	2	N	N	-	-	-												
Calif.	40	283	-	7	-	-	-	1	1												
Alaska	3	5	-	-	-	-	-	-	-												
Hawaii	2	10	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	-	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


