
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	5	21	21	216	14	94	-	-	-	-	-	1									
NEW ENGLAND	1	3	1	4	1	2	-	-	-	-	-	-									
Maine	-	-	-	-	-	-	-	-	-	-	-	-									
N.H.	-	-	1	-	-	-	-	-	-	-	-	-									
Vt.	-	-	-	-	-	1	-	-	-	-	-	-									
Mass.	1	3	-	1	1	-	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	-	3	-	1	U	-	U	-	-	-									
MID. ATLANTIC	-	2	-	7	-	14	-	-	-	-	-	-									
Upstate N.Y.	-	1	-	-	-	-	-	-	-	-	-	-									
N.Y. City	-	1	-	5	-	6	-	-	-	-	-	-									
N.J.	-	-	-	1	-	2	-	-	-	-	-	-									
Pa.	-	-	-	1	-	6	-	-	-	-	-	-									
E.N. CENTRAL	1	4	10	38	7	10	-	-	-	-	-	1									
Ohio	-	2	1	10	2	2	-	-	-	-	-	-									
Ind.	-	-	-	-	-	-	-	-	-	-	-	-									
Ill.	-	2	-	17	-	-	-	-	-	-	-	-									
Mich.	1	-	9	9	5	8	-	-	-	-	-	1									
Wis.	-	-	-	2	-	-	-	-	-	-	-	-									
W.N. CENTRAL	-	-	1	30	1	6	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	-	-	-	-	-	-	-	-	-	-									
Mo.	-	-	-	27	-	6	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	1	-	-	-	-	-	-	-	-	-									
Kans.	-	-	-	3	-	-	U	-	U	-	-	-									
S. ATLANTIC	1	3	3	4	3	15	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	-	3	2	4	-	4	-	-	-	-	-	-									
D.C.	-	-	1	-	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	U	-	U	-	-	-									
N.C.	-	-	-	-	3	11	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	1	-	-	-	-	-	-	-	-	-	-	-									
Fla.	-	-	-	-	-	-	-	-	-	-	-	-									
E.S. CENTRAL	-	-	1	22	-	5	-	-	-	-	-	-									
Ky.	-	-	-	-	-	-	U	-	U	-	-	-									
Tenn.	-	-	1	-	-	-	-	-	-	-	-	-									
Ala.	-	-	-	1	-	-	-	-	-	-	-	-									
Miss.	-	-	-	21	-	5	-	-	-	-	-	-									
W.S. CENTRAL	-	1	-	47	-	2	-	-	-	-	-	-									
Ark.	-	-	-	-	-	-	-	-	-	-	-	-									
La.	-	1	-	2	-	2	-	-	-	-	-	-									
Okla.	-	-	-	-	-	-	-	-	-	-	-	-									
Tex.	-	-	-	45	-	-	U	-	U	-	-	-									
MOUNTAIN	1	1	3	5	-	4	-	-	-	-	-	-									
Mont.	-	-	-	-	-	-	U	-	U	-	-	-									
Idaho	-	-	-	-	-	-	-	-	-	-	-	-									
Wyo.	-	-	-	-	-	-	-	-	-	-	-	-									
Colo.	-	-	2	2	-	3	-	-	-	-	-	-									
N. Mex.	1	-	1	-	-	1	-	-	-	-	-	-									
Ariz.	-	-	-	-	-	-	-	-	-	-	-	-									
Utah	-	1	-	2	-	-	-	-	-	-	-	-									
Nev.	-	-	-	1	-	-	-	-	-	-	-	-									
PACIFIC	1	7	2	59	2	36	-	-	-	-	-	-									
Wash.	-	-	-	-	-	-	-	-	-	-	-	-									
Oreg.	1	2	-	5	1	2	-	-	-	-	-	-									
Calif.	-	2	2	53	1	34	-	-	-	-	-	-									
Alaska	-	1	-	-	-	-	-	-	-	-	-	-									
Hawaii	-	2	-	1	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	1	-	-	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


