
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	5,907	11,591	8	122	9	16	6	17	62												
NEW ENGLAND	184	270	-	1	1	4	1	1	3												
Maine	-	1	-	-	-	2	-	-	-												
N.H.	3	3	-	-	-	-	-	-	-												
Vt.	6	1	-	-	1	-	-	-	-												
Mass.	148	107	-	1	-	2	1	1	2												
R.I.	27	19	-	-	-	-	-	-	-												
Conn.	-	139	-	-	-	-	-	-	1												
MID. ATLANTIC	71	850	-	18	-	-	1	1	44												
Upstate N.Y.	44	37	-	-	-	-	1	1	1												
N.Y. City	-	308	-	-	-	-	-	-	6												
N.J.	27	280	-	17	-	-	-	-	10												
Pa.	-	225	-	1	-	-	-	-	27												
E.N. CENTRAL	871	2,721	2	15	5	5	1	4	1												
Ohio	112	689	-	-	4	4	-	4	-												
Ind.	168	244	-	-	-	-	-	-	-												
Ill.	285	1,090	-	3	-	-	-	-	1												
Mich.	240	341	2	12	1	1	1	-	-												
Wis.	66	357	-	-	-	-	-	U	U												
W.N. CENTRAL	103	574	2	18	-	-	1	-	2												
Minn.	-	138	-	-	-	-	-	-	-												
Iowa	1	12	-	-	-	-	-	-	-												
Mo.	-	284	2	17	-	-	-	-	-												
N. Dak.	-	1	-	-	-	-	-	-	-												
S. Dak.	10	4	-	-	-	-	-	-	-												
Nebr.	-	49	-	-	-	-	-	-	-												
Kans.	92	86	-	1	-	-	1	-	2												
S. ATLANTIC	2,248	2,928	-	1	1	4	-	7	10												
Del.	57	76	-	-	-	-	-	-	2												
Md.	144	237	-	-	1	3	-	6	8												
D.C.	84	118	-	-	-	-	-	1	-												
Va.	-	462	-	-	-	-	-	-	-												
W. Va.	-	24	-	-	N	N	-	-	-												
N.C.	421	1	-	1	-	1	-	-	-												
S.C.	1,095	994	-	-	-	-	-	-	-												
Ga.	1	454	-	-	-	-	-	-	-												
Fla.	446	562	-	-	-	-	-	-	-												
E.S. CENTRAL	1,121	615	2	19	1	-	-	-	-												
Ky.	74	96	-	-	-	-	-	-	-												
Tenn.	334	382	2	-	-	-	-	-	-												
Ala.	426	137	-	-	1	-	-	-	-												
Miss.	287	-	-	19	-	-	-	-	-												
W.S. CENTRAL	904	2,160	-	33	-	1	-	-	-												
Ark.	-	94	-	-	-	-	-	-	-												
La.	460	557	-	10	-	-	-	-	-												
Okla.	166	114	-	-	-	-	-	-	-												
Tex.	278	1,395	-	23	-	1	-	-	-												
MOUNTAIN	112	410	-	5	-	-	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	4	5	-	-	-	-	-	-	-												
Wyo.	3	1	-	3	-	-	-	-	-												
Colo.	-	155	-	1	-	-	-	-	-												
N. Mex.	-	32	-	1	-	-	-	-	-												
Ariz.	105	129	-	-	-	-	-	-	-												
Utah	-	20	-	-	-	-	-	-	-												
Nev.	-	68	-	-	-	-	-	-	-												
PACIFIC	293	1,063	2	12	1	2	2	4	2												
Wash.	91	98	-	-	-	-	-	-	-												
Oreg.	-	5	-	4	N	N	-	-	-												
Calif.	188	934	2	8	1	2	2	4	2												
Alaska	8	9	-	-	-	-	-	-	-												
Hawaii	6	17	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	29	23	-	-	-	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


