
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2001
Malaria cummulative for 2000
Rabies, Animal cummulative for 2001
Rabies, Animal cummulative for 2000
Salmonellosis, NETSS cummulative for 2001
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, PHLIS cummulative for 2001
Salmonellosis, PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	11	28	55	132	278	853	28	873													
NEW ENGLAND	-	1	12	18	33	50	1	51													
Maine	-	-	-	2	2	4	-	-													
N.H.	-	-	-	-	2	4	-	2													
Vt.	-	-	6	2	2	-	1	1													
Mass.	-	1	5	6	27	39	-	28													
R.I.	-	-	1	1	-	-	-	6													
Conn.	-	-	-	7	-	3	-	14													
MID. ATLANTIC	-	3	9	22	10	133	-	142													
Upstate N.Y.	-	-	6	19	5	5	-	33													
N.Y. City	-	1	U	U	5	31	-	42													
N.J.	-	1	3	3	-	77	-	20													
Pa.	-	1	-	-	-	20	-	47													
E.N. CENTRAL	1	3	-	-	59	149	1	69													
Ohio	1	1	-	-	44	35	-	26													
Ind.	-	-	-	-	-	-	-	15													
Ill.	-	2	-	-	3	68	-	-													
Mich.	-	-	-	-	12	18	-	17													
Wis.	-	-	-	-	-	28	1	11													
W.N. CENTRAL	1	2	5	10	24	34	9	41													
Minn.	-	-	-	2	3	1	3	18													
Iowa	-	-	4	1	3	1	-	4													
Mo.	1	1	1	1	9	19	6	7													
N. Dak.	-	-	-	1	-	1	-	1													
S. Dak.	-	-	-	3	4	2	-	3													
Nebr.	-	-	-	-	1	2	-	2													
Kans.	-	1	-	2	4	8	-	6													
S. ATLANTIC	4	5	14	46	35	84	3	159													
Del.	-	-	-	-	1	1	1	5													
Md.	3	4	5	14	11	32	1	22													
D.C.	1	-	-	-	-	-	U	U													
Va.	-	-	4	12	-	-	-	18													
W. Va.	-	-	-	4	-	-	-	5													
N.C.	-	1	5	10	22	37	-	23													
S.C.	-	-	-	2	-	11	1	18													
Ga.	-	-	-	-	-	-	-	57													
Fla.	-	-	-	4	1	3	-	11													
E.S. CENTRAL	-	-	1	1	23	58	3	31													
Ky.	-	-	-	-	1	9	3	4													
Tenn.	-	-	1	1	3	-	-	18													
Ala.	-	-	-	-	19	22	-	6													
Miss.	-	-	-	-	-	27	-	3													
W.S. CENTRAL	-	1	2	22	10	63	3	90													
Ark.	-	-	-	-	10	6	-	8													
La.	-	1	-	-	-	6	-	21													
Okla.	-	-	2	3	-	-	1	8													
Tex.	-	-	-	19	-	51	2	53													
MOUNTAIN	-	-	5	5	11	83	8	74													
Mont.	-	-	1	1	2	2	-	-													
Idaho	-	-	-	-	2	5	-	4													
Wyo.	-	-	-	2	-	1	-	-													
Colo.	-	-	-	-	-	19	2	10													
N. Mex.	-	-	-	-	6	4	-	7													
Ariz.	-	-	4	2	-	21	2	34													
Utah	-	-	-	-	1	21	4	19													
Nev.	-	-	-	-	-	10	-	-													
PACIFIC	5	13	7	8	73	199	-	216													
Wash.	-	-	-	-	-	-	-	29													
Oreg.	1	1	-	-	5	10	-	23													
Calif.	4	11	5	8	68	167	-	150													
Alaska	-	-	2	-	-	5	-	5													
Hawaii	-	1	-	-	-	17	-	9													
Guam	-	-	-	-	-	-	U	U													
P.R.	-	-	1	1	-	3	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


