
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2001
Shigellosis NETSS cummulative for 2000
Shigellosis PHLIS cummulative for 2001
Shigellosis PHLIS cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Primary and Secondary) cummulative for 2000
Tuberculosis cummulative for 2001
Tuberculosis cummulative for 2000

tab delimited data:
test
UNITED STATES	199	381	38	228	120	184	86	226													
NEW ENGLAND	1	10	-	6	2	2	-	2													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	1	8	-	5	2	1	-	-													
R.I.	-	-	-	-	-	1	-	-													
Conn.	-	2	-	1	-	-	-	2													
MID. ATLANTIC	30	39	2	31	1	8	5	8													
Upstate N.Y.	28	1	-	5	-	-	-	-													
N.Y. City	2	15	2	15	-	2	-	3													
N.J.	-	22	-	7	1	4	5	-													
Pa.	-	1	-	4	-	2	-	5													
E.N. CENTRAL	27	121	-	25	9	39	1	6													
Ohio	10	7	-	-	2	5	1	1													
Ind.	-	2	-	-	4	13	-	1													
Ill.	2	59	-	-	3	19	-	4													
Mich.	15	46	-	23	-	-	-	-													
Wis.	-	7	-	2	-	2	-	-													
W.N. CENTRAL	32	22	20	17	-	4	-	2													
Minn.	6	4	10	5	-	-	-	1													
Iowa	-	6	-	5	-	-	-	-													
Mo.	18	10	10	4	-	4	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	1	1	-	-	-	-	-	-													
Nebr.	1	1	-	2	-	-	-	-													
Kans.	6	-	-	1	-	-	-	1													
S. ATLANTIC	19	8	1	20	33	65	3	17													
Del.	-	-	-	-	-	-	-	-													
Md.	3	1	-	2	4	19	-	-													
D.C.	-	-	U	U	1	1	3	-													
Va.	-	-	-	6	-	11	-	-													
W. Va.	-	-	-	-	-	-	-	1													
N.C.	16	2	-	2	14	15	-	-													
S.C.	-	1	1	-	3	6	-	16													
Ga.	-	-	-	6	-	1	-	-													
Fla.	-	4	-	4	11	12	-	-													
E.S. CENTRAL	19	14	-	15	62	22	5	8													
Ky.	11	2	-	-	2	-	-	-													
Tenn.	-	-	-	14	8	15	-	2													
Ala.	7	2	-	1	8	7	5	6													
Miss.	1	10	-	-	44	-	-	-													
W.S. CENTRAL	3	65	5	74	8	25	6	59													
Ark.	3	-	-	-	-	1	6	-													
La.	-	15	5	6	4	5	-	-													
Okla.	-	-	-	2	1	5	-	-													
Tex.	-	50	-	66	3	14	-	59													
MOUNTAIN	10	33	10	25	1	-	-	3													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	2	-	1	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	9	3	6	-	-	-	-													
N. Mex.	10	3	-	7	-	-	-	3													
Ariz.	-	12	6	9	1	-	-	-													
Utah	-	1	1	2	-	-	-	-													
Nev.	-	6	-	-	-	-	-	-													
PACIFIC	58	69	-	15	4	19	66	121													
Wash.	-	-	-	8	2	-	6	5													
Oreg.	7	5	-	6	-	-	-	-													
Calif.	51	60	-	-	2	19	59	113													
Alaska	-	1	-	-	-	-	1	-													
Hawaii	-	3	-	1	-	-	-	3													
Guam	-	-	U	U	-	-	-	-													
P.R.	-	-	U	U	12	11	-	-													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


