
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	39	97	1	3	4	18	28	162	-	-	-										
NEW ENGLAND	2	5	-	-	-	3	10	54	-	-	-										
Maine	-	1	U	-	-	U	-	-	U	-	-										
N.H.	-	-	-	-	-	-	-	1	-	-	-										
Vt.	-	1	-	-	-	3	9	14	-	-	-										
Mass.	1	3	-	-	-	-	1	39	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	4	9	-	-	1	1	1	8	-	-	-										
Upstate N.Y.	3	-	-	-	-	1	1	1	-	-	-										
N.Y. City	1	4	-	-	1	-	-	7	-	-	-										
N.J.	-	1	-	-	-	-	-	-	-	-	-										
Pa.	-	4	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	5	20	-	-	2	-	1	39	-	-	-										
Ohio	3	3	-	-	1	-	-	36	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	6	-	-	-	-	-	1	-	-	-										
Mich.	2	7	-	-	1	-	1	2	-	-	-										
Wis.	-	4	-	-	-	-	-	-	-	-	-										
W.N. CENTRAL	1	11	-	-	1	6	7	1	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	1	2	-	-	1	1	1	1	-	-	-										
Mo.	-	8	-	-	-	4	4	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	1	-	-	-	1	2	-	-	-	-										
S. ATLANTIC	7	7	-	-	-	3	3	7	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	4	2	-	-	-	3	3	3	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	2	4	-	-	-	-	-	4	-	-	-										
S.C.	-	-	-	-	-	-	-	-	-	-	-										
Ga.	1	-	-	-	-	-	-	-	-	-	-										
Fla.	-	1	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	2	3	-	-	-	1	1	14	-	-	-										
Ky.	-	1	-	-	-	-	-	11	-	-	-										
Tenn.	-	-	-	-	-	1	1	-	-	-	-										
Ala.	2	1	-	-	-	-	-	2	-	-	-										
Miss.	-	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	2	12	-	-	-	-	-	1	-	-	-										
Ark.	-	-	-	-	-	-	-	1	-	-	-										
La.	1	8	-	-	-	-	-	-	-	-	-										
Okla.	1	-	-	-	-	-	-	-	-	-	-										
Tex.	-	4	-	-	-	-	-	-	-	-	-										
MOUNTAIN	4	2	-	-	-	3	4	23	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	2	1	-	-	-	2	3	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	1	1	13	-	-	-										
N. Mex.	1	-	-	-	N	-	-	7	-	-	-										
Ariz.	-	-	-	-	-	-	-	-	-	-	-										
Utah	1	-	-	-	-	-	-	2	-	-	-										
Nev.	-	-	U	-	-	U	-	1	U	-	-										
PACIFIC	12	28	1	3	-	1	1	15	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	5	6	N	N	N	1	1	3	-	-	-										
Calif.	7	21	1	3	-	-	-	10	-	-	-										
Alaska	-	-	-	-	-	-	-	1	-	-	-										
Hawaii	-	1	-	-	-	-	-	1	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


