
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2001 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	2,792	2,720	38,851	56,095	67	86	61	135	51	110											
NEW ENGLAND	91	283	1,601	2,169	4	3	9	12	1	14											
Maine	3	3	-	140	-	1	-	1	-	1											
N.H.	5	4	73	97	-	-	3	3	1	3											
Vt.	5	-	62	52	2	1	-	1	-	1											
Mass.	51	228	1,045	872	-	1	6	3	-	3											
R.I.	11	6	295	229	1	-	-	-	-	-											
Conn.	16	42	126	779	1	-	-	4	-	6											
MID. ATLANTIC	555	796	1,405	5,327	5	8	7	18	2	32											
Upstate N.Y.	4	21	N	N	3	3	7	16	2	27											
N.Y. City	360	495	85	2,253	2	4	-	1	-	-											
N.J.	157	195	178	1,236	-	-	-	1	-	2											
Pa.	34	85	1,142	1,838	-	1	N	N	-	3											
E.N. CENTRAL	224	141	5,298	10,754	18	21	12	23	30	4											
Ohio	46	24	199	2,862	9	4	9	4	5	1											
Ind.	26	26	1,122	1,147	3	-	1	1	-	1											
Ill.	121	63	1,687	3,309	-	4	2	9	-	-											
Mich.	23	19	1,661	1,910	6	2	-	6	-	1											
Wis.	8	9	629	1,526	-	11	-	3	25	1											
W.N. CENTRAL	44	47	1,756	3,216	3	1	8	31	5	22											
Minn.	12	11	419	788	-	-	-	7	2	10											
Iowa	9	7	119	93	1	-	-	3	-	1											
Mo.	7	15	352	1,288	-	-	6	18	-	7											
N. Dak.	-	-	-	67	-	1	-	1	-	1											
S. Dak.	-	1	182	136	-	-	1	-	1	-											
Nebr.	6	4	109	260	2	-	-	-	-	2											
Kans.	10	9	575	584	-	-	1	2	2	1											
S. ATLANTIC	734	578	8,961	9,405	13	5	8	9	-	12											
Del.	15	15	271	285	-	-	-	-	-	-											
Md.	41	92	992	862	2	1	-	4	-	1											
D.C.	62	23	307	223	1	-	-	-	U	U											
Va.	48	41	1,193	833	2	-	-	1	-	4											
W. Va.	6	4	198	187	-	-	-	1	-	1											
N.C.	57	27	1,654	1,043	2	-	6	2	-	-											
S.C.	61	34	1,065	1,761	-	-	1	-	-	-											
Ga.	104	97	1,009	2,121	-	-	-	-	-	3											
Fla.	340	245	2,272	2,090	6	4	1	1	-	3											
E.S. CENTRAL	148	140	3,895	2,784	3	3	3	5	3	1											
Ky.	18	20	675	588	-	-	-	2	2	-											
Tenn.	80	35	1,342	1,163	-	-	2	2	1	1											
Ala.	25	50	1,002	695	2	3	1	1	-	-											
Miss.	25	35	876	338	1	-	-	-	-	-											
W.S. CENTRAL	409	267	5,923	9,167	1	5	-	8	5	12											
Ark.	19	8	904	336	-	1	-	2	-	1											
La.	130	44	1,644	1,519	-	-	-	-	4	4											
Okla.	20	10	953	839	1	-	-	2	-	3											
Tex.	240	205	2,422	6,473	-	4	-	4	1	4											
MOUNTAIN	145	100	1,703	3,371	4	7	5	14	4	6											
Mont.	1	1	40	44	-	-	-	5	-	-											
Idaho	-	3	113	190	-	1	2	-	-	-											
Wyo.	-	1	66	61	-	-	-	2	-	2											
Colo.	38	33	89	806	-	2	1	5	1	1											
N. Mex.	7	8	174	419	2	-	-	-	-	-											
Ariz.	52	21	999	1,169	1	2	2	1	2	2											
Utah	11	12	-	296	1	2	-	-	1	1											
Nev.	36	21	222	386	-	-	-	1	-	-											
PACIFIC	442	368	8,309	9,902	16	33	9	15	1	7											
Wash.	26	46	1,298	1,237	N	U	4	-	-	3											
Oreg.	17	11	592	374	4	1	2	1	1	2											
Calif.	398	302	6,026	7,737	12	32	3	11	-	-											
Alaska	1	-	116	208	-	-	-	-	-	-											
Hawaii	-	9	277	346	-	-	-	3	-	2											
Guam	2	-	-	-	-	-	N	N	U	U											
P.R.	48	75	382	U	-	-	-	-	U	U											
V.I.	1	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


