
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2001 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	243	327	1	10	51	34	394	546	-	2	4										
NEW ENGLAND	23	17	-	-	-	2	105	144	-	-	3										
Maine	-	1	-	-	-	-	-	4	-	-	-										
N.H.	2	1	-	-	-	-	4	20	-	-	1										
Vt.	-	1	-	-	-	1	16	27	-	-	-										
Mass.	15	9	-	-	-	-	83	92	-	-	2										
R.I.	-	1	-	-	-	-	-	-	-	-	-										
Conn.	6	4	-	-	-	1	2	1	-	-	-										
MID. ATLANTIC	26	24	-	-	3	2	12	39	-	-	1										
Upstate N.Y.	11	6	-	-	1	2	12	22	-	-	-										
N.Y. City	4	8	-	-	1	-	-	15	-	-	1										
N.J.	10	4	-	-	-	-	-	-	-	-	-										
Pa.	1	6	-	-	1	-	-	2	-	-	-										
E.N. CENTRAL	18	62	1	1	6	5	63	119	-	2	-										
Ohio	12	9	1	1	3	5	56	89	-	-	-										
Ind.	-	6	-	-	-	-	1	3	-	-	-										
Ill.	-	21	-	-	-	-	-	3	-	1	-										
Mich.	6	16	-	-	3	-	5	5	-	1	-										
Wis.	-	10	-	-	-	-	1	19	-	-	-										
W.N. CENTRAL	17	23	-	1	4	-	18	15	-	-	-										
Minn.	-	1	-	-	-	-	-	4	-	-	-										
Iowa	4	3	-	-	1	-	2	4	-	-	-										
Mo.	8	16	-	-	1	-	7	2	-	-	-										
N. Dak.	-	1	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	-	2	1	-	-	-										
Nebr.	2	-	-	-	2	-	-	-	-	-	-										
Kans.	3	1	-	1	-	-	7	4	-	-	-										
S. ATLANTIC	51	46	-	1	5	2	18	26	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	11	4	-	1	1	-	5	11	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	5	9	-	-	-	-	-	1	-	-	-										
W. Va.	-	1	U	-	-	U	-	-	U	-	-										
N.C.	10	10	-	-	-	1	9	4	-	-	-										
S.C.	4	6	-	-	3	1	4	9	-	-	-										
Ga.	7	7	-	-	-	-	-	-	-	-	-										
Fla.	14	9	-	-	1	-	-	1	-	-	-										
E.S. CENTRAL	21	16	-	-	1	1	9	22	-	-	-										
Ky.	3	3	-	-	-	-	1	17	-	-	-										
Tenn.	7	7	-	-	-	-	6	1	-	-	-										
Ala.	8	5	-	-	1	1	2	3	-	-	-										
Miss.	3	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	19	35	-	-	7	1	3	3	-	-	-										
Ark.	5	1	-	-	-	-	2	1	-	-	-										
La.	8	16	-	-	-	-	-	1	-	-	-										
Okla.	6	4	-	-	-	1	1	-	-	-	-										
Tex.	-	14	-	-	7	-	-	1	-	-	-										
MOUNTAIN	14	17	-	1	2	19	158	114	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	3	2	-	-	-	11	18	15	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	3	-	-	-	-	-	74	-	-	-										
N. Mex.	4	2	-	1	N	-	4	15	-	-	-										
Ariz.	3	6	-	-	-	8	133	5	-	-	-										
Utah	2	3	-	-	-	-	3	3	-	-	-										
Nev.	2	1	-	-	2	-	-	2	-	-	-										
PACIFIC	54	87	-	6	23	2	8	64	-	-	-										
Wash.	5	4	-	-	-	2	5	1	-	-	-										
Oreg.	10	13	N	N	N	-	3	8	-	-	-										
Calif.	39	67	-	6	22	-	-	51	-	-	-										
Alaska	-	-	-	-	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	1	-	-	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


