
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2001 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	37,055	49,703	186	532	73	96	39	252	547												
NEW ENGLAND	855	1,057	2	2	1	7	5	84	95												
Maine	-	10	-	-	-	2	-	-	-												
N.H.	15	16	-	-	-	-	-	42	12												
Vt.	14	4	2	-	1	-	-	-	-												
Mass.	430	423	-	2	-	4	3	7	14												
R.I.	123	87	-	-	-	-	-	-	-												
Conn.	273	517	-	-	-	1	2	35	69												
MID. ATLANTIC	2,351	3,865	10	78	2	11	1	90	356												
Upstate N.Y.	594	443	7	1	1	3	1	65	65												
N.Y. City	925	1,599	-	-	-	-	-	-	14												
N.J.	207	1,119	-	72	-	-	-	-	47												
Pa.	625	704	3	5	1	8	-	25	230												
E.N. CENTRAL	5,084	10,333	26	50	26	36	5	9	14												
Ohio	168	2,751	1	-	15	15	2	9	2												
Ind.	871	911	-	-	3	4	-	-	-												
Ill.	1,238	3,577	-	5	-	3	-	-	1												
Mich.	2,380	1,964	25	45	8	7	3	-	-												
Wis.	427	1,130	-	-	-	7	-	U	11												
W.N. CENTRAL	1,715	2,268	37	73	7	4	2	5	8												
Minn.	271	488	-	-	-	1	-	3	2												
Iowa	130	111	-	-	2	1	-	-	-												
Mo.	844	1,102	36	70	3	2	1	2	2												
N. Dak.	4	6	-	-	-	-	-	-	-												
S. Dak.	32	36	-	-	-	-	-	-	-												
Nebr.	43	149	-	1	1	-	-	-	-												
Kans.	391	376	1	2	1	-	1	-	4												
S. ATLANTIC	10,411	14,300	6	9	13	20	6	49	61												
Del.	251	239	-	-	-	1	-	-	8												
Md.	1,016	1,093	2	2	5	7	1	44	45												
D.C.	480	376	-	-	-	-	-	1	-												
Va.	1,231	1,445	-	-	2	3	1	2	1												
W. Va.	57	87	-	1	N	N	1	-	3												
N.C.	1,968	1,901	2	5	2	1	-	2	4												
S.C.	1,338	3,529	-	-	-	2	-	-	-												
Ga.	1,626	2,502	-	-	-	-	1	-	-												
Fla.	2,444	3,128	2	1	4	6	2	-	-												
E.S. CENTRAL	4,514	4,753	23	79	3	2	4	2	-												
Ky.	566	505	-	5	2	-	1	2	-												
Tenn.	1,582	1,477	7	17	-	1	2	-	-												
Ala.	1,275	1,583	-	3	1	1	1	-	-												
Miss.	1,091	1,188	16	54	-	-	-	-	-												
W.S. CENTRAL	7,435	8,071	53	173	1	4	-	-	2												
Ark.	935	332	1	-	-	-	-	-	-												
La.	1,894	2,130	5	97	1	2	-	-	2												
Okla.	791	639	-	-	-	-	-	-	-												
Tex.	3,815	4,970	47	76	-	2	-	-	-												
MOUNTAIN	1,103	1,498	13	39	4	5	3	-	-												
Mont.	5	-	-	-	-	-	-	-	-												
Idaho	18	17	1	-	-	1	-	-	-												
Wyo.	12	12	3	25	-	-	-	-	-												
Colo.	318	537	4	6	3	2	1	-	-												
N. Mex.	117	135	5	4	-	-	1	-	-												
Ariz.	472	541	-	4	1	-	1	-	-												
Utah	9	51	-	-	-	2	-	-	-												
Nev.	152	205	-	-	-	-	-	-	-												
PACIFIC	3,587	3,558	16	29	16	7	13	13	11												
Wash.	485	369	2	2	3	2	-	-	-												
Oreg.	135	56	3	8	N	N	1	2	1												
Calif.	2,862	3,031	11	19	13	5	12	11	10												
Alaska	33	34	-	-	-	-	-	-	-												
Hawaii	72	68	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	126	76	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


