
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2001 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	5,820	6,226	105,385	125,233	190	229	146	261	86	197											
NEW ENGLAND	200	500	3,709	4,406	7	15	18	22	11	25											
Maine	3	6	159	257	-	1	1	2	-	2											
N.H.	12	6	186	208	-	-	4	4	2	4											
Vt.	9	-	109	109	3	5	1	1	-	2											
Mass.	118	360	1,542	1,879	1	5	12	8	7	6											
R.I.	24	17	574	438	1	1	-	-	-	-											
Conn.	34	111	1,139	1,515	2	3	-	7	2	11											
MID. ATLANTIC	1,180	1,591	6,749	11,251	14	19	10	26	7	39											
Upstate N.Y.	29	65	N	N	8	12	10	24	6	32											
N.Y. City	740	985	4,232	4,638	6	4	-	1	1	-											
N.J.	241	387	733	2,515	-	-	-	1	-	2											
Pa.	170	154	1,784	4,098	-	3	N	N	-	5											
E.N. CENTRAL	463	591	13,106	22,200	54	52	28	47	17	11											
Ohio	77	91	231	5,994	23	12	13	8	10	3											
Ind.	45	56	2,368	2,403	10	3	6	2	1	3											
Ill.	226	354	3,480	6,297	-	6	4	19	4	-											
Mich.	97	67	5,398	4,191	21	5	2	8	-	2											
Wis.	18	23	1,629	3,315	-	26	3	10	2	3											
W.N. CENTRAL	110	147	5,115	7,186	6	10	15	45	14	42											
Minn.	29	31	1,100	1,574	-	3	3	6	8	18											
Iowa	15	10	514	657	3	1	2	10	-	4											
Mo.	38	67	1,439	2,580	-	1	7	20	3	11											
N. Dak.	1	-	171	199	-	1	-	2	-	2											
S. Dak.	-	2	347	366	-	1	1	-	1	-											
Nebr.	9	7	583	654	3	2	-	3	-	4											
Kans.	18	30	961	1,156	-	1	2	4	2	3											
S. ATLANTIC	1,673	1,508	22,642	24,148	41	34	22	23	6	17											
Del.	37	25	577	546	-	-	-	-	-	-											
Md.	131	154	2,385	2,221	5	3	-	5	-	1											
D.C.	166	113	527	522	3	-	-	-	U	U											
Va.	137	113	3,302	3,042	3	-	3	5	3	5											
W. Va.	12	7	418	411	-	-	1	2	-	1											
N.C.	101	74	3,777	3,672	8	3	13	6	1	2											
S.C.	171	153	1,948	3,317	-	-	1	-	-	-											
Ga.	187	180	4,209	4,737	11	20	1	2	-	3											
Fla.	731	689	5,499	5,680	11	8	3	3	2	5											
E.S. CENTRAL	360	279	8,220	9,019	3	7	6	12	3	12											
Ky.	51	37	1,619	1,530	-	-	-	4	2	3											
Tenn.	132	104	2,553	2,653	-	-	3	4	1	8											
Ala.	95	91	2,160	2,800	2	6	3	1	-	-											
Miss.	82	47	1,888	2,036	1	1	-	3	-	1											
W.S. CENTRAL	629	532	18,403	18,853	4	13	10	14	8	18											
Ark.	45	20	1,711	896	2	1	-	4	-	3											
La.	188	91	3,373	3,585	1	1	-	-	5	7											
Okla.	36	17	1,898	1,692	1	1	2	3	2	3											
Tex.	360	404	11,421	12,680	-	10	8	7	1	5											
MOUNTAIN	241	210	5,544	7,247	18	14	13	28	7	9											
Mont.	5	3	278	217	-	1	-	8	-	-											
Idaho	5	3	390	380	2	1	2	3	-	-											
Wyo.	-	1	139	152	-	1	-	2	-	2											
Colo.	40	52	525	1,989	10	3	7	10	4	3											
N. Mex.	15	25	1,027	915	3	1	-	-	-	-											
Ariz.	93	55	2,324	2,409	1	2	4	3	2	3											
Utah	23	28	67	432	2	5	-	1	1	1											
Nev.	60	43	794	753	-	-	-	1	-	-											
PACIFIC	964	868	21,897	20,923	43	65	24	44	13	24											
Wash.	117	101	2,503	2,483	N	U	3	5	5	7											
Oreg.	38	22	943	900	8	1	3	6	1	6											
Calif.	798	721	17,622	16,461	35	64	18	29	5	8											
Alaska	2	-	350	409	-	-	-	-	-	-											
Hawaii	9	24	479	670	-	-	-	4	2	3											
Guam	5	7	-	-	-	-	N	N	U	U											
P.R.	158	150	758	U	-	-	-	1	U	U											
V.I.	1	5	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


