
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2001 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	613	603	6	29	101	51	1,040	1,044	1	2	12										
NEW ENGLAND	44	35	-	-	1	5	187	294	-	-	4										
Maine	-	3	-	-	-	-	-	7	-	-	-										
N.H.	4	3	-	-	-	2	16	42	-	-	1										
Vt.	4	1	-	-	-	2	19	48	-	-	-										
Mass.	24	21	-	-	-	-	146	189	-	-	3										
R.I.	-	1	-	-	1	-	-	4	-	-	-										
Conn.	12	6	-	-	-	1	6	4	-	-	-										
MID. ATLANTIC	46	49	-	-	7	7	65	92	-	1	4										
Upstate N.Y.	17	10	-	-	3	7	57	46	-	1	2										
N.Y. City	10	16	-	-	2	-	-	20	-	-	2										
N.J.	18	10	-	-	-	-	-	-	-	-	-										
Pa.	1	13	-	-	2	-	8	26	-	-	-										
E.N. CENTRAL	51	105	2	5	13	2	121	169	1	1	-										
Ohio	26	17	-	1	4	2	98	108	-	-	-										
Ind.	1	15	-	-	-	-	3	8	-	-	-										
Ill.	-	31	2	3	3	-	6	14	1	1	-										
Mich.	15	28	-	1	6	-	13	6	-	-	-										
Wis.	9	14	-	-	-	-	1	33	-	-	-										
W.N. CENTRAL	39	38	-	2	5	1	32	28	-	-	-										
Minn.	-	3	-	-	-	-	-	9	-	-	-										
Iowa	13	9	-	-	3	-	3	6	-	-	-										
Mo.	13	21	-	-	1	-	17	4	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	2	-	-	-	-	2	1	-	-	-										
Nebr.	2	1	-	-	1	-	-	2	-	-	-										
Kans.	7	1	-	2	-	1	10	5	-	-	-										
S. ATLANTIC	126	88	1	3	12	7	42	56	-	-	1										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	17	9	1	2	4	-	10	14	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	12	16	U	1	1	U	6	3	U	-	-										
W. Va.	4	2	-	-	-	-	1	-	-	-	-										
N.C.	33	16	-	-	2	5	15	15	-	-	-										
S.C.	9	6	-	-	4	1	6	11	-	-	-										
Ga.	15	18	-	-	-	-	-	9	-	-	-										
Fla.	36	21	-	-	1	1	4	3	-	-	1										
E.S. CENTRAL	45	32	-	-	1	-	22	30	-	-	-										
Ky.	7	7	-	-	-	-	5	20	-	-	-										
Tenn.	17	13	-	-	-	-	13	2	-	-	-										
Ala.	17	10	-	-	1	-	2	7	-	-	-										
Miss.	4	2	-	-	-	-	2	1	-	-	-										
W.S. CENTRAL	93	75	1	2	11	-	4	13	-	-	3										
Ark.	8	3	1	1	-	-	2	4	-	-	-										
La.	26	22	-	1	2	-	-	2	-	-	-										
Okla.	11	8	-	-	-	-	1	-	-	-	-										
Tex.	48	42	-	-	9	-	1	7	-	-	3										
MOUNTAIN	31	36	-	4	3	25	516	194	-	-	-										
Mont.	-	1	-	-	-	-	3	1	-	-	-										
Idaho	3	4	-	-	-	18	132	31	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	11	10	-	1	-	4	108	119	-	-	-										
N. Mex.	6	4	-	2	1	1	12	26	-	-	-										
Ariz.	6	11	-	-	-	1	255	11	-	-	-										
Utah	2	5	-	-	-	1	6	4	-	-	-										
Nev.	3	1	-	-	2	-	-	2	-	-	-										
PACIFIC	138	145	2	13	48	4	51	168	-	-	-										
Wash.	21	10	-	-	2	3	16	27	-	-	-										
Oreg.	18	14	N	N	N	1	4	17	-	-	-										
Calif.	98	117	1	12	41	-	31	116	-	-	-										
Alaska	1	1	1	1	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	5	-	-	6	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	3	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


