
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2001 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	59,953	79,476	357	758	133	144	67	452	918												
NEW ENGLAND	1,310	1,493	4	5	4	15	8	134	137												
Maine	32	17	-	-	-	2	-	-	-												
N.H.	29	22	-	-	-	2	-	42	15												
Vt.	19	10	2	2	2	-	-	1	-												
Mass.	594	618	2	3	1	8	6	14	40												
R.I.	169	135	-	-	-	-	-	-	-												
Conn.	467	691	-	-	1	3	2	77	82												
MID. ATLANTIC	3,403	7,842	18	148	8	25	5	203	630												
Upstate N.Y.	1,435	1,186	11	11	7	12	3	168	229												
N.Y. City	-	2,523	-	-	-	-	-	-	-												
N.J.	517	1,698	-	129	-	-	-	-	85												
Pa.	1,451	2,435	7	8	1	13	2	35	316												
E.N. CENTRAL	8,519	15,888	48	65	43	46	9	10	23												
Ohio	186	4,122	4	-	21	20	2	10	2												
Ind.	1,453	1,353	-	-	5	7	1	-	1												
Ill.	2,741	5,283	2	8	-	4	-	-	1												
Mich.	3,458	3,443	42	57	13	8	5	-	-												
Wis.	681	1,687	-	-	4	7	1	U	19												
W.N. CENTRAL	2,534	3,688	61	102	11	5	2	11	14												
Minn.	411	723	-	-	1	1	-	8	6												
Iowa	202	224	-	-	2	2	-	-	-												
Mo.	1,013	1,803	58	98	5	2	1	3	3												
N. Dak.	9	11	-	-	-	-	-	-	-												
S. Dak.	47	61	-	-	-	-	-	-	-												
Nebr.	223	279	2	1	2	-	-	-	1												
Kans.	629	587	1	3	1	-	1	-	4												
S. ATLANTIC	17,931	22,337	20	16	22	27	9	75	93												
Del.	377	379	-	1	-	2	-	-	12												
Md.	1,939	1,828	5	2	6	8	1	64	68												
D.C.	667	497	-	-	1	-	-	5	-												
Va.	2,170	2,260	-	-	2	3	1	2	5												
W. Va.	105	130	-	1	N	N	1	1	4												
N.C.	3,669	4,060	6	7	2	3	-	2	4												
S.C.	2,272	4,570	2	-	-	2	-	-	-												
Ga.	2,860	3,506	-	-	1	1	2	-	-												
Fla.	3,872	5,107	7	5	10	8	4	1	-												
E.S. CENTRAL	7,028	8,288	49	116	13	3	4	2	-												
Ky.	798	736	1	12	5	1	1	2	-												
Tenn.	2,230	2,502	13	22	6	1	2	-	-												
Ala.	2,495	2,994	1	3	2	1	1	-	-												
Miss.	1,505	2,056	34	79	-	-	-	-	-												
W.S. CENTRAL	11,109	11,993	102	247	1	4	2	-	4												
Ark.	1,248	558	1	3	-	-	1	-	-												
La.	2,852	3,114	52	143	1	2	-	-	2												
Okla.	1,125	880	1	-	-	-	-	-	-												
Tex.	5,884	7,441	48	101	-	2	1	-	2												
MOUNTAIN	2,207	2,490	22	19	8	8	6	1	-												
Mont.	19	2	-	-	-	-	-	-	-												
Idaho	22	25	1	-	-	1	-	-	-												
Wyo.	15	16	3	-	-	-	-	-	-												
Colo.	772	811	8	10	3	4	1	-	-												
N. Mex.	184	223	6	4	1	-	2	-	-												
Ariz.	846	1,022	1	4	3	-	1	-	-												
Utah	26	76	-	-	-	3	-	-	-												
Nev.	323	315	3	1	1	-	2	1	-												
PACIFIC	5,912	5,457	33	40	23	11	22	16	17												
Wash.	707	528	8	5	5	5	1	1	-												
Oreg.	232	135	4	9	N	N	2	2	1												
Calif.	4,780	4,635	21	26	18	6	19	13	16												
Alaska	60	65	-	-	-	-	-	-	-												
Hawaii	133	94	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	294	104	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


