
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2001 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	361	392	2,231	3,433	1,528	1,563	1	13	-	15	28	9									
NEW ENGLAND	14	32	97	91	15	25	-	3	-	1	4	-									
Maine	1	1	1	5	1	1	-	-	-	-	-	-									
N.H.	-	6	5	8	6	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	13	18	35	39	1	1	-	2	-	1	3	-									
R.I.	-	-	4	5	6	2	-	-	-	-	-	-									
Conn.	-	4	50	31	-	12	-	-	-	-	-	-									
MID. ATLANTIC	41	57	155	225	196	263	-	1	-	4	5	-									
Upstate N.Y.	14	23	55	63	33	26	-	-	-	4	4	-									
N.Y. City	17	19	85	124	104	147	-	-	-	-	-	-									
N.J.	9	11	-	-	44	12	-	-	-	-	-	-									
Pa.	1	4	15	38	15	78	-	1	-	-	1	-									
E.N. CENTRAL	42	60	244	483	180	141	-	-	-	7	7	3									
Ohio	24	17	76	104	34	30	-	-	-	2	2	2									
Ind.	10	5	20	12	4	5	-	-	-	2	2	-									
Ill.	4	24	52	207	14	2	-	-	-	3	3	-									
Mich.	1	3	96	147	128	103	-	-	-	-	-	1									
Wis.	3	11	-	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	14	12	127	288	54	81	-	4	-	-	4	-									
Minn.	6	7	7	28	4	4	-	1	-	-	1	-									
Iowa	1	-	10	31	5	11	-	-	-	-	-	-									
Mo.	6	4	41	181	35	53	-	3	-	-	3	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	-	17	10	5	9	-	-	-	-	-	-									
Kans.	-	-	51	38	4	4	-	-	-	-	-	-									
S. ATLANTIC	138	100	477	358	349	279	1	3	-	1	4	-									
Del.	-	-	-	6	-	4	-	-	-	-	-	-									
Md.	37	27	66	44	41	44	-	2	-	1	3	-									
D.C.	-	-	13	-	3	-	-	-	-	-	-	-									
Va.	9	20	38	46	35	38	-	-	-	-	-	-									
W. Va.	4	3	1	30	3	2	-	-	-	-	-	-									
N.C.	20	8	34	63	80	81	-	-	-	-	-	-									
S.C.	2	4	17	11	1	2	-	-	-	-	-	-									
Ga.	29	26	155	47	94	45	1	1	-	-	1	-									
Fla.	37	12	153	111	92	63	-	-	-	-	-	-									
E.S. CENTRAL	24	17	77	146	96	113	-	-	-	-	-	-									
Ky.	1	9	8	14	11	17	-	-	-	-	-	-									
Tenn.	12	5	35	51	36	52	-	-	-	-	-	-									
Ala.	10	3	30	21	28	9	-	-	-	-	-	-									
Miss.	1	-	4	60	21	35	-	-	-	-	-	-									
W.S. CENTRAL	8	22	321	658	208	177	-	1	-	-	1	-									
Ark.	-	-	16	51	26	20	-	-	-	-	-	-									
La.	2	7	19	28	12	44	-	-	-	-	-	-									
Okla.	6	15	50	101	23	22	-	-	-	-	-	-									
Tex.	-	-	236	478	147	91	-	1	-	-	1	-									
MOUNTAIN	72	46	229	240	145	124	-	-	-	1	1	-									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	25	11	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	3	-	-	U	-	U	-	-	-									
Colo.	14	11	27	51	31	26	-	-	-	-	-	-									
N. Mex.	10	11	7	27	40	41	-	-	-	-	-	-									
Ariz.	38	17	114	113	52	37	-	-	-	-	-	-									
Utah	2	3	21	17	5	3	-	-	-	-	-	-									
Nev.	7	2	30	17	12	10	-	-	-	-	-	-									
PACIFIC	8	46	504	944	285	360	-	1	-	1	2	6									
Wash.	1	2	21	57	23	16	-	-	-	-	-	3									
Oreg.	1	15	7	73	4	32	-	-	-	-	-	-									
Calif.	5	16	466	804	254	305	-	1	-	1	2	3									
Alaska	1	1	10	4	4	2	-	-	-	-	-	-									
Hawaii	-	12	-	6	-	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	28	102	15	72	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


