
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2001 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	936	889	4	58	149	45	1,535	1,688	1	4	37										
NEW ENGLAND	62	52	-	-	2	-	224	436	-	-	6										
Maine	1	3	-	-	-	-	-	9	-	-	-										
N.H.	5	3	-	-	-	-	16	52	-	-	1										
Vt.	4	2	-	-	-	-	22	82	-	-	-										
Mass.	36	34	-	-	-	-	178	272	-	-	4										
R.I.	1	3	-	-	1	-	1	6	-	-	-										
Conn.	15	7	-	-	1	-	7	15	-	-	1										
MID. ATLANTIC	71	84	-	1	11	1	90	158	-	1	6										
Upstate N.Y.	29	17	-	-	5	1	74	72	-	1	2										
N.Y. City	18	24	-	1	3	-	6	31	-	-	4										
N.J.	22	20	-	-	-	-	2	-	-	-	-										
Pa.	2	23	-	-	3	-	8	55	-	-	-										
E.N. CENTRAL	112	155	1	7	19	8	174	219	-	1	-										
Ohio	43	27	-	1	6	4	116	131	-	-	-										
Ind.	14	18	1	1	-	4	11	12	-	-	-										
Ill.	20	44	-	5	4	-	14	19	-	1	-										
Mich.	23	49	-	-	8	-	15	14	-	-	-										
Wis.	12	17	-	-	1	-	18	43	-	-	-										
W.N. CENTRAL	62	53	-	5	7	-	74	58	1	1	1										
Minn.	7	3	-	1	-	-	17	31	-	-	-										
Iowa	16	12	-	-	4	-	9	8	1	1	-										
Mo.	23	28	-	-	1	-	33	8	-	-	-										
N. Dak.	3	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	4	-	-	-	-	3	1	-	-	-										
Nebr.	2	3	U	-	1	U	2	2	U	-	1										
Kans.	9	2	-	4	1	-	10	7	-	-	-										
S. ATLANTIC	179	128	-	6	19	5	71	116	-	1	9										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	24	12	-	3	5	-	11	35	-	-	-										
D.C.	-	-	-	-	-	-	1	-	-	-	-										
Va.	20	23	-	2	4	-	8	10	-	-	-										
W. Va.	4	3	-	-	-	-	1	-	-	-	-										
N.C.	40	24	-	-	3	1	25	29	-	-	6										
S.C.	18	10	-	1	6	1	14	15	-	-	2										
Ga.	24	22	-	-	-	-	2	13	-	1	-										
Fla.	49	34	-	-	1	3	9	13	-	-	1										
E.S. CENTRAL	67	57	1	1	4	3	37	39	-	-	4										
Ky.	13	12	1	1	-	1	11	25	-	-	1										
Tenn.	23	24	-	-	2	-	16	5	-	-	-										
Ala.	27	16	-	-	1	2	7	8	-	-	3										
Miss.	4	5	-	-	1	-	3	1	-	-	-										
W.S. CENTRAL	139	102	-	6	15	7	33	60	-	-	4										
Ark.	10	5	-	1	1	-	3	6	-	-	-										
La.	46	32	-	2	3	-	1	4	-	-	1										
Okla.	14	17	-	-	-	-	1	-	-	-	-										
Tex.	69	48	-	3	11	7	28	50	-	-	3										
MOUNTAIN	51	52	1	6	9	20	713	287	-	-	-										
Mont.	-	1	-	-	1	-	5	6	-	-	-										
Idaho	4	6	-	-	-	1	160	35	-	-	-										
Wyo.	1	-	-	1	-	-	1	-	-	-	-										
Colo.	20	14	-	2	1	-	135	173	-	-	-										
N. Mex.	8	7	-	2	1	-	42	41	-	-	-										
Ariz.	9	16	-	-	-	17	354	23	-	-	-										
Utah	5	6	-	-	4	2	11	6	-	-	-										
Nev.	4	2	1	1	2	-	5	3	-	-	-										
PACIFIC	193	206	1	26	63	1	119	315	-	-	7										
Wash.	34	15	-	-	1	1	30	89	-	-	6										
Oreg.	12	25	N	N	N	-	6	26	-	-	-										
Calif.	139	158	1	17	55	-	75	178	-	-	1										
Alaska	1	3	-	1	2	-	-	4	-	-	-										
Hawaii	7	5	-	8	5	-	8	18	-	-	-										
Guam	-	-	-	-	-	-	-	-	-	-	-										
P.R.	1	4	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


