
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 5, 2001 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	984	975	3	62	151	40	1,590	1,801	2	6	43										
NEW ENGLAND	64	54	-	-	2	-	229	470	-	-	9										
Maine	1	3	-	-	-	-	-	10	-	-	-										
N.H.	6	3	-	-	-	-	16	52	-	-	1										
Vt.	4	2	-	-	-	-	22	87	-	-	-										
Mass.	37	36	-	-	-	-	183	297	-	-	7										
R.I.	1	3	-	-	1	-	1	6	-	-	-										
Conn.	15	7	-	-	1	-	7	18	-	-	1										
MID. ATLANTIC	75	91	-	1	11	5	95	163	-	1	6										
Upstate N.Y.	31	22	-	-	5	5	79	75	-	1	2										
N.Y. City	20	25	-	1	3	-	6	33	-	-	4										
N.J.	22	20	U	-	-	U	2	-	U	-	-										
Pa.	2	24	-	-	3	-	8	55	-	-	-										
E.N. CENTRAL	125	166	-	7	19	6	182	243	1	2	-										
Ohio	44	28	-	1	6	1	117	142	-	-	-										
Ind.	19	18	-	1	-	1	12	17	1	1	-										
Ill.	20	45	-	5	4	4	18	23	-	1	-										
Mich.	23	54	-	-	8	-	17	16	-	-	-										
Wis.	19	21	-	-	1	-	18	45	-	-	-										
W.N. CENTRAL	64	57	-	4	8	-	75	58	-	1	1										
Minn.	8	3	-	1	-	-	17	31	-	-	-										
Iowa	17	13	-	-	4	-	10	8	-	1	-										
Mo.	23	31	-	-	2	-	33	8	-	-	-										
N. Dak.	3	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	4	-	-	-	-	3	1	-	-	-										
Nebr.	2	3	-	-	1	-	2	2	-	-	1										
Kans.	9	2	-	3	1	-	10	7	-	-	-										
S. ATLANTIC	190	135	2	8	20	11	81	135	1	2	11										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	24	13	1	4	5	2	13	36	-	-	-										
D.C.	-	-	-	-	-	-	1	-	-	-	-										
Va.	21	24	-	2	4	2	10	13	-	-	-										
W. Va.	4	4	-	-	-	-	1	-	-	-	-										
N.C.	40	25	-	-	3	5	30	38	-	-	8										
S.C.	19	11	-	1	6	1	15	16	-	-	2										
Ga.	27	23	-	-	1	-	2	16	-	1	-										
Fla.	55	35	1	1	1	1	9	15	1	1	1										
E.S. CENTRAL	69	63	-	1	4	1	38	39	-	-	4										
Ky.	13	12	-	1	-	-	11	25	-	-	1										
Tenn.	23	27	-	-	2	-	16	5	-	-	-										
Ala.	27	18	-	-	1	1	8	8	-	-	3										
Miss.	6	6	-	-	1	-	3	1	-	-	-										
W.S. CENTRAL	141	138	-	6	15	8	43	63	-	-	4										
Ark.	10	6	-	1	1	-	3	9	-	-	-										
La.	46	32	-	2	3	-	1	4	-	-	1										
Okla.	16	18	-	-	-	-	1	-	-	-	-										
Tex.	69	82	-	3	11	8	38	50	-	-	3										
MOUNTAIN	51	52	1	6	9	9	719	305	-	-	-										
Mont.	-	1	-	-	1	-	5	6	-	-	-										
Idaho	4	6	1	1	-	-	160	37	-	-	-										
Wyo.	1	-	U	1	-	U	1	-	U	-	-										
Colo.	20	14	-	1	1	2	133	184	-	-	-										
N. Mex.	8	7	-	2	1	3	45	44	-	-	-										
Ariz.	9	16	-	-	-	4	359	25	-	-	-										
Utah	5	6	-	-	4	-	11	6	-	-	-										
Nev.	4	2	U	1	2	U	5	3	U	-	-										
PACIFIC	205	219	-	29	63	-	128	325	-	-	8										
Wash.	34	15	-	-	1	-	30	89	-	-	6										
Oreg.	15	25	N	N	N	-	6	28	-	-	-										
Calif.	147	170	-	18	55	-	83	186	-	-	2										
Alaska	1	3	-	1	2	-	-	4	-	-	-										
Hawaii	8	6	-	10	5	-	9	18	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	4	-	-	-	-	-	1	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


