
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2001 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	1,053	1,000	7	72	155	48	1,577	1,913	-	6	61										
NEW ENGLAND	65	56	-	-	2	-	165	491	-	-	10										
Maine	1	3	-	-	-	-	-	11	-	-	-										
N.H.	7	4	-	-	-	-	16	54	-	-	1										
Vt.	4	2	-	-	-	-	22	90	-	-	-										
Mass.	37	37	-	-	-	-	119	309	-	-	8										
R.I.	1	3	-	-	1	-	1	7	-	-	-										
Conn.	15	7	-	-	1	-	7	20	-	-	1										
MID. ATLANTIC	79	93	1	2	11	5	100	187	-	1	5										
Upstate N.Y.	33	23	1	1	5	5	84	90	-	1	1										
N.Y. City	20	25	-	1	3	-	6	34	-	-	4										
N.J.	22	21	-	-	-	-	2	-	-	-	-										
Pa.	4	24	-	-	3	-	8	63	-	-	-										
E.N. CENTRAL	134	179	1	8	16	10	192	251	-	2	-										
Ohio	47	32	-	1	7	2	119	145	-	-	-										
Ind.	24	20	-	1	-	5	17	19	-	1	-										
Ill.	20	47	1	6	4	3	21	24	-	1	-										
Mich.	23	58	-	-	4	-	17	15	-	-	-										
Wis.	20	22	-	-	1	-	18	48	-	-	-										
W.N. CENTRAL	70	59	-	3	8	1	76	63	-	1	1										
Minn.	10	3	-	1	-	-	17	35	-	-	-										
Iowa	17	15	-	-	4	-	10	8	-	1	-										
Mo.	23	31	-	-	2	-	33	8	-	-	-										
N. Dak.	3	1	-	-	-	-	-	1	-	-	-										
S. Dak.	3	4	-	-	-	-	3	1	-	-	-										
Nebr.	5	3	-	-	1	-	2	3	-	-	1										
Kans.	9	2	-	2	1	1	11	7	-	-	-										
S. ATLANTIC	199	142	2	10	21	1	82	143	-	2	27										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	26	15	-	4	5	-	13	37	-	-	-										
D.C.	-	-	-	-	-	-	1	-	-	-	-										
Va.	21	26	-	2	4	-	10	13	-	-	-										
W. Va.	4	4	-	-	-	-	1	-	-	-	-										
N.C.	44	25	-	-	3	-	30	39	-	-	20										
S.C.	20	11	-	1	6	-	15	16	-	-	5										
Ga.	27	24	1	1	2	1	3	18	-	1	-										
Fla.	57	37	1	2	1	-	9	19	-	1	2										
E.S. CENTRAL	74	69	-	1	3	-	38	39	-	-	4										
Ky.	13	13	-	1	-	-	11	25	-	-	1										
Tenn.	26	31	-	-	2	-	16	5	-	-	-										
Ala.	28	19	-	-	1	-	8	8	-	-	3										
Miss.	7	6	-	-	-	-	3	1	-	-	-										
W.S. CENTRAL	145	123	1	7	18	6	49	76	-	-	5										
Ark.	11	6	-	1	1	-	3	8	-	-	-										
La.	48	33	-	2	3	-	1	5	-	-	1										
Okla.	17	18	-	-	-	-	1	7	-	-	-										
Tex.	69	66	1	4	14	6	44	56	-	-	4										
MOUNTAIN	55	49	-	6	10	23	743	305	-	-	1										
Mont.	-	1	-	-	1	1	6	6	-	-	-										
Idaho	5	6	-	1	-	-	160	38	-	-	-										
Wyo.	1	-	U	1	1	U	1	-	U	-	-										
Colo.	23	12	-	1	-	2	135	175	-	-	1										
N. Mex.	8	6	-	2	1	4	49	51	-	-	-										
Ariz.	9	16	-	-	-	16	375	25	-	-	-										
Utah	5	6	-	-	4	-	12	7	-	-	-										
Nev.	4	2	-	1	3	-	5	3	-	-	-										
PACIFIC	232	230	2	35	66	2	132	358	-	-	8										
Wash.	35	22	-	-	2	2	34	109	-	-	6										
Oreg.	16	26	N	N	N	-	6	31	-	-	-										
Calif.	172	173	1	19	55	-	83	195	-	-	2										
Alaska	1	3	-	1	4	-	-	5	-	-	-										
Hawaii	8	6	1	15	5	-	9	18	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	4	-	-	-	-	-	1	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


