
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 6, 2001 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	1,005	968	7,662	10,069	4,963	5,354	1	49	-	42	91	71									
NEW ENGLAND	70	78	469	303	76	89	-	4	-	1	5	6									
Maine	1	1	10	15	5	5	-	-	-	-	-	-									
N.H.	4	12	16	18	12	15	-	-	-	-	-	3									
Vt.	3	7	12	8	4	6	-	1	-	-	1	3									
Mass.	35	36	195	116	2	13	-	2	-	1	3	-									
R.I.	3	4	38	21	22	15	-	-	-	-	-	-									
Conn.	24	18	198	125	31	35	-	1	-	-	1	-									
MID. ATLANTIC	148	180	728	1,157	806	915	-	4	-	11	15	21									
Upstate N.Y.	58	76	192	177	108	99	-	1	-	4	5	10									
N.Y. City	36	49	209	399	322	449	-	2	-	1	3	10									
N.J.	38	32	159	227	169	143	-	-	-	1	1	-									
Pa.	16	23	168	354	207	224	-	1	-	5	6	1									
E.N. CENTRAL	136	147	795	1,311	685	563	-	-	-	10	10	7									
Ohio	56	44	183	218	86	88	-	-	-	3	3	2									
Ind.	40	26	75	75	37	40	-	-	-	4	4	-									
Ill.	10	48	232	572	118	98	-	-	-	3	3	3									
Mich.	8	9	258	376	444	305	-	-	-	-	-	2									
Wis.	22	20	47	70	-	32	U	-	U	-	-	-									
W.N. CENTRAL	51	60	326	576	154	226	-	4	-	-	4	1									
Minn.	30	32	33	163	17	30	-	2	-	-	2	1									
Iowa	-	-	29	59	21	27	-	-	-	-	-	-									
Mo.	13	18	88	235	83	112	-	2	-	-	2	-									
N. Dak.	6	2	2	3	-	2	-	-	-	-	-	-									
S. Dak.	-	1	2	1	1	1	-	-	-	-	-	-									
Nebr.	1	3	29	27	17	33	U	-	U	-	-	-									
Kans.	1	4	143	88	15	21	-	-	-	-	-	-									
S. ATLANTIC	292	222	1,818	1,090	1,092	926	-	4	-	1	5	3									
Del.	-	-	-	12	-	12	-	-	-	-	-	-									
Md.	69	65	206	165	110	102	U	2	U	1	3	-									
D.C.	-	-	43	20	11	27	-	-	-	-	-	-									
Va.	21	34	104	120	126	128	-	1	-	-	1	2									
W. Va.	14	6	14	52	20	10	-	-	-	-	-	-									
N.C.	42	20	165	116	171	183	-	-	-	-	-	-									
S.C.	5	7	63	54	26	13	-	-	-	-	-	-									
Ga.	68	54	701	216	285	157	-	1	-	-	1	-									
Fla.	73	36	522	335	343	294	-	-	-	-	-	1									
E.S. CENTRAL	63	39	309	337	347	367	-	2	-	-	2	-									
Ky.	2	12	108	43	40	63	-	2	-	-	2	-									
Tenn.	33	16	117	118	180	173	-	-	-	-	-	-									
Ala.	26	9	68	43	73	45	-	-	-	-	-	-									
Miss.	2	2	16	133	54	86	-	-	-	-	-	-									
W.S. CENTRAL	36	59	1,039	1,913	494	879	-	1	-	-	1	-									
Ark.	-	2	59	119	77	79	-	-	-	-	-	-									
La.	3	16	55	67	32	121	-	-	-	-	-	-									
Okla.	33	39	102	210	70	119	-	-	-	-	-	-									
Tex.	-	2	823	1,517	315	560	-	1	-	-	1	-									
MOUNTAIN	120	93	617	711	410	399	-	1	-	1	2	12									
Mont.	-	1	10	5	3	6	-	-	-	-	-	-									
Idaho	1	3	52	21	10	6	-	-	-	1	1	-									
Wyo.	-	1	7	4	2	2	U	-	U	-	-	-									
Colo.	31	22	75	165	88	68	-	-	-	-	-	2									
N. Mex.	18	19	31	60	123	111	-	-	-	-	-	-									
Ariz.	54	35	333	358	125	147	-	1	-	-	1	-									
Utah	6	8	60	45	23	19	-	-	-	-	-	3									
Nev.	10	4	49	53	36	40	-	-	-	-	-	7									
PACIFIC	89	90	1,561	2,671	899	990	1	29	-	18	47	21									
Wash.	2	5	108	231	110	82	-	13	-	2	15	3									
Oreg.	17	27	66	147	76	85	1	4	-	-	4	-									
Calif.	42	30	1,372	2,269	689	803	U	10	U	11	21	14									
Alaska	6	6	14	11	9	9	-	-	-	-	-	1									
Hawaii	22	22	1	13	15	11	-	2	-	5	7	3									
Guam	-	1	-	1	-	9	U	-	U	-	-	-									
P.R.	1	3	91	214	136	217	U	-	U	-	-	2									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	U	-	U	28	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


