
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2002
AIDS § cummulative for 2001
Chlamydia† cummulative for 2002
Chlamydia† cummulative for 2001
Cryptosporidiosis cummulative for 2002
Cryptosporidiosis cummulative for 2001
Escherichia coli O157:H7 cummulative for 2002
Escherichia coli O157:H7 cummulative for 2001
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2001

tab delimited data:
test
UNITED STATES	-	-	-	8,281	-	18	-	8	-	-											
NEW ENGLAND	-	-	-	235	-	2	-	3	-	-											
Maine	-	-	-	15	-	-	-	-	-	-											
N.H.	-	-	-	12	-	-	-	-	-	-											
Vt.	-	-	-	9	-	2	-	-	-	-											
Mass.	-	-	-	61	-	-	-	3	-	-											
R.I.	-	-	-	70	-	-	-	-	-	-											
Conn.	-	-	-	68	-	-	-	-	-	-											
MID. ATLANTIC	-	-	-	572	-	1	-	-	-	-											
Upstate N.Y.	-	-	-	7	-	-	-	-	-	-											
N.Y. City	-	-	-	202	-	1	-	-	-	-											
N.J.	-	-	-	34	-	-	-	-	-	-											
Pa.	-	-	-	329	-	-	N	N	-	-											
E.N. CENTRAL	-	-	-	1,973	-	4	-	2	-	-											
Ohio	-	-	-	729	-	-	-	-	-	-											
Ind.	-	-	-	197	-	-	-	-	-	-											
Ill.	-	-	-	563	-	-	-	1	-	-											
Mich.	-	-	-	206	-	-	-	-	-	-											
Wis.	-	-	-	278	-	4	-	1	-	-											
W.N. CENTRAL	-	-	-	338	-	-	-	-	-	-											
Minn.	-	-	-	134	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	-	-											
Mo.	-	-	-	104	-	-	-	-	-	-											
N. Dak.	-	-	-	1	-	-	-	-	-	-											
S. Dak.	-	-	-	27	-	-	-	-	-	-											
Nebr.	-	-	-	33	-	-	-	-	-	-											
Kans.	-	-	-	39	-	-	-	-	-	-											
S. ATLANTIC	-	-	-	1,125	-	2	-	1	-	-											
Del.	-	-	-	41	-	-	-	-	-	-											
Md.	-	-	-	215	-	1	-	-	-	-											
D.C.	-	-	-	38	-	1	-	-	-	-											
Va.	-	-	-	81	-	-	-	-	-	-											
W. Va.	-	-	-	27	-	-	-	-	-	-											
N.C.	-	-	-	253	-	-	-	-	-	-											
S.C.	-	-	-	1	-	-	-	-	-	-											
Ga.	-	-	-	203	-	-	-	1	-	-											
Fla.	-	-	-	266	-	-	-	-	-	-											
E.S. CENTRAL	-	-	-	466	-	1	-	1	-	-											
Ky.	-	-	-	77	-	-	-	-	-	-											
Tenn.	-	-	-	91	-	-	-	1	-	-											
Ala.	-	-	-	171	-	-	-	-	-	-											
Miss.	-	-	-	127	-	1	-	-	-	-											
W.S. CENTRAL	-	-	-	1,556	-	-	-	1	-	-											
Ark.	-	-	-	110	-	-	-	-	-	-											
La.	-	-	-	315	-	-	-	-	-	-											
Okla.	-	-	-	147	-	-	-	-	-	-											
Tex.	-	-	-	984	-	-	-	1	-	-											
MOUNTAIN	-	-	-	539	-	1	-	-	-	-											
Mont.	-	-	-	13	-	-	-	-	-	-											
Idaho	-	-	-	31	-	-	-	-	-	-											
Wyo.	-	-	-	3	-	-	-	-	-	-											
Colo.	-	-	-	291	-	1	-	-	-	-											
N. Mex.	-	-	-	104	-	-	-	-	-	-											
Ariz.	-	-	-	34	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	63	-	-	-	-	-	-											
PACIFIC	-	-	-	1,477	-	7	-	-	-	-											
Wash.	-	-	-	204	-	U	-	-	-	-											
Oreg.	-	-	-	33	-	-	-	-	-	-											
Calif.	-	-	-	1,159	-	7	-	-	-	-											
Alaska	-	-	-	6	-	-	-	-	-	-											
Hawaii	-	-	-	75	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	N	N	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


