
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2002
AIDS § cummulative for 2001
Chlamydia† cummulative for 2002
Chlamydia† cummulative for 2001
Cryptosporidiosis cummulative for 2002
Cryptosporidiosis cummulative for 2001
Escherichia coli O157:H7 cummulative for 2002
Escherichia coli O157:H7 cummulative for 2001
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2001

tab delimited data:
test
UNITED STATES	-	-	10,850	22,704	32	47	32	24	3	-											
NEW ENGLAND	-	-	553	548	-	2	6	5	-	-											
Maine	-	-	4	43	-	-	-	-	-	-											
N.H.	-	-	39	41	-	-	-	-	-	-											
Vt.	-	-	22	18	-	2	-	-	-	-											
Mass.	-	-	382	79	-	-	3	5	-	-											
R.I.	-	-	106	132	-	-	-	-	-	-											
Conn.	-	-	-	235	-	-	3	-	-	-											
MID. ATLANTIC	-	-	997	1,610	4	5	1	4	-	-											
Upstate N.Y.	-	-	55	64	1	-	1	4	-	-											
N.Y. City	-	-	537	717	1	5	-	-	-	-											
N.J.	-	-	-	150	-	-	-	-	-	-											
Pa.	-	-	405	679	2	-	N	N	-	-											
E.N. CENTRAL	-	-	1,878	4,564	2	17	1	4	-	-											
Ohio	-	-	95	1,514	1	2	1	1	-	-											
Ind.	-	-	174	424	-	-	-	-	-	-											
Ill.	-	-	545	1,455	-	1	-	2	-	-											
Mich.	-	-	929	579	1	1	-	-	-	-											
Wis.	-	-	135	592	-	13	-	1	-	-											
W.N. CENTRAL	-	-	158	1,139	1	2	8	1	2	-											
Minn.	-	-	72	324	-	-	2	-	2	-											
Iowa	-	-	-	24	1	-	3	-	-	-											
Mo.	-	-	29	413	-	-	1	-	-	-											
N. Dak.	-	-	-	19	-	-	-	-	-	-											
S. Dak.	-	-	57	56	-	-	-	1	-	-											
Nebr.	-	-	-	85	-	2	-	-	-	-											
Kans.	-	-	-	218	-	-	2	-	-	-											
S. ATLANTIC	-	-	1,616	4,464	20	3	10	2	1	-											
Del.	-	-	-	115	-	-	-	-	-	-											
Md.	-	-	148	485	-	1	-	-	-	-											
D.C.	-	-	77	112	-	1	-	-	-	-											
Va.	-	-	320	601	-	-	-	-	-	-											
W. Va.	-	-	66	70	-	-	-	-	-	-											
N.C.	-	-	147	445	1	-	1	1	-	-											
S.C.	-	-	-	1,101	-	-	-	-	-	-											
Ga.	-	-	2	667	19	1	9	1	1	-											
Fla.	-	-	856	868	-	-	-	-	-	-											
E.S. CENTRAL	-	-	1,506	1,415	-	1	-	2	-	-											
Ky.	-	-	228	212	-	-	-	-	-	-											
Tenn.	-	-	551	454	-	-	-	2	-	-											
Ala.	-	-	467	403	-	-	-	-	-	-											
Miss.	-	-	260	346	-	1	-	-	-	-											
W.S. CENTRAL	-	-	2,716	4,097	1	1	-	1	-	-											
Ark.	-	-	-	346	1	-	-	-	-	-											
La.	-	-	456	655	-	-	-	-	-	-											
Okla.	-	-	386	315	-	1	-	-	-	-											
Tex.	-	-	1,874	2,781	-	-	-	1	-	-											
MOUNTAIN	-	-	683	1,327	1	3	-	-	-	-											
Mont.	-	-	63	13	-	-	-	-	-	-											
Idaho	-	-	38	59	1	-	-	-	-	-											
Wyo.	-	-	17	17	-	-	-	-	-	-											
Colo.	-	-	134	543	-	2	-	-	-	-											
N. Mex.	-	-	135	208	-	1	-	-	-	-											
Ariz.	-	-	160	313	-	-	-	-	-	-											
Utah	-	-	136	10	-	-	-	-	-	-											
Nev.	-	-	-	164	-	-	-	-	-	-											
PACIFIC	-	-	743	3,540	3	13	6	5	-	-											
Wash.	-	-	470	377	-	U	-	-	-	-											
Oreg.	-	-	-	217	3	-	5	-	-	-											
Calif.	-	-	174	2,735	-	13	1	3	-	-											
Alaska	-	-	74	49	-	-	-	-	-	-											
Hawaii	-	-	25	162	-	-	-	2	-	-											
Guam	-	-	-	-	-	-	N	N	-	-											
P.R.	-	-	-	70	-	-	-	-	-	-											
V.I.	-	-	-	6	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	11	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


