
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	85	137	-	20	47	141	2	3													
NEW ENGLAND	-	2	-	-	5	1	1	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	-	-	-	-	-	-	1	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	2	-	-	5	-	-	-													
MID. ATLANTIC	3	9	-	2	11	1	-	-													
Upstate N.Y.	-	-	-	1	-	-	-	-													
N.Y. City	2	5	-	-	-	1	-	-													
N.J.	-	2	-	1	-	-	-	-													
Pa.	1	2	-	-	11	-	-	-													
E.N. CENTRAL	5	18	-	1	2	5	1	-													
Ohio	2	3	-	-	-	4	-	-													
Ind.	1	4	-	-	1	1	-	-													
Ill.	2	11	-	1	1	-	-	-													
Mich.	-	-	-	-	-	-	1	-													
Wis.	-	-	-	-	-	-	-	-													
W.N. CENTRAL	-	3	-	-	18	1	-	1													
Minn.	-	2	-	-	-	1	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	1	-	-	18	-	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	23	53	-	8	1	12	-	-													
Del.	-	-	-	-	-	-	-	-													
Md.	-	8	-	1	-	-	-	-													
D.C.	3	-	-	-	-	3	-	-													
Va.	2	3	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	1	-	-													
N.C.	10	14	-	-	1	-	-	-													
S.C.	-	6	-	2	-	2	-	-													
Ga.	3	11	-	2	-	6	-	-													
Fla.	5	11	-	3	-	-	-	-													
E.S. CENTRAL	20	16	-	-	3	5	-	-													
Ky.	1	2	-	-	-	-	-	-													
Tenn.	10	6	-	-	-	-	-	-													
Ala.	8	3	-	-	3	5	-	-													
Miss.	1	5	-	-	-	-	-	-													
W.S. CENTRAL	18	18	-	3	-	58	-	1													
Ark.	-	3	-	2	-	6	-	-													
La.	5	4	-	-	-	-	-	-													
Okla.	3	1	-	-	-	-	-	-													
Tex.	10	10	-	1	-	52	-	1													
MOUNTAIN	13	2	-	1	-	6	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	-	-	-	-	-	-	-													
N. Mex.	3	-	-	-	-	2	-	-													
Ariz.	9	1	-	1	-	1	-	-													
Utah	-	1	-	-	-	-	-	-													
Nev.	-	-	-	-	-	3	-	-													
PACIFIC	3	16	-	5	7	52	-	1													
Wash.	1	2	-	-	4	7	-	-													
Oreg.	-	1	-	-	-	-	-	-													
Calif.	2	12	-	5	-	39	-	1													
Alaska	-	-	-	-	1	1	-	-													
Hawaii	-	1	-	-	2	5	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	20	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	1	U	-	U	2	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


