
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	26	31	9	19	127	131	24	46	-	6											
NEW ENGLAND	-	1	1	2	3	7	2	2	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	1	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	-											
Mass.	-	-	-	2	3	7	-	2	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	1	-	-	-	1	-	-	-											
MID. ATLANTIC	3	2	2	2	85	73	-	13	-	-											
Upstate N.Y.	-	-	2	1	66	21	-	1	-	-											
N.Y. City	-	-	-	1	-	2	-	8	-	-											
N.J.	-	2	-	-	-	39	-	2	-	-											
Pa.	3	-	-	-	19	11	-	2	-	-											
E.N. CENTRAL	18	17	2	4	2	17	4	5	-	-											
Ohio	13	9	2	-	2	7	2	1	-	-											
Ind.	-	1	-	-	-	-	-	1	-	-											
Ill.	-	3	-	1	-	2	-	3	-	-											
Mich.	5	2	-	2	-	-	2	-	-	-											
Wis.	-	2	-	1	U	8	-	-	-	-											
W.N. CENTRAL	-	3	-	1	3	-	3	1	-	-											
Minn.	-	-	-	-	1	-	-	-	-	-											
Iowa	-	-	-	-	-	-	1	-	-	-											
Mo.	-	1	-	-	2	-	2	1	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	-	-	-	-											
S. ATLANTIC	3	1	-	2	28	21	7	8	-	-											
Del.	1	-	-	-	-	1	-	-	-	-											
Md.	2	1	-	1	26	19	4	4	-	-											
D.C.	-	-	-	-	2	1	1	1	-	-											
Va.	-	-	-	1	-	-	-	2	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	2	1	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	-	-	-	-	-	-	-	-	-											
Fla.	-	-	-	-	-	-	-	-	-	-											
E.S. CENTRAL	-	1	-	1	-	1	-	-	-	-											
Ky.	-	-	-	1	-	1	-	-	-	-											
Tenn.	-	-	-	-	-	-	-	-	-	-											
Ala.	-	1	-	-	-	-	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	1	-	-	1	8	-	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	1	8	-	1	-	-											
MOUNTAIN	1	1	1	-	1	-	-	2	-	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	1	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	1	1	-	1	-	-	1	-	-											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	1	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	1	4	3	7	4	4	8	13	-	6											
Wash.	-	-	-	-	-	-	-	-	-	5											
Oreg.	N	N	-	-	-	-	-	2	-	-											
Calif.	1	4	3	7	4	4	6	11	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	N	N	2	-	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


