
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2002 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	73	248	5	11	171	286	150	409													
NEW ENGLAND	5	15	-	-	51	67	24	33													
Maine	1	-	-	-	3	-	2	4													
N.H.	-	1	-	-	-	-	-	-													
Vt.	1	-	-	-	12	12	4	7													
Mass.	3	9	-	-	36	55	7	9													
R.I.	-	-	-	-	-	-	2	4													
Conn.	-	5	-	-	-	-	9	9													
MID. ATLANTIC	11	31	1	-	4	18	38	43													
Upstate N.Y.	3	3	-	-	4	15	33	31													
N.Y. City	1	7	-	-	-	3	-	-													
N.J.	-	16	-	-	-	-	-	9													
Pa.	7	5	1	-	-	-	5	3													
E.N. CENTRAL	13	26	-	1	23	39	1	5													
Ohio	11	8	-	1	18	24	-	-													
Ind.	-	-	-	-	-	-	1	-													
Ill.	-	7	-	-	-	-	-	-													
Mich.	2	7	-	-	4	3	-	2													
Wis.	-	4	-	-	1	12	-	3													
W.N. CENTRAL	4	12	-	-	25	17	10	24													
Minn.	-	-	-	-	-	-	1	9													
Iowa	-	2	-	-	7	2	3	5													
Mo.	3	7	-	-	12	9	-	2													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	1	-	-	-	-	1	-	6													
Nebr.	-	1	-	-	-	-	-	-													
Kans.	-	2	-	-	6	5	6	2													
S. ATLANTIC	11	34	1	1	14	8	53	89													
Del.	-	-	-	-	1	-	-	-													
Md.	1	5	-	1	3	4	-	18													
D.C.	-	-	-	-	-	-	-	-													
Va.	1	3	1	-	-	-	17	19													
W. Va.	-	-	-	-	-	-	7	8													
N.C.	1	10	-	-	7	1	26	19													
S.C.	-	2	-	-	2	3	3	3													
Ga.	4	6	-	-	-	-	-	15													
Fla.	4	8	-	-	1	-	-	7													
E.S. CENTRAL	4	7	1	-	4	5	5	108													
Ky.	-	1	-	-	1	1	-	-													
Tenn.	-	1	-	-	2	2	3	106													
Ala.	4	5	1	-	1	1	2	2													
Miss.	-	-	-	-	-	1	-	-													
W.S. CENTRAL	5	74	-	-	5	1	8	62													
Ark.	3	1	-	-	4	1	-	-													
La.	1	11	-	-	-	-	-	-													
Okla.	-	5	-	-	-	-	8	6													
Tex.	1	57	-	-	1	-	-	56													
MOUNTAIN	6	12	-	1	33	102	7	22													
Mont.	-	-	-	-	1	-	-	1													
Idaho	-	3	-	-	4	4	-	-													
Wyo.	-	-	-	-	-	-	-	7													
Colo.	4	4	-	-	19	47	-	-													
N. Mex.	-	3	-	1	8	1	-	-													
Ariz.	2	1	-	-	-	50	7	14													
Utah	-	1	-	-	1	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	14	37	2	8	12	29	4	23													
Wash.	2	1	-	-	-	1	-	-													
Oreg.	6	1	N	N	11	1	-	-													
Calif.	6	31	2	5	-	22	-	11													
Alaska	-	-	-	-	1	-	4	12													
Hawaii	-	4	-	3	-	5	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	6	8													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


