
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2002
AIDS § cummulative for 2001
Chlamydia† cummulative for 2002
Chlamydia† cummulative for 2001
Cryptosporidiosis cummulative for 2002
Cryptosporidiosis cummulative for 2001
Escherichia coli O157:H7 cummulative for 2002
Escherichia coli O157:H7 cummulative for 2001
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2001

tab delimited data:
test
UNITED STATES	3,550	4,178	40,743	63,455	102	128	78	83	4	3											
NEW ENGLAND	119	87	1,562	2,011	4	4	5	8	-	-											
Maine	1	3	123	106	-	-	-	-	-	-											
N.H.	2	5	122	109	1	-	-	1	-	-											
Vt.	2	5	76	63	-	2	-	-	-	-											
Mass.	83	50	978	760	-	1	4	7	-	-											
R.I.	6	9	263	295	3	1	1	-	-	-											
Conn.	25	15	-	678	-	-	-	-	-	-											
MID. ATLANTIC	874	2,021	3,987	5,469	8	21	7	11	-	-											
Upstate N.Y.	52	489	530	606	1	3	7	7	-	-											
N.Y. City	600	1,371	2,568	2,447	3	10	-	-	-	-											
N.J.	163	131	224	673	-	2	-	4	-	-											
Pa.	59	30	665	1,743	4	6	N	N	-	-											
E.N. CENTRAL	375	217	5,983	12,370	23	46	24	17	-	-											
Ohio	106	37	288	3,720	5	8	5	9	-	-											
Ind.	53	26	919	1,246	3	2	2	1	-	-											
Ill.	175	123	2,116	4,077	-	5	6	4	-	-											
Mich.	31	23	2,012	1,661	9	7	4	-	-	-											
Wis.	10	8	648	1,666	6	24	7	3	-	-											
W.N. CENTRAL	47	46	1,606	3,475	5	3	13	8	2	-											
Minn.	9	7	460	833	2	-	4	3	2	-											
Iowa	15	9	-	212	1	1	4	-	-	-											
Mo.	22	6	525	1,291	2	-	2	2	-	-											
N. Dak.	-	-	37	83	-	-	-	-	-	-											
S. Dak.	-	-	198	182	-	-	-	1	-	-											
Nebr.	-	15	-	262	-	2	-	-	-	-											
Kans.	1	9	386	612	-	-	3	2	-	-											
S. ATLANTIC	1,156	709	8,665	11,685	35	16	15	9	1	1											
Del.	23	14	181	271	-	-	1	-	-	-											
Md.	143	39	1,311	1,309	1	2	-	-	-	-											
D.C.	19	61	237	327	1	1	-	-	-	-											
Va.	113	88	1,312	1,188	-	2	1	-	-	1											
W. Va.	8	4	231	203	-	-	-	-	-	-											
N.C.	64	33	1,388	1,664	3	2	3	6	-	-											
S.C.	112	50	935	1,653	-	-	-	1	-	-											
Ga.	377	104	430	2,590	27	3	10	1	1	-											
Fla.	297	316	2,640	2,480	3	6	-	1	-	-											
E.S. CENTRAL	158	126	4,285	4,336	6	3	-	3	-	-											
Ky.	16	18	782	733	1	-	-	-	-	-											
Tenn.	86	58	1,418	1,355	-	-	-	2	-	-											
Ala.	20	25	1,389	1,124	5	2	-	1	-	-											
Miss.	36	25	696	1,124	-	1	-	-	-	-											
W.S. CENTRAL	401	385	7,250	10,187	2	3	-	5	-	-											
Ark.	14	19	215	902	2	-	-	-	-	-											
La.	75	117	1,667	1,644	-	1	-	-	-	-											
Okla.	7	20	847	943	-	1	-	-	-	-											
Tex.	305	229	4,521	6,698	-	1	-	5	-	-											
MOUNTAIN	121	144	2,214	3,338	5	8	3	5	1	1											
Mont.	3	1	139	53	-	-	-	-	-	-											
Idaho	1	-	114	138	2	-	1	2	-	-											
Wyo.	1	-	58	69	-	-	-	-	1	-											
Colo.	21	51	482	1,015	1	4	1	1	-	1											
N. Mex.	6	10	135	517	-	2	1	-	-	-											
Ariz.	52	37	677	999	-	1	-	2	-	-											
Utah	7	9	609	67	2	1	-	-	-	-											
Nev.	30	36	-	480	-	-	-	-	-	-											
PACIFIC	299	443	5,191	10,584	14	24	11	17	-	1											
Wash.	-	28	1,133	1,299	-	U	3	2	-	-											
Oreg.	76	18	-	590	6	2	5	-	-	1											
Calif.	220	396	3,488	8,095	8	22	3	12	-	-											
Alaska	-	1	283	191	-	-	-	-	-	-											
Hawaii	3	-	287	409	-	-	-	3	-	-											
Guam	1	1	-	-	-	-	N	N	-	-											
P.R.	68	48	-	289	-	-	-	-	-	-											
V.I.	33	1	-	12	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	15	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


