
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	111	324	6	16	248	465	206	511													
NEW ENGLAND	7	22	-	-	79	85	40	45													
Maine	1	-	-	-	3	-	2	8													
N.H.	1	1	-	-	-	4	-	-													
Vt.	2	-	-	-	14	16	11	9													
Mass.	3	15	-	-	62	64	14	12													
R.I.	-	-	-	-	-	-	2	4													
Conn.	-	6	-	-	-	1	11	12													
MID. ATLANTIC	16	39	1	1	12	19	52	69													
Upstate N.Y.	4	4	-	-	12	16	43	47													
N.Y. City	2	9	-	1	-	3	-	-													
N.J.	1	20	-	-	-	-	-	12													
Pa.	9	6	1	-	-	-	9	10													
E.N. CENTRAL	18	34	-	1	26	70	1	6													
Ohio	11	10	-	1	18	50	-	-													
Ind.	4	-	-	-	-	1	1	1													
Ill.	-	9	-	-	-	-	-	-													
Mich.	3	9	-	-	7	5	-	2													
Wis.	-	6	-	-	1	14	-	3													
W.N. CENTRAL	5	15	-	1	32	23	11	31													
Minn.	-	-	-	-	-	-	1	9													
Iowa	-	4	-	-	9	2	4	9													
Mo.	3	7	-	-	16	13	-	2													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	1	-	-	-	1	2	-	6													
Nebr.	-	1	-	-	-	-	-	-													
Kans.	1	3	-	1	6	6	6	5													
S. ATLANTIC	23	46	2	1	18	17	67	113													
Del.	-	-	-	-	1	-	-	-													
Md.	1	8	1	1	4	5	-	21													
D.C.	-	-	-	-	-	-	-	-													
Va.	1	3	1	-	3	-	22	28													
W. Va.	-	-	-	-	-	-	10	8													
N.C.	3	10	-	-	7	8	32	25													
S.C.	-	4	-	-	2	3	3	7													
Ga.	6	7	-	-	-	1	-	15													
Fla.	12	14	-	-	1	-	-	9													
E.S. CENTRAL	7	16	1	-	11	8	7	108													
Ky.	-	3	-	-	4	1	-	-													
Tenn.	1	5	-	-	5	4	4	106													
Ala.	6	7	1	-	2	1	3	2													
Miss.	-	1	-	-	-	2	-	-													
W.S. CENTRAL	7	86	-	-	8	2	10	83													
Ark.	4	3	-	-	4	2	-	-													
La.	1	12	-	-	-	-	-	1													
Okla.	1	6	-	-	-	-	10	7													
Tex.	1	65	-	-	4	-	-	75													
MOUNTAIN	9	18	-	1	46	204	8	26													
Mont.	-	-	-	-	1	-	-	3													
Idaho	-	3	-	-	5	8	-	-													
Wyo.	-	-	-	-	1	-	1	9													
Colo.	4	5	-	-	28	67	-	-													
N. Mex.	-	4	-	1	9	4	-	-													
Ariz.	2	3	-	-	-	122	7	14													
Utah	3	2	-	-	2	3	-	-													
Nev.	-	1	-	-	-	-	-	-													
PACIFIC	19	48	2	11	16	37	10	30													
Wash.	6	3	-	-	3	3	-	-													
Oreg.	6	1	N	N	11	1	-	-													
Calif.	6	40	2	7	-	26	-	12													
Alaska	-	-	-	-	2	-	10	18													
Hawaii	1	4	-	4	-	7	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	8	11													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


