
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	68	78	26	35	344	441	78	131	-	22											
NEW ENGLAND	2	1	1	3	13	75	7	14	-	3											
Maine	-	-	1	-	-	-	1	-	-	-											
N.H.	1	-	-	-	7	1	4	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	-											
Mass.	-	-	-	3	6	26	-	8	-	3											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	1	-	-	-	-	48	2	6	-	-											
MID. ATLANTIC	10	14	5	4	258	277	7	30	-	-											
Upstate N.Y.	1	1	3	1	164	61	2	1	-	-											
N.Y. City	-	1	1	1	-	4	3	18	-	-											
N.J.	-	4	-	2	12	78	-	8	-	-											
Pa.	9	8	1	-	82	134	2	3	-	-											
E.N. CENTRAL	33	34	4	6	8	22	7	28	-	-											
Ohio	24	12	3	-	8	8	4	4	-	-											
Ind.	1	2	-	-	-	-	-	6	-	-											
Ill.	-	5	-	1	-	2	-	7	-	-											
Mich.	8	9	1	3	-	-	3	11	-	-											
Wis.	-	6	-	2	U	12	-	-	-	-											
W.N. CENTRAL	1	6	-	1	5	3	6	3	-	-											
Minn.	-	-	-	-	2	3	-	-	-	-											
Iowa	-	1	-	-	1	-	2	-	-	-											
Mo.	1	3	-	-	2	-	2	3	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	2	-	-	-											
S. ATLANTIC	11	7	6	3	45	44	28	26	-	3											
Del.	2	-	-	-	5	4	-	1	-	-											
Md.	3	5	1	1	31	37	9	11	-	3											
D.C.	-	-	-	-	2	1	2	2	-	-											
Va.	-	1	-	1	-	1	-	6	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	1	-	-	-	-	1	3	1	-	-											
S.C.	-	-	2	-	1	-	2	-	-	-											
Ga.	2	1	2	1	-	-	6	4	-	-											
Fla.	3	-	1	-	6	-	6	1	-	-											
E.S. CENTRAL	-	3	-	4	-	2	2	1	-	-											
Ky.	-	2	-	1	-	2	-	-	-	-											
Tenn.	-	-	-	2	-	-	1	1	-	-											
Ala.	-	1	-	1	-	-	1	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	2	-	2	1	11	-	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	1	-	2	1	11	-	1	-	-											
MOUNTAIN	4	3	3	1	2	-	3	4	-	1											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	-	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	3	1	1	1	-	2	2	-	-											
N. Mex.	1	-	-	-	1	-	-	-	-	-											
Ariz.	-	-	2	-	-	-	-	-	-	-											
Utah	2	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	1	-	-	-											
PACIFIC	7	8	7	11	12	7	18	23	-	15											
Wash.	-	1	-	-	-	-	-	-	-	11											
Oreg.	N	N	1	1	-	-	-	2	-	2											
Calif.	7	7	6	10	12	7	15	19	-	1											
Alaska	-	-	-	-	-	-	1	1	-	-											
Hawaii	-	-	-	-	N	N	2	1	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


