
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 23, 2002 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	3	2,385	64,003	78,452	350	393	2	6												
NEW ENGLAND	-	-	267	1,442	1,404	29	11	-	1												
Maine	-	-	35	16	38	1	-	-	-												
N.H.	-	-	14	30	30	4	-	-	-												
Vt.	-	-	22	25	19	2	-	-	-												
Mass.	-	-	113	852	602	14	11	-	1												
R.I.	-	-	18	210	169	-	-	-	-												
Conn.	-	-	65	309	546	8	-	-	-												
MID. ATLANTIC	-	-	367	5,534	8,040	40	61	1	-												
Upstate N.Y.	-	-	74	499	1,528	12	11	1	-												
N.Y. City	-	-	186	2,685	2,843	16	18	-	-												
N.J.	-	-	-	423	1,034	9	26	-	-												
Pa.	-	-	107	1,927	2,635	3	6	-	-												
E.N. CENTRAL	1	2	513	11,033	16,423	47	63	-	1												
Ohio	1	2	196	1,828	4,740	32	23	-	1												
Ind.	-	-	-	1,529	1,594	6	6	-	-												
Ill.	-	-	83	3,436	5,158	-	24	-	-												
Mich.	-	-	165	3,453	3,522	5	3	-	-												
Wis.	-	-	69	787	1,409	4	7	-	-												
W.N. CENTRAL	-	-	262	2,959	3,735	12	10	-	-												
Minn.	-	-	84	576	636	9	4	-	-												
Iowa	-	-	58	134	229	1	-	-	-												
Mo.	-	-	75	1,443	1,816	2	6	-	-												
N. Dak.	-	-	3	10	8	-	-	-	-												
S. Dak.	-	-	13	64	47	-	-	-	-												
Nebr.	-	-	-	118	320	-	-	-	-												
Kans.	-	-	29	614	679	-	-	-	-												
S. ATLANTIC	-	-	425	18,033	20,456	105	129	-	1												
Del.	-	-	10	389	377	-	-	-	-												
Md.	-	-	21	1,493	1,999	25	31	-	-												
D.C.	-	-	11	628	753	-	-	-	-												
Va.	-	-	16	2,309	2,151	7	9	-	-												
W. Va.	-	-	4	203	109	1	4	-	1												
N.C.	-	-	-	3,271	3,774	10	17	-	-												
S.C.	-	-	3	1,665	3,332	3	2	-	-												
Ga.	-	-	117	3,643	3,942	36	35	-	-												
Fla.	-	-	243	4,432	4,019	23	31	-	-												
E.S. CENTRAL	-	1	66	6,570	7,476	17	19	1	-												
Ky.	-	1	-	759	798	2	-	-	-												
Tenn.	-	-	25	2,036	2,353	9	9	-	-												
Ala.	-	-	41	2,465	2,493	5	9	1	-												
Miss.	-	-	-	1,310	1,832	1	1	-	-												
W.S. CENTRAL	-	-	14	10,621	12,209	18	9	-	-												
Ark.	-	-	14	873	1,249	1	-	-	-												
La.	-	-	-	2,533	2,851	-	2	-	-												
Okla.	-	-	-	936	1,118	17	7	-	-												
Tex.	-	-	-	6,279	6,991	-	-	-	-												
MOUNTAIN	-	-	270	2,232	2,363	45	62	-	2												
Mont.	-	-	14	32	20	-	-	-	-												
Idaho	-	-	8	26	22	1	1	-	-												
Wyo.	-	-	2	16	16	1	-	-	-												
Colo.	-	-	98	766	774	11	11	-	-												
N. Mex.	-	-	27	251	239	10	10	-	-												
Ariz.	-	-	45	641	849	17	32	-	1												
Utah	-	-	45	99	26	3	1	-	-												
Nev.	-	-	31	401	417	2	7	-	1												
PACIFIC	-	-	201	5,579	6,346	37	29	-	1												
Wash.	-	-	50	653	705	-	1	-	-												
Oreg.	-	-	104	208	271	24	3	-	-												
Calif.	-	-	-	4,466	5,145	3	15	-	1												
Alaska	-	-	19	136	68	1	1	-	-												
Hawaii	-	-	28	116	157	9	9	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	263	-	-	-	-												
V.I.	-	-	-	-	5	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


