
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 23, 2002 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	61	18	-	3	1	-	4,885	5,588													
NEW ENGLAND	-	-	-	-	-	-	281	360													
Maine	-	-	-	-	-	-	42	14													
N.H.	-	-	-	-	-	-	12	26													
Vt.	-	-	-	-	-	-	13	18													
Mass.	-	-	-	-	-	-	147	234													
R.I.	-	-	-	-	-	-	5	18													
Conn.	-	-	-	-	-	-	62	50													
MID. ATLANTIC	4	1	-	2	-	-	409	873													
Upstate N.Y.	-	-	-	1	-	-	60	139													
N.Y. City	-	-	-	1	-	-	176	197													
N.J.	-	-	-	-	-	-	57	320													
Pa.	4	1	-	-	-	-	116	217													
E.N. CENTRAL	3	2	-	1	-	-	853	767													
Ohio	3	-	-	-	-	-	284	236													
Ind.	-	1	-	-	-	-	50	50													
Ill.	-	1	-	1	-	-	273	227													
Mich.	-	-	-	-	-	-	158	132													
Wis.	-	-	-	-	-	-	88	122													
W.N. CENTRAL	8	3	-	-	-	-	401	313													
Minn.	-	-	-	-	-	-	77	105													
Iowa	-	-	-	-	-	-	59	45													
Mo.	8	3	-	-	-	-	191	78													
N. Dak.	-	-	-	-	-	-	5	1													
S. Dak.	-	-	-	-	-	-	19	22													
Nebr.	-	-	-	-	-	-	-	19													
Kans.	-	-	-	-	-	-	50	43													
S. ATLANTIC	43	8	-	-	-	-	1,364	1,275													
Del.	-	-	-	-	-	-	9	15													
Md.	4	2	-	-	-	-	96	129													
D.C.	-	-	-	-	-	-	18	16													
Va.	1	-	-	-	-	-	91	119													
W. Va.	-	-	-	-	-	-	5	8													
N.C.	28	5	-	-	-	-	218	218													
S.C.	5	1	-	-	-	-	68	129													
Ga.	4	-	-	-	-	-	375	362													
Fla.	1	-	-	-	-	-	484	279													
E.S. CENTRAL	3	3	-	-	-	-	286	300													
Ky.	-	-	-	-	-	-	41	54													
Tenn.	3	2	-	-	-	-	91	74													
Ala.	-	1	-	-	-	-	98	114													
Miss.	-	-	-	-	-	-	56	58													
W.S. CENTRAL	-	-	-	-	-	-	111	595													
Ark.	-	-	-	-	-	-	49	49													
La.	-	-	-	-	-	-	7	130													
Okla.	-	-	-	-	-	-	53	22													
Tex.	-	-	-	-	-	-	2	394													
MOUNTAIN	-	1	-	-	-	-	352	323													
Mont.	-	-	-	-	-	-	7	9													
Idaho	-	1	-	-	-	-	21	12													
Wyo.	-	-	-	-	-	-	11	14													
Colo.	-	-	-	-	-	-	103	90													
N. Mex.	-	-	-	-	-	-	52	40													
Ariz.	-	-	-	-	-	-	83	108													
Utah	-	-	-	-	-	-	31	33													
Nev.	-	-	-	-	-	-	44	17													
PACIFIC	-	-	-	-	1	-	828	782													
Wash.	-	-	-	-	-	-	35	68													
Oreg.	-	-	-	-	-	-	59	12													
Calif.	-	-	-	-	-	-	677	622													
Alaska	-	-	-	-	-	-	14	9													
Hawaii	-	-	-	-	1	-	43	71													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	35	171													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	2	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


