
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2002 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	2	3	3,433	82,793	96,815	477	493	3	7												
NEW ENGLAND	-	-	378	2,079	1,781	34	18	-	1												
Maine	-	-	44	22	43	1	1	-	-												
N.H.	-	-	16	34	38	4	-	-	-												
Vt.	-	-	29	29	26	3	-	-	-												
Mass.	-	-	162	976	805	18	15	-	1												
R.I.	-	-	34	266	212	-	-	-	-												
Conn.	-	-	93	752	657	8	2	-	-												
MID. ATLANTIC	-	-	729	8,155	10,334	81	75	1	-												
Upstate N.Y.	-	-	275	2,247	2,097	43	15	1	-												
N.Y. City	-	-	314	3,421	3,605	24	21	-	-												
N.J.	-	-	-	560	1,360	9	33	-	-												
Pa.	-	-	140	1,927	3,272	5	6	-	-												
E.N. CENTRAL	1	2	646	14,120	20,533	65	79	1	1												
Ohio	1	2	243	2,455	5,571	38	26	-	1												
Ind.	-	-	-	2,035	1,915	16	13	-	-												
Ill.	-	-	94	4,501	6,395	-	29	-	-												
Mich.	-	-	218	4,093	4,950	6	4	1	-												
Wis.	-	-	91	1,036	1,702	5	7	-	-												
W.N. CENTRAL	-	-	392	3,881	4,546	16	16	-	-												
Minn.	-	-	163	767	746	12	8	-	-												
Iowa	-	-	62	134	323	1	-	-	-												
Mo.	-	-	110	2,017	2,239	2	8	-	-												
N. Dak.	-	-	3	12	10	-	-	-	-												
S. Dak.	-	-	18	72	59	-	-	-	-												
Nebr.	-	-	-	118	389	-	-	-	-												
Kans.	-	-	36	761	780	1	-	-	-												
S. ATLANTIC	-	-	633	23,731	25,334	131	154	-	1												
Del.	-	-	12	489	453	-	-	-	-												
Md.	-	-	29	2,203	2,457	33	36	-	-												
D.C.	-	-	12	792	900	-	-	-	-												
Va.	-	-	47	3,005	2,629	8	9	-	-												
W. Va.	-	-	9	276	141	2	4	-	1												
N.C.	-	-	-	4,599	4,982	11	20	-	-												
S.C.	-	-	7	2,061	3,674	3	2	-	-												
Ga.	-	-	230	4,676	4,844	48	42	-	-												
Fla.	-	-	287	5,630	5,254	26	41	-	-												
E.S. CENTRAL	-	1	86	8,323	9,159	19	24	1	-												
Ky.	-	1	-	993	952	2	1	-	-												
Tenn.	-	-	37	2,456	2,813	11	10	-	-												
Ala.	-	-	49	3,089	3,154	5	12	1	-												
Miss.	-	-	-	1,785	2,240	1	1	-	-												
W.S. CENTRAL	-	-	14	13,247	14,814	21	12	-	1												
Ark.	-	-	14	873	1,525	1	-	-	-												
La.	-	-	-	3,323	3,352	1	2	-	-												
Okla.	-	-	-	1,265	1,360	19	9	-	-												
Tex.	-	-	-	7,786	8,577	-	1	-	1												
MOUNTAIN	1	-	310	2,598	2,833	58	71	-	2												
Mont.	-	-	17	36	27	-	-	-	-												
Idaho	-	-	10	28	26	1	1	-	-												
Wyo.	-	-	2	20	17	1	-	-	-												
Colo.	1	-	114	766	953	14	15	-	-												
N. Mex.	-	-	34	368	275	13	10	-	-												
Ariz.	-	-	47	782	959	19	37	-	1												
Utah	-	-	52	117	26	8	1	-	-												
Nev.	-	-	34	481	550	2	7	-	1												
PACIFIC	-	-	245	6,659	7,481	52	44	-	1												
Wash.	-	-	70	883	896	-	1	-	-												
Oreg.	-	-	118	253	362	28	5	-	-												
Calif.	-	-	-	5,203	5,941	9	25	-	1												
Alaska	-	-	22	181	93	1	1	-	-												
Hawaii	-	-	35	139	189	14	12	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	31	202	-	-	-	-												
V.I.	-	-	-	-	6	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	3	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


