
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 2002 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	82	24	1	5	-	-	6,396	7,122													
NEW ENGLAND	-	-	-	-	-	-	373	497													
Maine	-	-	-	-	-	-	46	38													
N.H.	-	-	-	-	-	-	15	34													
Vt.	-	-	-	-	-	-	16	20													
Mass.	-	-	-	-	-	-	203	302													
R.I.	-	-	-	-	-	-	13	23													
Conn.	-	-	-	-	-	-	80	80													
MID. ATLANTIC	7	1	-	3	-	-	776	1,106													
Upstate N.Y.	2	-	-	1	-	-	245	187													
N.Y. City	-	-	-	2	-	-	293	240													
N.J.	-	-	-	-	-	-	76	413													
Pa.	5	1	-	-	-	-	162	266													
E.N. CENTRAL	3	2	-	1	-	-	1,073	996													
Ohio	3	-	-	-	-	-	331	328													
Ind.	-	1	-	-	-	-	73	63													
Ill.	-	1	-	1	-	-	322	272													
Mich.	-	-	-	-	-	-	219	168													
Wis.	-	-	-	-	-	-	128	165													
W.N. CENTRAL	9	5	-	-	-	-	473	410													
Minn.	-	-	-	-	-	-	98	132													
Iowa	-	-	-	-	-	-	72	60													
Mo.	9	5	-	-	-	-	217	104													
N. Dak.	-	-	-	-	-	-	5	1													
S. Dak.	-	-	-	-	-	-	21	24													
Nebr.	-	-	-	-	-	-	-	34													
Kans.	-	-	-	-	-	-	60	55													
S. ATLANTIC	55	12	1	-	-	-	1,757	1,611													
Del.	-	-	-	-	-	-	11	21													
Md.	6	2	1	-	-	-	152	150													
D.C.	-	-	-	-	-	-	22	18													
Va.	1	-	-	-	-	-	174	181													
W. Va.	-	-	-	-	-	-	18	10													
N.C.	32	7	-	-	-	-	243	258													
S.C.	6	1	-	-	-	-	78	181													
Ga.	9	-	-	-	-	-	494	409													
Fla.	1	2	-	-	-	-	565	383													
E.S. CENTRAL	7	3	-	-	-	-	355	370													
Ky.	-	-	-	-	-	-	47	66													
Tenn.	5	2	-	-	-	-	116	95													
Ala.	2	1	-	-	-	-	117	138													
Miss.	-	-	-	-	-	-	75	71													
W.S. CENTRAL	-	-	-	-	-	-	136	734													
Ark.	-	-	-	-	-	-	49	56													
La.	-	-	-	-	-	-	20	157													
Okla.	-	-	-	-	-	-	65	33													
Tex.	-	-	-	-	-	-	2	488													
MOUNTAIN	1	1	-	-	-	-	417	424													
Mont.	-	-	-	-	-	-	10	16													
Idaho	-	1	-	-	-	-	25	19													
Wyo.	-	-	-	-	-	-	11	20													
Colo.	-	-	-	-	-	-	122	119													
N. Mex.	-	-	-	-	-	-	61	55													
Ariz.	-	-	-	-	-	-	100	124													
Utah	-	-	-	-	-	-	39	45													
Nev.	1	-	-	-	-	-	49	26													
PACIFIC	-	-	-	1	-	-	1,036	974													
Wash.	-	-	-	-	-	-	54	92													
Oreg.	-	-	-	-	-	-	72	31													
Calif.	-	-	-	-	-	-	837	757													
Alaska	-	-	-	-	-	-	17	11													
Hawaii	-	-	-	1	-	-	56	83													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	42	213													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	2	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


