
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 2002 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	4	4	4,967	114,054	129,891	638	666	6	11												
NEW ENGLAND	-	1	515	2,896	2,384	48	23	-	1												
Maine	-	-	62	28	57	1	1	-	-												
N.H.	-	-	18	50	51	4	-	-	-												
Vt.	-	1	43	40	32	3	1	-	-												
Mass.	-	-	241	1,235	1,080	22	18	-	1												
R.I.	-	-	40	366	272	8	-	-	-												
Conn.	-	-	111	1,177	892	10	3	-	-												
MID. ATLANTIC	-	-	999	12,770	13,684	121	97	1	1												
Upstate N.Y.	-	-	390	3,116	2,882	56	24	1	-												
N.Y. City	-	-	436	4,696	4,692	27	26	-	-												
N.J.	-	-	-	1,614	1,612	27	39	-	-												
Pa.	-	-	173	3,344	4,498	11	8	-	1												
E.N. CENTRAL	2	2	928	19,720	27,504	78	108	1	1												
Ohio	2	2	304	4,327	7,522	45	32	-	1												
Ind.	-	-	-	2,609	2,560	19	19	-	-												
Ill.	-	-	217	6,012	8,635	-	42	-	-												
Mich.	-	-	294	5,237	6,598	8	5	1	-												
Wis.	-	-	113	1,535	2,189	6	10	-	-												
W.N. CENTRAL	-	-	623	5,321	6,053	22	24	-	1												
Minn.	-	-	228	1,069	986	15	11	-	-												
Iowa	-	-	91	170	431	1	-	-	-												
Mo.	-	-	177	2,881	3,052	4	11	-	-												
N. Dak.	-	-	6	23	13	-	-	-	-												
S. Dak.	-	-	21	94	88	-	-	-	-												
Nebr.	-	-	49	135	468	-	1	-	1												
Kans.	-	-	51	949	1,015	2	1	-	-												
S. ATLANTIC	-	-	902	30,671	33,672	171	185	-	1												
Del.	-	-	17	632	613	-	-	-	-												
Md.	-	-	35	2,923	3,201	39	43	-	-												
D.C.	-	-	16	1,080	1,162	-	-	-	-												
Va.	-	-	70	4,068	3,310	10	12	-	-												
W. Va.	-	-	10	358	210	2	4	-	1												
N.C.	-	-	-	5,543	6,653	16	22	-	-												
S.C.	-	-	20	3,053	5,012	6	4	-	-												
Ga.	-	-	338	5,605	6,081	58	49	-	-												
Fla.	-	-	396	7,409	7,430	40	51	-	-												
E.S. CENTRAL	-	1	115	11,375	12,256	23	41	1	-												
Ky.	-	1	-	1,312	1,300	2	1	-	-												
Tenn.	-	-	51	3,555	3,768	14	17	-	-												
Ala.	-	-	64	4,097	4,186	5	21	1	-												
Miss.	-	-	-	2,411	3,002	2	2	-	-												
W.S. CENTRAL	-	-	49	17,527	19,585	25	26	-	1												
Ark.	-	-	49	1,032	1,925	1	-	-	-												
La.	-	-	-	4,390	4,512	2	4	-	-												
Okla.	-	-	-	1,772	1,787	22	21	-	-												
Tex.	-	-	-	10,333	11,361	-	1	-	1												
MOUNTAIN	2	-	472	3,576	3,938	91	85	2	2												
Mont.	-	-	29	39	45	-	-	-	-												
Idaho	-	-	25	36	32	1	1	-	-												
Wyo.	-	-	8	24	21	1	-	-	-												
Colo.	2	-	156	1,321	1,199	16	23	-	-												
N. Mex.	-	-	60	493	380	14	12	-	-												
Ariz.	-	-	62	1,022	1,504	46	39	1	1												
Utah	-	-	82	149	27	9	3	-	-												
Nev.	-	-	50	492	730	4	7	1	1												
PACIFIC	-	-	364	10,198	10,815	59	77	1	3												
Wash.	-	-	150	1,770	1,148	2	1	1	-												
Oreg.	-	-	146	314	464	31	22	-	-												
Calif.	-	-	-	7,739	8,821	9	36	-	3												
Alaska	-	-	32	217	132	1	2	-	-												
Hawaii	-	-	36	158	250	16	16	-	-												
Guam	-	-	-	-	18	-	-	-	-												
P.R.	-	-	-	227	272	-	-	-	-												
V.I.	-	-	-	17	11	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	6	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


