
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 8, 2002 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	185	103	5	11	2	-	11,202	12,143													
NEW ENGLAND	-	-	-	-	-	-	691	884													
Maine	-	-	-	-	-	-	63	93													
N.H.	-	-	-	-	-	-	41	57													
Vt.	-	-	-	-	-	-	28	33													
Mass.	-	-	-	-	-	-	385	500													
R.I.	-	-	-	-	-	-	30	42													
Conn.	-	-	-	-	-	-	144	159													
MID. ATLANTIC	9	5	2	4	-	-	1,429	1,682													
Upstate N.Y.	2	-	1	1	-	-	459	376													
N.Y. City	1	1	-	2	-	-	520	450													
N.J.	-	2	1	1	-	-	176	384													
Pa.	6	2	-	-	-	-	274	472													
E.N. CENTRAL	2	7	-	2	-	-	1,924	1,666													
Ohio	2	1	-	-	-	-	548	515													
Ind.	-	-	-	-	-	-	154	146													
Ill.	-	6	-	2	-	-	587	470													
Mich.	-	-	-	-	-	-	341	281													
Wis.	-	-	-	-	-	-	294	254													
W.N. CENTRAL	21	19	-	3	-	-	881	743													
Minn.	-	-	-	-	-	-	199	244													
Iowa	1	1	-	1	-	-	131	114													
Mo.	19	17	-	1	-	-	354	173													
N. Dak.	-	-	-	-	-	-	9	11													
S. Dak.	-	1	-	-	-	-	29	45													
Nebr.	-	-	-	-	-	-	51	55													
Kans.	1	-	-	1	-	-	108	101													
S. ATLANTIC	129	37	1	1	-	-	2,697	2,599													
Del.	1	-	-	-	-	-	15	29													
Md.	17	6	1	-	-	-	271	260													
D.C.	-	-	-	-	-	-	31	29													
Va.	3	1	-	-	-	-	300	412													
W. Va.	-	-	-	-	-	-	39	37													
N.C.	65	16	-	-	-	-	406	412													
S.C.	28	7	-	-	-	-	179	286													
Ga.	14	4	-	-	-	-	655	442													
Fla.	1	3	-	1	-	-	801	692													
E.S. CENTRAL	19	24	-	-	1	-	688	663													
Ky.	-	1	-	-	-	-	111	116													
Tenn.	14	20	-	-	1	-	195	175													
Ala.	5	1	-	-	-	-	206	205													
Miss.	-	2	-	-	-	-	176	167													
W.S. CENTRAL	3	7	1	-	-	-	372	1,303													
Ark.	-	4	-	-	-	-	181	155													
La.	-	1	-	-	-	-	75	256													
Okla.	3	2	-	-	-	-	114	91													
Tex.	-	-	1	-	-	-	2	801													
MOUNTAIN	2	4	-	-	-	-	822	793													
Mont.	-	1	-	-	-	-	35	30													
Idaho	-	1	-	-	-	-	55	45													
Wyo.	1	1	-	-	-	-	21	26													
Colo.	-	-	-	-	-	-	211	216													
N. Mex.	-	-	-	-	-	-	105	101													
Ariz.	-	-	-	-	-	-	248	216													
Utah	-	1	-	-	-	-	62	83													
Nev.	1	-	-	-	-	-	85	76													
PACIFIC	-	-	1	1	1	-	1,698	1,810													
Wash.	-	-	-	-	-	-	170	178													
Oreg.	-	-	-	-	-	-	152	110													
Calif.	-	-	1	-	-	-	1,248	1,360													
Alaska	-	-	-	-	-	-	26	20													
Hawaii	-	-	-	1	1	-	102	142													
Guam	-	-	-	-	-	-	-	3													
P.R.	-	-	-	3	-	-	57	369													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	17	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


