
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 15, 2002 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	10	4	6,077	140,041	155,911	784	776	11	13												
NEW ENGLAND	-	1	628	3,408	2,705	56	47	-	1												
Maine	-	-	69	45	63	1	1	-	-												
N.H.	-	-	22	58	61	4	-	-	-												
Vt.	-	1	49	44	39	3	2	-	-												
Mass.	-	-	297	1,550	1,174	26	28	-	1												
R.I.	-	-	52	431	326	9	2	-	-												
Conn.	-	-	139	1,280	1,042	13	14	-	-												
MID. ATLANTIC	-	-	1,359	15,541	16,701	142	108	2	3												
Upstate N.Y.	-	-	471	3,747	3,529	65	32	2	-												
N.Y. City	-	-	547	5,496	5,667	32	30	-	-												
N.J.	-	-	121	2,327	2,050	31	25	-	-												
Pa.	-	-	220	3,971	5,455	14	21	-	3												
E.N. CENTRAL	4	2	1,128	24,782	32,938	127	134	2	1												
Ohio	4	2	358	5,300	8,948	48	41	-	1												
Ind.	-	-	-	3,255	3,003	28	22	1	-												
Ill.	-	-	253	7,941	10,303	36	49	-	-												
Mich.	-	-	348	6,498	8,088	9	8	1	-												
Wis.	-	-	169	1,788	2,596	6	14	-	-												
W.N. CENTRAL	-	-	731	6,725	7,278	26	32	-	1												
Minn.	-	-	266	1,265	1,149	17	15	-	-												
Iowa	-	-	102	170	529	1	-	-	-												
Mo.	-	-	203	3,704	3,686	6	12	-	-												
N. Dak.	-	-	11	27	16	-	3	-	-												
S. Dak.	-	-	28	113	132	-	-	-	-												
Nebr.	-	-	52	137	545	-	1	-	1												
Kans.	-	-	69	1,309	1,221	2	1	-	-												
S. ATLANTIC	-	-	1,030	37,883	40,235	201	195	1	1												
Del.	-	-	19	760	729	-	-	-	-												
Md.	-	-	42	3,722	3,992	46	48	1	-												
D.C.	-	-	19	1,256	1,352	-	-	-	-												
Va.	-	-	91	4,774	4,000	13	16	-	-												
W. Va.	-	-	16	436	278	4	5	-	1												
N.C.	-	-	-	7,361	7,646	21	28	-	-												
S.C.	-	-	30	3,558	5,796	11	4	-	-												
Ga.	-	-	400	6,910	7,281	63	53	-	-												
Fla.	-	-	413	9,106	9,161	43	41	-	-												
E.S. CENTRAL	-	1	142	13,461	14,628	25	50	1	-												
Ky.	-	1	-	1,572	1,571	2	2	-	-												
Tenn.	-	-	65	4,221	4,429	14	23	-	-												
Ala.	-	-	77	4,752	4,963	6	23	1	-												
Miss.	-	-	-	2,916	3,665	3	2	-	-												
W.S. CENTRAL	-	-	59	21,279	23,769	32	28	2	1												
Ark.	-	-	56	1,501	2,175	1	-	-	-												
La.	-	-	-	5,312	5,644	2	5	-	-												
Okla.	-	-	3	2,085	2,231	27	22	-	-												
Tex.	-	-	-	12,381	13,719	2	1	2	1												
MOUNTAIN	6	-	570	4,455	4,733	107	93	2	2												
Mont.	-	-	32	40	57	-	-	-	-												
Idaho	-	-	31	39	35	2	1	-	-												
Wyo.	-	-	10	28	29	1	-	-	-												
Colo.	6	-	187	1,474	1,429	19	26	-	-												
N. Mex.	-	-	69	493	436	17	13	-	-												
Ariz.	-	-	80	1,613	1,844	54	40	1	1												
Utah	-	-	103	165	61	10	5	-	-												
Nev.	-	-	58	603	842	4	8	1	1												
PACIFIC	-	-	430	12,507	12,924	68	89	1	3												
Wash.	-	-	173	1,282	1,365	2	1	1	-												
Oreg.	-	-	174	373	529	36	30	-	-												
Calif.	-	-	-	10,358	10,583	9	39	-	3												
Alaska	-	-	39	259	159	1	3	-	-												
Hawaii	-	-	44	235	288	20	16	-	-												
Guam	-	-	-	-	22	-	-	-	-												
P.R.	-	-	1	233	306	-	1	-	-												
V.I.	-	-	-	17	14	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	7	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


