
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 6, 2002 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	15	4	6,854	154,660	175,834	848	857	12	15												
NEW ENGLAND	-	1	723	3,820	3,010	61	54	-	1												
Maine	-	-	80	54	70	1	1	-	-												
N.H.	-	-	24	62	78	5	-	-	-												
Vt.	-	1	54	45	39	5	2	-	-												
Mass.	-	-	346	1,699	1,275	28	33	-	1												
R.I.	-	-	61	462	360	9	2	-	-												
Conn.	-	-	158	1,498	1,188	13	16	-	-												
MID. ATLANTIC	-	-	1,533	17,965	19,367	152	121	3	3												
Upstate N.Y.	-	-	516	4,261	4,100	68	39	2	-												
N.Y. City	-	-	620	6,011	6,357	34	33	-	-												
N.J.	-	-	144	2,829	2,671	31	28	-	-												
Pa.	-	-	253	4,864	6,239	19	21	1	3												
E.N. CENTRAL	7	2	1,273	26,993	36,966	140	149	2	1												
Ohio	7	2	393	6,106	10,034	54	47	-	1												
Ind.	-	-	-	3,622	3,326	28	26	1	-												
Ill.	-	-	296	8,478	11,592	43	50	-	-												
Mich.	-	-	389	6,900	9,091	9	8	1	-												
Wis.	-	-	195	1,887	2,923	6	18	-	-												
W.N. CENTRAL	-	-	810	7,486	8,173	29	36	-	1												
Minn.	-	-	294	1,418	1,269	18	18	-	-												
Iowa	-	-	113	170	595	1	-	-	-												
Mo.	N	N	234	4,266	4,173	8	12	-	-												
N. Dak.	-	-	11	27	18	-	4	-	-												
S. Dak.	-	-	32	133	143	-	-	-	-												
Nebr.	-	-	52	137	618	-	1	-	1												
Kans.	-	-	74	1,335	1,357	2	1	-	-												
S. ATLANTIC	-	-	1,199	41,975	45,637	210	215	1	1												
Del.	-	-	23	830	846	-	-	-	-												
Md.	-	-	47	4,162	4,464	48	56	1	-												
D.C.	-	-	20	1,408	1,507	-	-	-	-												
Va.	-	-	105	5,190	4,836	15	18	-	-												
W. Va.	-	-	20	494	319	6	8	-	1												
N.C.	-	-	-	8,178	8,785	21	30	-	-												
S.C.	-	-	30	3,902	6,096	11	4	-	-												
Ga.	-	-	465	7,519	8,467	64	57	-	-												
Fla.	-	-	489	10,292	10,317	45	42	-	-												
E.S. CENTRAL	-	1	157	14,591	16,444	30	56	1	-												
Ky.	-	1	-	1,751	1,754	2	2	-	-												
Tenn.	-	-	70	4,601	4,961	15	27	-	-												
Ala.	-	-	87	5,103	5,631	8	25	1	-												
Miss.	-	-	-	3,136	4,098	5	2	-	-												
W.S. CENTRAL	-	-	76	23,366	26,715	33	32	2	1												
Ark.	-	-	63	1,776	2,497	1	-	-	-												
La.	-	-	1	5,931	6,387	2	6	-	-												
Okla.	-	-	12	2,158	2,530	28	25	-	-												
Tex.	-	-	-	13,501	15,301	2	1	2	1												
MOUNTAIN	8	-	629	4,961	5,298	115	96	2	3												
Mont.	-	-	34	54	67	-	-	-	-												
Idaho	-	-	42	40	41	2	1	-	-												
Wyo.	-	-	11	31	32	1	-	-	-												
Colo.	8	-	210	1,704	1,614	21	26	-	-												
N. Mex.	-	-	72	623	494	18	14	-	-												
Ariz.	-	-	84	1,785	2,073	54	40	1	1												
Utah	-	-	111	107	66	14	5	-	-												
Nev.	-	-	65	617	911	5	10	1	2												
PACIFIC	-	-	454	13,503	14,224	78	98	1	4												
Wash.	-	-	173	1,443	1,505	2	1	1	-												
Oreg.	-	-	187	412	583	38	30	-	-												
Calif.	-	-	-	11,044	11,615	12	44	-	4												
Alaska	-	-	45	303	193	1	3	-	-												
Hawaii	-	-	49	301	328	25	20	-	-												
Guam	-	-	-	-	24	-	-	-	-												
P.R.	-	-	7	237	336	-	1	-	-												
V.I.	-	-	-	17	14	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	10	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


