
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 6, 2002 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	290	181	6	15	2	-	14,191	15,805													
NEW ENGLAND	-	2	-	-	-	-	849	1,153													
Maine	-	-	-	-	-	-	69	106													
N.H.	-	-	-	-	-	-	46	87													
Vt.	-	-	-	-	-	-	32	35													
Mass.	-	2	-	-	-	-	469	666													
R.I.	-	-	-	-	-	-	58	57													
Conn.	-	-	-	-	-	-	175	202													
MID. ATLANTIC	16	11	3	6	-	-	1,808	2,155													
Upstate N.Y.	4	-	2	1	-	-	646	486													
N.Y. City	2	1	-	4	-	-	588	589													
N.J.	3	2	1	1	-	-	192	508													
Pa.	7	8	-	-	-	-	382	572													
E.N. CENTRAL	5	11	-	2	-	-	2,307	2,189													
Ohio	4	1	-	-	-	-	639	657													
Ind.	-	1	-	-	-	-	185	192													
Ill.	-	9	-	2	-	-	717	610													
Mich.	1	-	-	-	-	-	415	376													
Wis.	-	-	-	-	-	-	351	354													
W.N. CENTRAL	44	30	-	3	-	-	1,086	928													
Minn.	-	-	-	-	-	-	249	288													
Iowa	1	1	-	1	-	-	180	144													
Mo.	43	27	-	1	-	-	409	227													
N. Dak.	-	-	-	-	-	-	25	15													
S. Dak.	-	2	-	-	-	-	42	60													
Nebr.	-	-	-	-	-	-	51	65													
Kans.	-	-	-	1	-	-	130	129													
S. ATLANTIC	175	77	1	3	-	-	3,472	3,339													
Del.	2	-	-	-	-	-	28	35													
Md.	22	11	1	-	-	-	352	341													
D.C.	-	-	-	-	-	-	37	33													
Va.	7	5	-	-	-	-	388	544													
W. Va.	1	-	-	-	-	-	46	52													
N.C.	95	41	-	-	-	-	504	479													
S.C.	28	11	-	2	-	-	193	323													
Ga.	17	6	-	-	-	-	776	614													
Fla.	3	3	-	1	-	-	1,148	918													
E.S. CENTRAL	31	35	-	-	1	-	940	887													
Ky.	2	1	-	-	-	-	152	157													
Tenn.	21	28	-	-	1	-	250	236													
Ala.	8	3	-	-	-	-	279	251													
Miss.	-	3	-	-	-	-	259	243													
W.S. CENTRAL	13	9	1	-	-	-	559	1,883													
Ark.	-	4	-	-	-	-	286	240													
La.	-	1	-	-	-	-	109	329													
Okla.	13	4	-	-	-	-	162	138													
Tex.	-	-	1	-	-	-	2	1,176													
MOUNTAIN	5	6	-	-	-	-	981	966													
Mont.	1	1	-	-	-	-	43	39													
Idaho	-	1	-	-	-	-	58	62													
Wyo.	2	2	-	-	-	-	27	30													
Colo.	1	-	-	-	-	-	249	267													
N. Mex.	-	-	-	-	-	-	137	120													
Ariz.	-	-	-	-	-	-	286	255													
Utah	-	2	-	-	-	-	81	110													
Nev.	1	-	-	-	-	-	100	83													
PACIFIC	1	-	1	1	1	-	2,189	2,305													
Wash.	-	-	-	-	-	-	213	216													
Oreg.	-	-	-	-	-	-	193	136													
Calif.	1	-	1	-	-	-	1,617	1,754													
Alaska	-	-	-	-	-	-	35	23													
Hawaii	-	-	-	1	1	-	131	176													
Guam	-	-	-	-	-	-	-	10													
P.R.	-	-	-	3	-	-	85	465													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	18	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


