
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 27, 2002 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	7,758	9,183	2,676	2,444	1,363	1,844	155	275													
NEW ENGLAND	143	144	125	164	8	89	1	30													
Maine	3	6	16	10	-	-	-	-													
N.H.	5	2	25	N	-	-	N	N													
Vt.	-	3	9	9	3	7	1	-													
Mass.	95	101	62	53	N	N	N	N													
R.I.	7	8	13	8	5	-	-	2													
Conn.	33	24	-	84	-	82	-	28													
MID. ATLANTIC	453	895	457	439	79	118	48	74													
Upstate N.Y.	125	334	215	192	71	116	48	74													
N.Y. City	207	243	115	126	U	U	U	U													
N.J.	48	167	91	76	N	N	N	N													
Pa.	73	151	36	45	8	2	-	-													
E.N. CENTRAL	804	1,805	480	583	125	128	65	75													
Ohio	367	1,025	150	148	-	-	-	-													
Ind.	44	132	32	46	120	128	40	38													
Ill.	229	315	98	188	2	-	-	37													
Mich.	91	167	200	150	3	-	N	N													
Wis.	73	166	-	51	N	N	25	-													
W.N. CENTRAL	663	865	177	247	149	90	35	31													
Minn.	139	258	92	104	48	40	35	24													
Iowa	69	257	-	-	N	N	N	N													
Mo.	93	156	37	55	6	9	-	-													
N. Dak.	15	13	-	7	1	4	-	7													
S. Dak.	149	87	10	7	1	3	-	-													
Nebr.	141	46	14	29	25	9	N	N													
Kans.	57	48	24	45	68	25	N	N													
S. ATLANTIC	3,030	1,217	521	422	840	990	1	4													
Del.	14	5	1	2	3	2	N	N													
Md.	561	69	89	N	N	N	N	N													
D.C.	35	30	5	15	46	5	1	3													
Va.	559	123	51	61	N	N	N	N													
W. Va.	4	7	13	17	34	37	-	1													
N.C.	158	214	96	111	N	N	U	U													
S.C.	52	150	28	7	132	202	N	N													
Ga.	962	157	130	137	251	282	N	N													
Fla.	685	462	108	72	374	462	N	N													
E.S. CENTRAL	744	875	69	60	98	183	-	-													
Ky.	80	325	12	25	11	22	N	N													
Tenn.	34	59	57	35	87	160	N	N													
Ala.	400	150	-	-	-	1	N	N													
Miss.	230	341	-	-	-	-	-	-													
W.S. CENTRAL	466	1,641	40	230	35	215	3	61													
Ark.	118	400	5	-	5	14	-	-													
La.	80	154	-	-	30	201	1	61													
Okla.	267	24	34	33	N	N	2	-													
Tex.	1	1,063	1	197	N	N	-	-													
MOUNTAIN	344	481	459	258	29	30	2	-													
Mont.	3	1	-	-	-	-	-	-													
Idaho	4	23	5	4	N	N	N	N													
Wyo.	3	2	7	7	9	5	-	-													
Colo.	69	105	153	106	-	-	-	-													
N. Mex.	62	67	71	54	19	23	-	-													
Ariz.	162	218	198	84	-	-	N	N													
Utah	23	30	25	3	1	-	2	-													
Nev.	18	35	-	-	-	2	-	-													
PACIFIC	1,111	1,260	348	41	-	1	-	-													
Wash.	71	102	36	-	-	-	N	N													
Oreg.	55	69	N	N	N	N	N	N													
Calif.	949	1,054	270	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	34	31	42	41	-	1	-	-													
Guam	-	32	-	1	-	-	-	-													
P.R.	5	13	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	15	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


